Date;Y
7/1960;-0,176
8/1960;0,267
9/1960;0,375
10/1960;0,210
11/1960;-0,658
12/1960;-0,024
1/1961;-0,012
2/1961;-0,314
3/1961;0,272
4/1961;-0,375
5/1961;0,272
6/1961;-0,157
7/1961;0,109
8/1961;0,024
9/1961;-0,114
10/1961;0,012
11/1961;0,534
12/1961;0,185
1/1962;-0,078
2/1962;-0,484
3/1962;-0,131
4/1962;-0,113
5/1962;0,471
6/1962;0,047
7/1962;0,054
8/1962;-0,143
9/1962;-0,600
10/1962;-0,108
11/1962;0,030
12/1962;0,041
1/1963;-0,135
2/1963;-0,106
3/1963;0,611
4/1963;0,431
5/1963;-0,372
6/1963;-0,218
7/1963;0,012
8/1963;-0,135
9/1963;0,023
10/1963;-0,199
11/1963;0,494
12/1963;0,275
1/1964;-0,210
2/1964;0,169
3/1964;-0,058
4/1964;-0,390
5/1964;-0,432
6/1964;0,176
7/1964;0,082
8/1964;0,233
9/1964;0,163
10/1964;0,145
11/1964;0,173
12/1964;-0,144
1/1965;0,510
2/1965;-0,040
3/1965;-0,442
4/1965;-0,362
5/1965;-0,327
6/1965;-0,291
7/1965;0,133
8/1965;-0,023
9/1965;-0,046
10/1965;0,584
11/1965;0,348
12/1965;-0,057
1/1966;0,186
2/1966;-0,616
3/1966;-0,242
4/1966;-0,246
5/1966;0,080
6/1966;-0,049
7/1966;-0,088
8/1966;-0,688
9/1966;-0,316
10/1966;0,140
11/1966;-0,149
12/1966;0,200
1/1967;-0,005
2/1967;-0,115
3/1967;-0,768
4/1967;0,246
5/1967;0,407
6/1967;-0,116
7/1967;-0,337
8/1967;0,285
9/1967;-0,303
10/1967;0,123
11/1967;-0,036
12/1967;0,338
1/1968;-0,564
2/1968;0,087
3/1968;-0,525
4/1968;-0,312
5/1968;-0,664
6/1968;0,470
7/1968;0,081
8/1968;-0,115
9/1968;-0,348
10/1968;0,237
11/1968;0,810
12/1968;0,649
1/1969;0,082
2/1969;0,219
3/1969;0,371
4/1969;-0,348
5/1969;0,059
6/1969;-0,206
7/1969;0,481
8/1969;0,358
9/1969;0,310
10/1969;0,465
11/1969;0,017
12/1969;0,159
1/1970;0,610
2/1970;0,303
3/1970;0,272
4/1970;-0,076
5/1970;0,454
6/1970;0,422
7/1970;-0,110
8/1970;0,664
9/1970;0,554
10/1970;0,005
11/1970;0,181
12/1970;0,132
1/1971;0,034
2/1971;-0,538
3/1971;-0,330
4/1971;-0,063
5/1971;0,310
6/1971;0,604
7/1971;-0,142
8/1971;0,031
9/1971;0,088
10/1971;0,162
11/1971;0,584
12/1971;-0,159
1/1972;-0,097
2/1972;-0,157
3/1972;-0,221
4/1972;-0,001
5/1972;0,097
6/1972;0,463
7/1972;0,642
8/1972;0,089
9/1972;-0,522
10/1972;-0,186
11/1972;-0,222
12/1972;-0,243
1/1973;-0,529
2/1973;-0,526
3/1973;-0,628
4/1973;-0,742
5/1973;-0,262
6/1973;-0,345
7/1973;-0,439
