F1;F2;F3;F4 ;F5;F6;F7;F8
1,376269446;0,220581176;0,044189025;-0,351679074;0,200909571;0,330762207;0,443254526;-0,004402697
1,029567237;0,192757958;0,135632058;0,022439314;0,036734042;0,390084105;-0,012095922;0,058786196
0,368554348;0,440187158;0,205808942;0,295927542;0,229861538;0,659283899;-0,143003677;-0,153450278
0,314499125;0,320695927;0,307379387;-0,29692304;0,158776676;0,234575331;0,112072236;-0,335853645
0,156229967;0,528452955;0,119216841;-0,022127969;0,225705502;0,247300135;-0,111544874;0,151970602
-0,359735367;0,435700169;0,057216787;0,2943645;0,208430972;0,486141185;-0,120144184;-0,381678573
-0,325857554;-0,119373258;0,492352861;0,271937897;0,050900642;0,155876197;-0,16051706;-0,169638133
-0,283638149;0,31410784;0,135946523;0,107793609;0,040567362;0,055539463;-0,286062186;0,00876656
-0,092120072;0,13697803;0,226935813;-0,284459711;-0,051689837;-0,157511261;0,098619336;-0,210226
0,039795745;0,236957746;0,211742434;-0,189429896;-0,08928547;0,002007777;-0,046869382;0,006549068
-0,379191269;0,15068968;0,386301366;-0,006941453;0,04723215;0,056873971;-0,182399691;-0,176836035
-0,488990426;0,285448529;0,361621062;-0,466241796;0,134921404;-0,217411531;0,232009378;-0,13867061
-0,456624232;0,086044869;0,335588543;-0,15229633;-0,129002148;-0,130441024;0,124095013;0,004024206
-0,20527094;0,085591033;0,144133591;0,032216012;-0,198976369;-0,009518649;0,036455069;-0,108744668
-0,21705988;0,079876216;0,084593326;-0,150537031;-0,173265658;-0,195603793;-0,041012804;-0,294009188
-0,200785213;0,09100433;-0,007411963;0,245173888;-0,208710477;0,096455921;-0,074160813;0,245452032
-0,038974628;0,076818505;0,005954744;0,100247005;-0,048362648;0,146995737;0,033533638;0,006497147
-0,144556166;0,068333912;0,068755772;-0,153848277;-0,035774767;-0,093007913;-0,04648533;0,045396466
-0,087845061;0,034947819;0,114669693;-0,126559158;-0,071527173;-0,014350298;-0,21014103;-0,013172622
-0,164324241;0,008730773;-0,04400566;-0,165067826;-0,146717098;-0,08050338;0,045133266;-0,051713029
0,122314021;-0,117048091;0,049261226;-0,138928566;-0,128734064;0,05945043;-0,267243217;-0,189357779
-0,400421974;0,047934945;0,206716948;-0,197578441;0,212682729;0,067050637;-0,317899367;0,030072938
-0,339103818;0,161613926;0,078109513;-0,358866458;0,107050663;-0,004230203;-0,105298934;-0,066069314
-0,12199231;-0,077855983;-0,064742833;0,082496394;-0,303828899;0,03852655;0,068648899;-0,005064473
-0,52928048;0,176340973;-0,105537191;-0,015845869;-0,019877069;0,079566042;-0,363053925;-0,184386402
-0,609100163;-0,208600959;0,29782153;-0,171562358;-0,096894064;0,028266481;-0,030616613;-0,050494363
-0,458735281;-0,047261957;0,014556279;-0,165976325;-0,144500888;-0,098426207;-0,18730507;-0,014163995
-0,484665883;-0,184578276;0,059302335;0,003464135;-0,110975381;0,10086969;0,069685356;-0,028038846
-0,423631137;-0,09120087;-0,029727073;-0,197238078;-0,0316731;-0,022460958;-0,129677768;-0,028392701
-0,295047178;-0,092379557;-0,046017078;-0,188190472;-0,215296418;0,058201001;0,024140433;-0,051395929
-0,271068606;-0,216454817;-0,102294736;-0,026038262;-0,181253943;0,134039472;-0,058686536;-0,08833357
-0,337872622;-0,205445636;-0,098367357;-0,094011078;-0,066773385;0,022146384;-0,024604484;-0,073377467
-0,38565249;-0,147358776;-0,112023677;-0,016616697;-0,140944141;0,172850786;-0,106581418;-0,083195533
-0,351716922;-0,021338833;-0,256021002;-0,234977766;-0,144872547;-0,008803904;-0,021701422;-0,048993708
-0,496519064;-0,212786774;0,033772413;-0,186019231;-0,076106131;-0,030271586;0,030528963;0,17573823
0,159194627;-0,379776569;-0,371641266;0,129070343;-0,601801946;-0,013186094;-0,009395158;-0,004430004
-0,462347399;-0,076616844;-0,033465615;-0,108359219;0,084852118;0,075713049;-0,048267624;-0,093324918
-0,709368029;0,036323613;-0,059173628;-0,199913535;0,169473354;0,013247993;-0,296625762;-0,066115524
-0,842959738;0,035574972;-0,062149658;-0,269400856;0,057629316;0,043478405;0,07607906;-0,101752387
-0,427574476;-0,197499816;-0,183260975;-0,056108208;-0,134918262;0,055455212;0,288348916;-0,111975395
-0,604662075;-0,192848131;-0,192350802;-0,103803289;-0,114138532;-0,007792189;0,012201638;0,052893687
-0,190444268;-0,392826726;-0,176292808;-0,06206112;-0,25019857;-0,011632513;0,044261522;0,252550348
-0,418319248;-0,135987221;-0,09737741;-0,384365111;-0,015871532;-0,169199608;0,259070534;0,208013181
-0,385724979;-0,114309984;-0,313290321;0,065804888;-0,106865027;0,059430345;-0,038857945;0,188372176
-0,58450492;-0,249054732;-0,281467942;0,09565757;-0,02276818;-0,006602827;-0,016742106;0,154029554
-0,628280641;-0,538912837;-0,190666191;0,308564536;-0,052902165;0,076579852;-0,12495129;-0,247095684
-0,385967588;-0,337209821;-0,228742598;-0,013183633;0,008926967;0,047596651;0,014177124;-0,012373878
-0,114827466;-0,105663473;-0,391697985;0,046319412;-0,068694464;-0,028953258;0,293554874;0,035402985
-0,196262654;-0,164319248;-0,293023765;-0,005365026;0,075909277;-0,118275921;0,015691911;0,0019814
-0,42103878;-0,156996617;-0,24026894;-0,102081793;0,116067945;-0,023766759;0,031515583;-0,042519301
0,394236479;-0,384979378;-0,493887355;-0,027358131;-0,405115807;-0,05994486;0,198052885;-0,033781508
-0,554001052;-0,134553971;-0,162506114;0,05472213;0,245500151;0,080441753;-0,125736019;0,14711506
-0,053268766;-0,422436494;-0,252997937;-0,342493278;0,089319346;-0,245178907;0,015009345;-0,088411117
-0,001082631;-0,305590909;-0,424709461;-0,075941885;0,074507194;-0,0684306;0,048425057;0,23752287
0,18307835;-0,311367783;-0,441783833;-0,026159007;0,150939759;0,269894297;0,371878628;-0,052557434
-0,224866554;-0,201331396;-0,336272265;0,264750218;0,133455112;0,294142982;0,148407792;0,159556263
-0,285855139;-0,571668677;-0,500205528;0,769967614;0,224923225;0,449849815;0,047394225;0,025842011
0,087251622;-0,304579485;-0,391360757;0,247282131;0,187949229;0,193166839;0,035159241;-0,172043746
0,139635199;-0,186070716;-0,408515507;-0,145654531;0,43677631;-0,042433873;0,068423327;0,222021466
-0,024911401;-0,002853725;-0,622813724;0,073595507;0,459795193;0,0909929;0,116744749;-0,021553206
-0,091649044;-0,306812576;-0,346735822;0,806546381;0,073316896;0,517801422;0,349075766;0,282592286
