NMEU1;NMEU3;NMEU12;NFEU1;NFEU3;NFEU12
-0,007526081;-0,008111972;-0,007105116;0,002249574;0,001427248;0,001928953
-0,009260783;-0,0108227;-0,008379052;0,002610539;0,000845611;0,001178874
-0,009839221;-0,012058294;-0,008928643;0,002160715;-1,5303E-05;0,000474011
-0,010225101;-0,012985841;-0,00921886;0,001819965;-0,000489454;8,16581E-05
-0,009023415;-0,01301467;-0,009562462;0,001179573;-0,001072843;-0,000140494
-0,008754801;-0,01320934;-0,009765931;0,000478789;-0,001647149;-0,000349185
-0,009457735;-0,012310587;-0,009268732;0,000753491;-0,001564158;-0,000558669
-0,01049448;-0,012497521;-0,009274803;6,97592E-05;-0,00215926;-0,000796034
-0,009575705;-0,011510703;-0,00899473;-0,001020295;-0,003060606;-0,001116013
-0,009081129;-0,010932252;-0,008829364;-0,001445287;-0,003307225;-0,001245398
-0,008969757;-0,010837855;-0,008899726;-0,00265347;-0,003775183;-0,001161504
-0,008291079;-0,010350727;-0,008999543;-0,005524307;-0,004685997;-0,000789234
-0,007821837;-0,009813997;-0,009072361;-0,004013481;-0,004821835;-0,00181022
-0,007596239;-0,009502434;-0,008780205;-0,003684088;-0,005468767;-0,002688941
-0,008783529;-0,010035643;-0,008636615;-0,004402419;-0,006409197;-0,003389477
-0,008363229;-0,009427336;-0,008169706;-0,005126807;-0,007207097;-0,003919492
-0,007766798;-0,008961786;-0,00797827;-0,006183621;-0,00812524;-0,004354895
-0,007809775;-0,008765106;-0,007645916;-0,005664959;-0,008078103;-0,004672119
-0,008411641;-0,008727679;-0,007242617;-0,005685959;-0,008129673;-0,0048375
-0,008873183;-0,009026696;-0,007117303;-0,006192796;-0,008589412;-0,004991554
-0,007530194;-0,008293314;-0,006540132;-0,006653156;-0,008813849;-0,004917191
-0,005823786;-0,007598069;-0,00620867;-0,007462981;-0,009128156;-0,004804275
-0,006500871;-0,007885426;-0,006202289;-0,008021324;-0,009393611;-0,004654495
-0,00571131;-0,007592105;-0,006384549;-0,007442998;-0,009377445;-0,005039373
-0,006117221;-0,00824109;-0,00674214;-0,006673403;-0,009051799;-0,005271471
-0,007066406;-0,008424758;-0,006682145;-0,006460183;-0,00910806;-0,00549102
-0,00947617;-0,009528048;-0,006813444;-0,006684379;-0,009354566;-0,005605306
-0,010438472;-0,010144355;-0,007132385;-0,007062455;-0,009498795;-0,00554496
-0,01098812;-0,010352801;-0,00705989;-0,007761466;-0,009780642;-0,005373755
-0,010397379;-0,009685146;-0,006896408;-0,007231293;-0,009420068;-0,005260258
-0,010298998;-0,009658141;-0,006911985;-0,006641429;-0,008911562;-0,00502618
-0,0107819;-0,010060339;-0,006878439;-0,006551071;-0,008758994;-0,004782592
-0,010545177;-0,010275569;-0,006836919;-0,006986863;-0,008708203;-0,004317754
-0,010044854;-0,01058926;-0,00710031;-0,007984311;-0,009077407;-0,004115917
-0,008930935;-0,010341269;-0,007199406;-0,007044868;-0,008622377;-0,004058142
-0,006848128;-0,010209139;-0,007451088;-0,007152434;-0,008561876;-0,003819612
-0,006644754;-0,009962746;-0,007295196;-0,006699199;-0,008194401;-0,00370215
-0,006314364;-0,009218361;-0,0068612;-0,006683737;-0,007931982;-0,003407866
-0,006750717;-0,008863379;-0,006667855;-0,005553121;-0,006990325;-0,002964619
-0,006476527;-0,008741197;-0,007159384;-0,003842162;-0,005803706;-0,002701782
-0,007189999;-0,009238276;-0,007515257;-0,002737268;-0,004896132;-0,002318829
-0,004899777;-0,007902002;-0,007698542;-0,002260185;-0,004228725;-0,001760306
-0,005416987;-0,008337982;-0,007970149;-0,001625426;-0,003258113;-0,001105667
-0,006561956;-0,00921264;-0,008238005;-0,001375652;-0,002510644;-0,000387649
-0,008087156;-0,010473526;-0,008751251;-0,002577699;-0,00201003;0,000673093
-0,008694777;-0,011288066;-0,009243354;-0,001718549;-0,002411726;-6,71972E-05
-0,00690438;-0,009952768;-0,009049916;-0,00126408;-0,002664597;-0,000557169
-0,006420217;-0,009921198;-0,009296154;-0,002231187;-0,00340265;-0,000818915
-0,007967922;-0,01152475;-0,00988708;-0,002194057;-0,003672236;-0,001089329
-0,007712593;-0,012267651;-0,010252524;-0,003235437;-0,004446159;-0,001396813
-0,007283102;-0,01319562;-0,010731475;-0,002331497;-0,004372724;-0,001860574
-0,008486093;-0,013849586;-0,011112675;-0,002180061;-0,004442181;-0,002083116
-0,008732901;-0,01354513;-0,011245243;-0,002681012;-0,004762169;-0,002116595
-0,009223938;-0,013824797;-0,011600634;-0,002150758;-0,00444354;-0,002005919
-0,00929036;-0,013956484;-0,012038308;-0,002419877;-0,004369835;-0,001695976
-0,010347055;-0,014972305;-0,012534421;-0,002323966;-0,004036803;-0,001363478
-0,01267415;-0,016501159;-0,012970512;-0,003309002;-0,003996437;-0,000815901
-0,013779369;-0,017220837;-0,012939146;-0,003212469;-0,004193834;-0,001027338
-0,014050826;-0,017437054;-0,013161205;-0,00157892;-0,003210129;-0,000867396
-0,013796843;-0,01782101;-0,013744534;-0,000933358;-0,002417128;-0,000433347
-0,013042169;-0,01794566;-0,014007953;-0,000408592;-0,001642781;6,127E-06
-0,01025696;-0,016783644;-0,013963707;-0,001276787;-0,001321705;0,000578539
-0,007763967;-0,012748572;-0,012903438;-0,00155866;-0,002691899;-0,000506867
-0,007023151;-0,010309941;-0,01187932;-0,001506577;-0,003389745;-0,001200135
-0,011917583;-0,014831394;-0,012355551;-0,001202324;-0,003654872;-0,001744442
-0,011673955;-0,016585712;-0,013066329;-0,002149982;-0,004431617;-0,002203974
-0,01305736;-0,018556748;-0,013145113;-0,002071592;-0,005096739;-0,003051006
-0,011700026;-0,017826315;-0,013012681;-0,002753774;-0,005965669;-0,003628427
-0,012462523;-0,017806031;-0,012904842;-0,003657978;-0,006692255;-0,003872081
-0,011139335;-0,016594156;-0,01231467;-0,004988295;-0,007520007;-0,003947868
-0,007029791;-0,014657779;-0,012221178;-0,004473904;-0,007309561;-0,003981209
-0,005711182;-0,01405091;-0,012195241;-0,004416399;-0,007409418;-0,004183309
-0,008705131;-0,015336432;-0,012518944;-0,004847289;-0,007772287;-0,004348643
-0,010030416;-0,015405083;-0,012389689;-0,005635684;-0,008108263;-0,004274034
-0,010156338;-0,015489018;-0,012657521;-0,003810827;-0,007135976;-0,004278561
-0,01022264;-0,015876592;-0,013088598;-0,002444646;-0,006171681;-0,004063344
-0,010065169;-0,016395084;-0,01311766;-0,001135052;-0,005024065;-0,003541204
-0,011724751;-0,016393399;-0,012277722;-0,000785484;-0,00448159;-0,003004775
-0,011107095;-0,015693655;-0,011670222;-0,00059936;-0,003863753;-0,002310877
-0,011373581;-0,015858424;-0,011682661;-0,001146743;-0,004202261;-0,002306891
-0,009718313;-0,013794251;-0,011195674;-0,002270531;-0,005235892;-0,002766446
-0,00991833;-0,012729107;-0,010853561;-0,001502952;-0,005015499;-0,003021871
-0,008801031;-0,01293325;-0,010850258;-0,000782582;-0,00467326;-0,003073569
-0,008036585;-0,013282595;-0,010982289;0,000308148;-0,003806728;-0,002716435
-0,007452815;-0,013135658;-0,010965835;0,00118701;-0,003032511;-0,002293441
-0,007566488;-0,01229538;-0,010486513;0,000663672;-0,003399765;-0,002311205
-0,007934409;-0,012274345;-0,010785814;-0,000285134;-0,003875803;-0,002172587
-0,009392169;-0,012716004;-0,010559236;-0,0007543;-0,003955599;-0,00189754
-0,010729665;-0,013250493;-0,010739158;-0,000660689;-0,003715798;-0,001616769
-0,011363092;-0,012965771;-0,010302947;-0,001196292;-0,003712235;-0,001101993
-0,008522693;-0,010933701;-0,010027864;-0,003083046;-0,004383887;-0,000582525
-0,008662264;-0,010698713;-0,009544912;-0,002216201;-0,003704567;-0,000465675
-0,007630027;-0,010124562;-0,009455133;-0,0023349;-0,003325374;-0,00011872
-0,009956275;-0,012533513;-0,010476875;-0,00095738;-0,002932068;-0,000717329
-0,010789785;-0,013801085;-0,011236456;-0,001190695;-0,00344228;-0,001375758
-0,00968861;-0,014419035;-0,011790894;-0,001654171;-0,003902428;-0,001800609
-0,011473297;-0,01575598;-0,012341356;-0,002177946;-0,00443559;-0,002171628
-0,012219421;-0,015919404;-0,012308133;-0,002512339;-0,004755075;-0,002355596
-0,011477578;-0,014946321;-0,01176508;-0,002878803;-0,004933052;-0,002453403
-0,011891429;-0,014599925;-0,011177632;-0,002528236;-0,00484336;-0,00270052
-0,011595051;-0,014430188;-0,010778477;-0,002680439;-0,005070508;-0,002907736
-0,01188671;-0,013575452;-0,009888358;-0,002920385;-0,005357981;-0,003038963
-0,012446029;-0,012982406;-0,009040168;-0,002995202;-0,005557792;-0,003277362
-0,013578105;-0,013359281;-0,008659744;-0,003721309;-0,006091816;-0,003409133
-0,010772005;-0,011853685;-0,008077654;-0,004072469;-0,006219145;-0,003327129
-0,010200587;-0,01109548;-0,007748148;-0,003936422;-0,006204824;-0,003248518
-0,0086008;-0,010081798;-0,00759068;-0,003144342;-0,005699668;-0,003079492
-0,007032826;-0,008868554;-0,007434256;-0,00293097;-0,005506686;-0,002909866
-0,004772375;-0,00739998;-0,007385423;-0,002808976;-0,005188649;-0,002572476
-0,004129402;-0,006632277;-0,007180725;-0,002858277;-0,005332179;-0,002612471
-0,00485209;-0,007141338;-0,007219617;-0,003001;-0,00529145;-0,002420541
-0,004822001;-0,007268085;-0,007530662;-0,003793858;-0,005530853;-0,002105304
-0,005102414;-0,007605312;-0,007740774;-0,004120372;-0,005810644;-0,002160868
-0,005062949;-0,007564294;-0,007679854;-0,004605242;-0,005922643;-0,001947054
-0,004872874;-0,007322325;-0,007482707;-0,006235808;-0,006746896;-0,001832663
-0,005123179;-0,007332526;-0,007590725;-0,004688682;-0,006341784;-0,002411074
-0,00564303;-0,007648843;-0,008023758;-0,003868623;-0,006094705;-0,002768325
-0,005595209;-0,007617382;-0,008260719;-0,003955101;-0,006253959;-0,002987715
-0,005516722;-0,007739224;-0,008526811;-0,004537592;-0,006611413;-0,002984544
-0,006228238;-0,008203449;-0,008685291;-0,005364218;-0,006911568;-0,002774386
-0,005977008;-0,008040147;-0,008546966;-0,004687588;-0,006921347;-0,003242363
-0,005175843;-0,007785233;-0,008500451;-0,004506826;-0,00704469;-0,003507012
-0,005363519;-0,008176236;-0,008695455;-0,004415734;-0,007180491;-0,003674686
-0,005439491;-0,007895768;-0,008362613;-0,004750643;-0,007345414;-0,003626674
-0,00474608;-0,007694982;-0,008364741;-0,004170483;-0,006958709;-0,00372901
-0,005166917;-0,00796689;-0,008593177;-0,003998242;-0,006732178;-0,003667597
-0,0049802;-0,008010853;-0,008895922;-0,003988499;-0,006574263;-0,003403649
-0,005436622;-0,00842967;-0,009172354;-0,004275351;-0,006449132;-0,002930903
-0,004253227;-0,007717679;-0,009261645;-0,004599137;-0,006602054;-0,002836474
-0,00443414;-0,007955219;-0,009780137;-0,004683554;-0,006487684;-0,002642464
-0,005469641;-0,008944799;-0,010687485;-0,003685096;-0,005939151;-0,002606957
-0,004427334;-0,008664946;-0,011164204;-0,003589094;-0,005750401;-0,002445772
-0,003266561;-0,008794793;-0,011919635;-0,004218755;-0,005864411;-0,00214133
-0,003722329;-0,008692987;-0,011694268;-0,003550759;-0,005417092;-0,002039581
-0,006234748;-0,009870107;-0,011562274;-0,003161501;-0,00518237;-0,001997521
-0,006924376;-0,009966835;-0,011250876;-0,003239149;-0,00502789;-0,001702303
-0,006833899;-0,00957173;-0,010687079;-0,003277881;-0,004779655;-0,001329832
-0,006565341;-0,009327338;-0,010520462;-0,004000302;-0,004653672;-0,000735904
-0,006921057;-0,009933378;-0,010851866;-0,004403794;-0,004908402;-0,000572801
-0,006124481;-0,009535967;-0,010201661;-0,004409949;-0,004878853;-0,000453451
-0,005139039;-0,008670663;-0,009591282;-0,003798766;-0,004736077;-0,000671745
-0,005347224;-0,009022709;-0,009723338;-0,002818336;-0,004164119;-0,000720197
