CC1;CC2;CC3;CC4;CC5;CC6;CC7;CC8;CC9;CC10
-1,98;-3,69;-0,27;0,93;5;-11;-2,38;-2,38;-2,01;2,88
-5,68;-6,42;-4,95;0,77;-15;132;-0,82;-0,82;-0,21;3,93
-4,7;-6,21;-3,18;0,12;-4;133;-0,08;-0,08;0,54;1,94
-0,02;0,03;-0,07;0,21;11;-50;0,12;0,12;0,62;0,6
-0,98;-2,27;0,33;0,67;28;-4;0,87;0,87;1,62;2,28
-0,52;-1,36;0,31;0,83;-16;-1;1,97;1,97;3,34;3,6
1,23;1,22;1,2;-0,6;29;-1;1,44;1,44;1,91;-0,99
0,58;0,42;0,78;-0,06;2;6;1,24;1,24;1,25;-0,15
0,74;0,61;0,88;0,29;13;-67;1,35;1,35;1,48;0,7
0,21;1,24;-0,79;0,1;2;-58;1,5;1,5;1,82;0,86
0,63;1,25;-0,02;-0,31;0;4;1,45;1,45;1,83;0,29
-2,41;-1,4;-3,44;-0,85;-8;146;-2,34;0,85;0,7;-1,34
6,8;8,55;5,06;-0,72;-1;-131;-3,13;-0,27;-0,92;-3,1
3,61;4,91;2,32;-0,83;9;-138;-3,98;-1,42;-2,15;-3,51
5;6,5;3,49;-0,38;2;-133;-4,51;-2,2;-3,27;-2,79
-1,31;-0,68;-1,95;-0,35;-49;57;-4,2;-2,14;-2,99;-0,48
0,29;1,06;-0,49;-0,54;1;-9;-4,33;-2,47;-3,34;-1,67
-0,66;-0,27;-1,03;-0,23;-14;3;-4,29;-2,63;-3,29;-1,25
-0,87;-0,28;-1,44;-0,83;-50;7;-4,86;-3,37;-4,43;-3,01
1,29;1,42;1,17;-0,21;3;-18;-4,32;-3,42;-4,42;-1,22
-4,63;-4,81;-4,46;0,14;-27;130;-3,41;-2,6;-3,13;1,44
-4,12;-3,6;-4,65;-1,17;-4;193;-4,49;-3,13;-4,31;-2,42
-3,37;-1,39;-5,33;-0,75;-1;128;-4,98;-4,98;-4,98;-2,85
-6,84;-7,81;-5,85;-0,18;-3;208;-2,21;-5,4;-5,22;-2,81
-3,53;-3,11;-3,94;-0,66;-6;135;-2,9;-5,76;-5,11;-2,73
0,87;0,56;1,15;0,53;-1;-12;-2,14;-4,7;-3,4;1,39
2,22;3,01;1,46;-0,02;7;-44;-2,2;-4,51;-3,44;-0,87
2,62;1,85;3,39;-0,26;51;-52;-2,56;-4,62;-3,77;-1,74
2,54;2,61;2,45;-0,28;12;7;-2,87;-4,73;-3,86;-1,72
1,53;1,63;1,41;-0,18;66;-2;-3,37;-5,03;-4,37;-2,39
1,12;0,05;2,2;1,55;53;-7;1,3;-3,29;-1,21;3,65
1,75;0,57;2,88;0,77;54;-23;1,27;-2,41;0,32;1,65
3,98;3,93;4,05;-0,25;18;-75;0,57;-2,74;-0,45;-1,75
4,39;2,79;5,96;1,75;8;-171;2,21;-1,39;1,91;3,22
2,36;0,09;4,63;1,36;1;-97;3,33;3,33;3,33;4,07
2,77;1,18;4,34;1,6;1;-123;5,26;5,26;5,26;6,82
-8,04;-10,68;-5,42;0,54;-3;203;5,88;5,88;5,69;3,46
-1,87;-2,27;-1,48;-0,84;-12;133;4,59;4,59;3,44;-2,07
-2,49;-4,18;-0,81;0,27;-3;78;4,67;4,67;4,07;1,68
