Period;YA;YN;YM;YS;YW
1975M02;-0,297388959;2,998341341;-11,34751438;11,99798774;-8,882825815
1975M03;-0,32232368;0,872626324;6,272147895;2,414804138;-4,196444789
1975M04;-1,170594992;-1,771083839;14,65257217;-16,75478035;10,85582116
1975M05;-0,871755314;-0,242955607;-0,738598185;-0,85517902;3,308808545
1975M06;-1,352559309;1,930981389;-13,86239643;13,12337599;-8,299198069
1975M07;-2,232886663;1,379161446;-7,507092623;4,767989262;-4,866193151
1975M08;-0,691839972;-0,504805053;2,988037859;-2,762343473;3,780608535
1975M09;-0,916355397;1,355923451;2,753891514;0,242059708;-0,792279965
1975M10;-1,035842309;4,185156738;-1,448595233;2,586965661;-4,447799451
1975M11;-0,90892506;1,854004209;-0,891403035;0,198922551;2,056601336
1975M12;-0,047762118;-1,320630456;0,667580256;-1,196593392;4,72033805
1976M01;0,716360113;0,927762211;-1,190657632;1,745113522;1,409262894
1976M02;1,529256193;1,45668145;-0,985505984;4,036215615;1,65909783
1976M03;0,715416449;-0,361244557;6,098453448;-1,79733263;3,858293345
1976M04;0,027542104;0,356316066;10,28560135;-8,047444481;1,684911089
1976M05;-1,042702075;0,927543582;1,431309916;-0,710641426;-3,228004655
1976M06;-0,977215041;0,641677583;-7,656142256;7,044633146;-2,034034586
1976M07;-1,373488789;-0,122329951;-4,458662298;2,146125914;1,800528892
1976M08;-1,623313179;-0,204204673;1,793607602;-2,855559083;1,525056457
1976M09;-1,153798599;2,821423228;1,649143963;-0,818989218;-1,648187243
1976M10;-0,289747216;4,243273975;-0,552242489;1,74490983;-0,349391777
1976M11;0,546942685;1,523503852;1,063003748;0,328477439;5,24543542
1976M12;0,459017753;0,145693073;2,372480181;-1,542900732;5,819523492
1977M01;0,53661679;2,632662404;-2,195421589;2,678635567;0,962207291
1977M02;-0,26914276;2,801885021;-3,994896189;8,627578587;-1,778793837
1977M03;0,512681415;0,267861059;7,1370196;-0,096008929;1,703025599
1977M04;0,171772186;-0,444177014;14,3639798;-13,30788108;2,960596872
1977M05;1,058221621;-0,821947594;-1,07025445;-4,187630598;1,070985956
1977M06;1,26742859;0,35224599;-14,77559714;9,637528143;0,125816923
1977M07;1,594701994;1,075939902;-3,730158451;4,424782755;2,95594349
1977M08;1,532087751;-0,484311026;9,568054144;-2,358173848;6,530532756
1977M09;2,066779794;0,592424095;5,646593082;-0,37965102;4,973358626
1977M10;2,043022418;2,214995327;-2,315683968;1,123407256;0,614998377
1977M11;1,655527401;-0,290579823;-1,853269407;-1,064718019;1,590021556
1977M12;1,767929866;-1,962461852;0,461448245;-2,370237687;4,347597835
1978M01;0,76208569;1,751836273;-2,004188368;-0,387388383;3,27021428
1978M02;1,068469568;2,829841452;-2,040829041;1,740415344;2,097503327
1978M03;0,15961577;1,099309145;7,81963886;-0,750207162;1,12234779
1978M04;0,14504873;1,278588988;13,72453117;-4,202877101;1,511522522
1978M05;1,089766533;-0,194667618;-0,215324727;0,559561203;1,463206634
1978M06;1,623601521;-1,016200662;-13,0801093;4,499187029;0,70339574
1978M07;1,89930827;-0,865411669;-4,823980261;-0,532728135;2,785463951
1978M08;1,374366385;-2,659593768;6,033656366;-3,321729082;4,550057838
1978M09;0,808436152;-1,423636819;4,094139262;-0,147213567;0,506902202
1978M10;-0,064169855;1,059206937;-1,446068712;1,130804154;-1,566800606
1978M11;1,070233818;-1,189025721;-2,7543417;-1,348776333;4,86270498
1978M12;1,558558204;-2,733041183;-2,730070465;-2,278303064;4,950424732
1979M01;0,010773121;0,614462305;-2,836680893;-0,225446659;-0,497601447
1979M02;0,536238941;0,836182314;-0,016953465;1,245921889;1,559714445
1979M03;-1,172488945;-1,044881915;6,373156188;-1,477875607;1,865187428
1979M04;-2,358433088;0,469408701;8,524533024;-5,202650587;-1,303606494
1979M05;-1,90173063;1,297264434;-0,450519765;-0,628639848;-1,029215699
1979M06;-0,842113727;-0,170036031;-8,341243723;4,213114984;0,845892336
1979M07;-0,638999538;-0,789486085;-4,434239213;-0,341049266;0,408611666
1979M08;-0,940993328;-0,411445563;1,611746864;-4,380210648;-0,653732046
1979M09;-1,434493177;0,848484027;2,366748006;-1,492951093;-2,16706036
1979M10;-1,134798184;1,304644622;1,106688528;1,548254561;-1,32283671
1979M11;-0,667818254;0,455129283;-0,367611979;0,208338531;2,004902269
1979M12;-1,234743806;0,180736038;-2,24478017;-1,499696074;1,560359318
1980M01;-2,157958698;1,496903923;-3,543530817;0,654522038;-1,764994164
1980M02;-2,414904312;1,177679662;-2,262475896;3,544685127;-5,95435985
1980M03;-3,602358197;-0,581200697;4,172170612;-0,232629856;-5,600664071
1980M04;-1,110649288;-1,294098262;8,936113472;-5,541994154;0,448150447
1980M05;-2,342212305;-1,094219799;0,84685376;-0,281027317;-1,346601864
1980M06;-1,482506228;0,111037093;-10,57007212;4,841182962;-2,518799284
1980M07;-1,455059903;1,282968297;-9,276575777;0,465223456;0,277230582
1980M08;-1,408180328;0,38534105;-0,611250172;-3,865229206;1,617581627
1980M09;-1,798879312;0,854247317;2,17196573;-2,766493797;-1,345659197
1980M10;-1,597214442;2,324852832;-0,283955539;0,314859377;-4,360740791
1980M11;-2,081428827;1,13838377;-1,096143618;0,963561962;-2,175889165
1980M12;-1,635400476;-0,517656276;-0,437406571;-0,168924126;0,81576396
1981M01;-3,279294734;0,929400094;-1,40201382;1,061211187;-3,884584053
1981M02;-3,738547244;-0,067886849;-2,210671203;1,873410181;-7,245283552
1981M03;-2,776346132;-2,531663427;-0,398292157;-1,454965599;-2,525067594
1981M04;-1,921093473;-1,467604213;1,324611812;-3,852366443;1,580665261
1981M05;-2,113893814;-0,868566737;-0,133661762;-0,460051783;0,362610727
1981M06;-2,197380622;-1,249244217;-2,13625938;2,633903416;-1,722866774
1981M07;-3,204422995;-0,888789008;-1,361335356;1,510304057;-3,068157264
1981M08;-3,562648227;-0,919263038;0,575383098;-0,412482492;-2,007597013
1981M09;-3,51754636;-0,078476098;0,310941447;-0,98899315;-2,372706363
1981M10;-2,72100693;0,933953009;-1,065974401;-0,244167024;-4,524712404
