"Y";"Y_L1";"Y_L2";"Y_L3";"Y_L4";"Y_L5";"Y_L6";"Y_L7";"Y_L8";"Y_L9";"Y_L10";"Y_L11"
-0,024;0,224;-0,26;0,169;-0,417;-0,054;-0,35;-0,694;-0,472;-0,073;0,852;0,466
0,019;-0,024;0,224;-0,26;0,169;-0,417;-0,054;-0,35;-0,694;-0,472;-0,073;0,852
-0,078;0,019;-0,024;0,224;-0,26;0,169;-0,417;-0,054;-0,35;-0,694;-0,472;-0,073
0,432;-0,078;0,019;-0,024;0,224;-0,26;0,169;-0,417;-0,054;-0,35;-0,694;-0,472
0,731;0,432;-0,078;0,019;-0,024;0,224;-0,26;0,169;-0,417;-0,054;-0,35;-0,694
0,641;0,731;0,432;-0,078;0,019;-0,024;0,224;-0,26;0,169;-0,417;-0,054;-0,35
-0,377;0,641;0,731;0,432;-0,078;0,019;-0,024;0,224;-0,26;0,169;-0,417;-0,054
-0,693;-0,377;0,641;0,731;0,432;-0,078;0,019;-0,024;0,224;-0,26;0,169;-0,417
-0,728;-0,693;-0,377;0,641;0,731;0,432;-0,078;0,019;-0,024;0,224;-0,26;0,169
0,227;-0,728;-0,693;-0,377;0,641;0,731;0,432;-0,078;0,019;-0,024;0,224;-0,26
0,405;0,227;-0,728;-0,693;-0,377;0,641;0,731;0,432;-0,078;0,019;-0,024;0,224
0,572;0,405;0,227;-0,728;-0,693;-0,377;0,641;0,731;0,432;-0,078;0,019;-0,024
-0,042;0,572;0,405;0,227;-0,728;-0,693;-0,377;0,641;0,731;0,432;-0,078;0,019
-0,689;-0,042;0,572;0,405;0,227;-0,728;-0,693;-0,377;0,641;0,731;0,432;-0,078
-0,851;-0,689;-0,042;0,572;0,405;0,227;-0,728;-0,693;-0,377;0,641;0,731;0,432
-0,678;-0,851;-0,689;-0,042;0,572;0,405;0,227;-0,728;-0,693;-0,377;0,641;0,731
-0,037;-0,678;-0,851;-0,689;-0,042;0,572;0,405;0,227;-0,728;-0,693;-0,377;0,641
-0,064;-0,037;-0,678;-0,851;-0,689;-0,042;0,572;0,405;0,227;-0,728;-0,693;-0,377
-0,2;-0,064;-0,037;-0,678;-0,851;-0,689;-0,042;0,572;0,405;0,227;-0,728;-0,693
