"Y";"Y_L1";"Y_L2";"Y_L3";"Y_L4";"Y_L5";"Y_L6";"Y_L7";"Y_L8";"Y_L9";"Y_L10";"Y_L11";"F1";"F1_L1";"F1_L2";"F1_L3";"F1_L4";"F1_L5";"F1_L6";"F1_L7";"F1_L8";"F1_L9";"F1_L10";"F1_L11";"F2";"F2_L1";"F2_L2";"F2_L3";"F2_L4";"F2_L5";"F2_L6";"F2_L7";"F2_L8";"F2_L9";"F2_L10";"F2_L11";"F3";"F3_L1";"F3_L2";"F3_L3";"F3_L4";"F3_L5";"F3_L6";"F3_L7";"F3_L8";"F3_L9";"F3_L10";"F3_L11";"F4";"F4_L1";"F4_L2";"F4_L3";"F4_L4";"F4_L5";"F4_L6";"F4_L7";"F4_L8";"F4_L9";"F4_L10";"F4_L11";"F5";"F5_L1";"F5_L2";"F5_L3";"F5_L4";"F5_L5";"F5_L6";"F5_L7";"F5_L8";"F5_L9";"F5_L10";"F5_L11";"F6";"F6_L1";"F6_L2";"F6_L3";"F6_L4";"F6_L5";"F6_L6";"F6_L7";"F6_L8";"F6_L9";"F6_L10";"F6_L11";"F7";"F7_L1";"F7_L2";"F7_L3";"F7_L4";"F7_L5";"F7_L6";"F7_L7";"F7_L8";"F7_L9";"F7_L10";"F7_L11";"F8";"F8_L1";"F8_L2";"F8_L3";"F8_L4";"F8_L5";"F8_L6";"F8_L7";"F8_L8";"F8_L9";"F8_L10";"F8_L11"
-0,024;0,224;-0,26;0,169;-0,417;-0,054;-0,35;-0,694;-0,472;-0,073;0,852;0,466;-1,053301582;-0,941988045;-0,880398248;-0,484235398;0,316313952;0,785950022;1,717807121;2,018858579;2,124180283;1,621098647;1,196602334;1,191869596;0,562742871;0,776806411;0,817037762;0,824873749;0,729484649;0,649995679;0,517290155;0,254820062;0,239762825;0,208410589;0,260255456;0,042676787;0,782857712;0,667567515;0,903490479;0,916387272;0,7115083;0,581246415;0,269114619;0,277446388;-0,099197714;-0,029617487;-0,09675695;-0,073352779;0,13598806;0,127706231;0,126474722;-0,054297618;-0,043978744;-0,180283393;-0,081466219;-0,125765876;0,062508807;0,184806475;0,113830448;-0,058170472;-0,200947949;0,000896676000000002;0,257455436;0,375386812;0,336899218;0,175384971;-0,186105452;-0,474241931;-0,386133568;-0,120456267;0,108860052;0,11207349;0,150537367;0,195258875;0,306933023;0,456745769;0,740585358;0,884546587;0,929643922;0,902415478;0,905889327;0,856886447;0,618776056;0,390483785;-0,34723736;-0,644828714;-0,668699457;-0,423028927;-0,235944091;0,162981916;0,079095336;0,303077666;-0,133801633;-0,135254779;-0,403455226;-0,22881308;-0,187057008;-0,29589974;0,268446851;0,163546491;0,330244563;-0,238893568;-0,088961914;-0,353297512;-0,343358094;-0,417554121;-0,28345307;-0,263053844
0,019;-0,024;0,224;-0,26;0,169;-0,417;-0,054;-0,35;-0,694;-0,472;-0,073;0,852;-0,579910315;-1,053301582;-0,941988045;-0,880398248;-0,484235398;0,316313952;0,785950022;1,717807121;2,018858579;2,124180283;1,621098647;1,196602334;0,334272899;0,562742871;0,776806411;0,817037762;0,824873749;0,729484649;0,649995679;0,517290155;0,254820062;0,239762825;0,208410589;0,260255456;0,56354137;0,782857712;0,667567515;0,903490479;0,916387272;0,7115083;0,581246415;0,269114619;0,277446388;-0,099197714;-0,029617487;-0,09675695;0,096664794;0,13598806;0,127706231;0,126474722;-0,054297618;-0,043978744;-0,180283393;-0,081466219;-0,125765876;0,062508807;0,184806475;0,113830448;-0,583581474;-0,200947949;0,000896676000000002;0,257455436;0,375386812;0,336899218;0,175384971;-0,186105452;-0,474241931;-0,386133568;-0,120456267;0,108860052;-0,026365745;0,150537367;0,195258875;0,306933023;0,456745769;0,740585358;0,884546587;0,929643922;0,902415478;0,905889327;0,856886447;0,618776056;-0,139202762;-0,34723736;-0,644828714;-0,668699457;-0,423028927;-0,235944091;0,162981916;0,079095336;0,303077666;-0,133801633;-0,135254779;-0,403455226;-0,117796039;-0,187057008;-0,29589974;0,268446851;0,163546491;0,330244563;-0,238893568;-0,088961914;-0,353297512;-0,343358094;-0,417554121;-0,28345307
-0,078;0,019;-0,024;0,224;-0,26;0,169;-0,417;-0,054;-0,35;-0,694;-0,472;-0,073;-0,965157904;-0,579910315;-1,053301582;-0,941988045;-0,880398248;-0,484235398;0,316313952;0,785950022;1,717807121;2,018858579;2,124180283;1,621098647;0,211633509;0,334272899;0,562742871;0,776806411;0,817037762;0,824873749;0,729484649;0,649995679;0,517290155;0,254820062;0,239762825;0,208410589;0,687426475;0,56354137;0,782857712;0,667567515;0,903490479;0,916387272;0,7115083;0,581246415;0,269114619;0,277446388;-0,099197714;-0,029617487;0,009192194;0,096664794;0,13598806;0,127706231;0,126474722;-0,054297618;-0,043978744;-0,180283393;-0,081466219;-0,125765876;0,062508807;0,184806475;-0,322254609;-0,583581474;-0,200947949;0,000896676000000002;0,257455436;0,375386812;0,336899218;0,175384971;-0,186105452;-0,474241931;-0,386133568;-0,120456267;-0,088422628;-0,026365745;0,150537367;0,195258875;0,306933023;0,456745769;0,740585358;0,884546587;0,929643922;0,902415478;0,905889327;0,856886447;-0,018443752;-0,139202762;-0,34723736;-0,644828714;-0,668699457;-0,423028927;-0,235944091;0,162981916;0,079095336;0,303077666;-0,133801633;-0,135254779;0,023297155;-0,117796039;-0,187057008;-0,29589974;0,268446851;0,163546491;0,330244563;-0,238893568;-0,088961914;-0,353297512;-0,343358094;-0,417554121
0,432;-0,078;0,019;-0,024;0,224;-0,26;0,169;-0,417;-0,054;-0,35;-0,694;-0,472;-1,046831803;-0,965157904;-0,579910315;-1,053301582;-0,941988045;-0,880398248;-0,484235398;0,316313952;0,785950022;1,717807121;2,018858579;2,124180283;0,282757291;0,211633509;0,334272899;0,562742871;0,776806411;0,817037762;0,824873749;0,729484649;0,649995679;0,517290155;0,254820062;0,239762825;0,617219575;0,687426475;0,56354137;0,782857712;0,667567515;0,903490479;0,916387272;0,7115083;0,581246415;0,269114619;0,277446388;-0,099197714;-0,060558448;0,009192194;0,096664794;0,13598806;0,127706231;0,126474722;-0,054297618;-0,043978744;-0,180283393;-0,081466219;-0,125765876;0,062508807;-0,1290081;-0,322254609;-0,583581474;-0,200947949;0,000896676000000002;0,257455436;0,375386812;0,336899218;0,175384971;-0,186105452;-0,474241931;-0,386133568;-0,171350163;-0,088422628;-0,026365745;0,150537367;0,195258875;0,306933023;0,456745769;0,740585358;0,884546587;0,929643922;0,902415478;0,905889327;-0,105125154;-0,018443752;-0,139202762;-0,34723736;-0,644828714;-0,668699457;-0,423028927;-0,235944091;0,162981916;0,079095336;0,303077666;-0,133801633;-0,090377774;0,023297155;-0,117796039;-0,187057008;-0,29589974;0,268446851;0,163546491;0,330244563;-0,238893568;-0,088961914;-0,353297512;-0,343358094
0,731;0,432;-0,078;0,019;-0,024;0,224;-0,26;0,169;-0,417;-0,054;-0,35;-0,694;-1,422430811;-1,046831803;-0,965157904;-0,579910315;-1,053301582;-0,941988045;-0,880398248;-0,484235398;0,316313952;0,785950022;1,717807121;2,018858579;0,432641551;0,282757291;0,211633509;0,334272899;0,562742871;0,776806411;0,817037762;0,824873749;0,729484649;0,649995679;0,517290155;0,254820062;0,685040123;0,617219575;0,687426475;0,56354137;0,782857712;0,667567515;0,903490479;0,916387272;0,7115083;0,581246415;0,269114619;0,277446388;-0,007544613;-0,060558448;0,009192194;0,096664794;0,13598806;0,127706231;0,126474722;-0,054297618;-0,043978744;-0,180283393;-0,081466219;-0,125765876;0,121180922;-0,1290081;-0,322254609;-0,583581474;-0,200947949;0,000896676000000002;0,257455436;0,375386812;0,336899218;0,175384971;-0,186105452;-0,474241931;-0,127922555;-0,171350163;-0,088422628;-0,026365745;0,150537367;0,195258875;0,306933023;0,456745769;0,740585358;0,884546587;0,929643922;0,902415478;-0,220218489;-0,105125154;-0,018443752;-0,139202762;-0,34723736;-0,644828714;-0,668699457;-0,423028927;-0,235944091;0,162981916;0,079095336;0,303077666;0,022710015;-0,090377774;0,023297155;-0,117796039;-0,187057008;-0,29589974;0,268446851;0,163546491;0,330244563;-0,238893568;-0,088961914;-0,353297512
0,641;0,731;0,432;-0,078;0,019;-0,024;0,224;-0,26;0,169;-0,417;-0,054;-0,35;-0,825067632;-1,422430811;-1,046831803;-0,965157904;-0,579910315;-1,053301582;-0,941988045;-0,880398248;-0,484235398;0,316313952;0,785950022;1,717807121;0,233742366;0,432641551;0,282757291;0,211633509;0,334272899;0,562742871;0,776806411;0,817037762;0,824873749;0,729484649;0,649995679;0,517290155;0,323081961;0,685040123;0,617219575;0,687426475;0,56354137;0,782857712;0,667567515;0,903490479;0,916387272;0,7115083;0,581246415;0,269114619;0,115827738;-0,007544613;-0,060558448;0,009192194;0,096664794;0,13598806;0,127706231;0,126474722;-0,054297618;-0,043978744;-0,180283393;-0,081466219;-0,433433829;0,121180922;-0,1290081;-0,322254609;-0,583581474;-0,200947949;0,000896676000000002;0,257455436;0,375386812;0,336899218;0,175384971;-0,186105452;-0,254043077;-0,127922555;-0,171350163;-0,088422628;-0,026365745;0,150537367;0,195258875;0,306933023;0,456745769;0,740585358;0,884546587;0,929643922;0,003368345;-0,220218489;-0,105125154;-0,018443752;-0,139202762;-0,34723736;-0,644828714;-0,668699457;-0,423028927;-0,235944091;0,162981916;0,079095336;-0,110502609;0,022710015;-0,090377774;0,023297155;-0,117796039;-0,187057008;-0,29589974;0,268446851;0,163546491;0,330244563;-0,238893568;-0,088961914
-0,377;0,641;0,731;0,432;-0,078;0,019;-0,024;0,224;-0,26;0,169;-0,417;-0,054;-0,789349978;-0,825067632;-1,422430811;-1,046831803;-0,965157904;-0,579910315;-1,053301582;-0,941988045;-0,880398248;-0,484235398;0,316313952;0,785950022;0,223755096;0,233742366;0,432641551;0,282757291;0,211633509;0,334272899;0,562742871;0,776806411;0,817037762;0,824873749;0,729484649;0,649995679;0,235512697;0,323081961;0,685040123;0,617219575;0,687426475;0,56354137;0,782857712;0,667567515;0,903490479;0,916387272;0,7115083;0,581246415;0,15996787;0,115827738;-0,007544613;-0,060558448;0,009192194;0,096664794;0,13598806;0,127706231;0,126474722;-0,054297618;-0,043978744;-0,180283393;-0,566926171;-0,433433829;0,121180922;-0,1290081;-0,322254609;-0,583581474;-0,200947949;0,000896676000000002;0,257455436;0,375386812;0,336899218;0,175384971;-0,298805522;-0,254043077;-0,127922555;-0,171350163;-0,088422628;-0,026365745;0,150537367;0,195258875;0,306933023;0,456745769;0,740585358;0,884546587;-0,090828107;0,003368345;-0,220218489;-0,105125154;-0,018443752;-0,139202762;-0,34723736;-0,644828714;-0,668699457;-0,423028927;-0,235944091;0,162981916;-0,235168914;-0,110502609;0,022710015;-0,090377774;0,023297155;-0,117796039;-0,187057008;-0,29589974;0,268446851;0,163546491;0,330244563;-0,238893568
-0,693;-0,377;0,641;0,731;0,432;-0,078;0,019;-0,024;0,224;-0,26;0,169;-0,417;-0,670339652;-0,789349978;-0,825067632;-1,422430811;-1,046831803;-0,965157904;-0,579910315;-1,053301582;-0,941988045;-0,880398248;-0,484235398;0,316313952;0,010979766;0,223755096;0,233742366;0,432641551;0,282757291;0,211633509;0,334272899;0,562742871;0,776806411;0,817037762;0,824873749;0,729484649;0,224641433;0,235512697;0,323081961;0,685040123;0,617219575;0,687426475;0,56354137;0,782857712;0,667567515;0,903490479;0,916387272;0,7115083;0,05509042;0,15996787;0,115827738;-0,007544613;-0,060558448;0,009192194;0,096664794;0,13598806;0,127706231;0,126474722;-0,054297618;-0,043978744;-0,452784495;-0,566926171;-0,433433829;0,121180922;-0,1290081;-0,322254609;-0,583581474;-0,200947949;0,000896676000000002;0,257455436;0,375386812;0,336899218;-0,382906011;-0,298805522;-0,254043077;-0,127922555;-0,171350163;-0,088422628;-0,026365745;0,150537367;0,195258875;0,306933023;0,456745769;0,740585358;-0,067038774;-0,090828107;0,003368345;-0,220218489;-0,105125154;-0,018443752;-0,139202762;-0,34723736;-0,644828714;-0,668699457;-0,423028927;-0,235944091;-0,234841234;-0,235168914;-0,110502609;0,022710015;-0,090377774;0,023297155;-0,117796039;-0,187057008;-0,29589974;0,268446851;0,163546491;0,330244563
-0,728;-0,693;-0,377;0,641;0,731;0,432;-0,078;0,019;-0,024;0,224;-0,26;0,169;-0,97415827;-0,670339652;-0,789349978;-0,825067632;-1,422430811;-1,046831803;-0,965157904;-0,579910315;-1,053301582;-0,941988045;-0,880398248;-0,484235398;-0,025587492;0,010979766;0,223755096;0,233742366;0,432641551;0,282757291;0,211633509;0,334272899;0,562742871;0,776806411;0,817037762;0,824873749;0,346796805;0,224641433;0,235512697;0,323081961;0,685040123;0,617219575;0,687426475;0,56354137;0,782857712;0,667567515;0,903490479;0,916387272;-0,103671814;0,05509042;0,15996787;0,115827738;-0,007544613;-0,060558448;0,009192194;0,096664794;0,13598806;0,127706231;0,126474722;-0,054297618;-0,106243364;-0,452784495;-0,566926171;-0,433433829;0,121180922;-0,1290081;-0,322254609;-0,583581474;-0,200947949;0,000896676000000002;0,257455436;0,375386812;-0,34546844;-0,382906011;-0,298805522;-0,254043077;-0,127922555;-0,171350163;-0,088422628;-0,026365745;0,150537367;0,195258875;0,306933023;0,456745769;-0,282819341;-0,067038774;-0,090828107;0,003368345;-0,220218489;-0,105125154;-0,018443752;-0,139202762;-0,34723736;-0,644828714;-0,668699457;-0,423028927;-0,566756571;-0,234841234;-0,235168914;-0,110502609;0,022710015;-0,090377774;0,023297155;-0,117796039;-0,187057008;-0,29589974;0,268446851;0,163546491
0,227;-0,728;-0,693;-0,377;0,641;0,731;0,432;-0,078;0,019;-0,024;0,224;-0,26;-0,361009866;-0,97415827;-0,670339652;-0,789349978;-0,825067632;-1,422430811;-1,046831803;-0,965157904;-0,579910315;-1,053301582;-0,941988045;-0,880398248;-0,256388146;-0,025587492;0,010979766;0,223755096;0,233742366;0,432641551;0,282757291;0,211633509;0,334272899;0,562742871;0,776806411;0,817037762;0,292595245;0,346796805;0,224641433;0,235512697;0,323081961;0,685040123;0,617219575;0,687426475;0,56354137;0,782857712;0,667567515;0,903490479;-0,018210239;-0,103671814;0,05509042;0,15996787;0,115827738;-0,007544613;-0,060558448;0,009192194;0,096664794;0,13598806;0,127706231;0,126474722;-0,203587702;-0,106243364;-0,452784495;-0,566926171;-0,433433829;0,121180922;-0,1290081;-0,322254609;-0,583581474;-0,200947949;0,000896676000000002;0,257455436;-0,131889225;-0,34546844;-0,382906011;-0,298805522;-0,254043077;-0,127922555;-0,171350163;-0,088422628;-0,026365745;0,150537367;0,195258875;0,306933023;-0,560412242;-0,282819341;-0,067038774;-0,090828107;0,003368345;-0,220218489;-0,105125154;-0,018443752;-0,139202762;-0,34723736;-0,644828714;-0,668699457;-0,525226742;-0,566756571;-0,234841234;-0,235168914;-0,110502609;0,022710015;-0,090377774;0,023297155;-0,117796039;-0,187057008;-0,29589974;0,268446851
