"YS_L1";"YS_L2";"YS_L3";"YS_L4";"YS_L5";"YS_L6";"YS_L7";"YS_L8";"YS_L9";"YS_L10";"YS_L11"
1,618915236;1,489360348;2,331416179;3,392465105;3,485680715;6,107544063;12,186286907;12,041749313;3,334413444;7,546550212;15,508322337
1,272607896;1,618915236;1,489360348;2,331416179;3,392465105;3,485680715;6,107544063;12,186286907;12,041749313;3,334413444;7,546550212
2,206129941;1,272607896;1,618915236;1,489360348;2,331416179;3,392465105;3,485680715;6,107544063;12,186286907;12,041749313;3,334413444
6,797492913;2,206129941;1,272607896;1,618915236;1,489360348;2,331416179;3,392465105;3,485680715;6,107544063;12,186286907;12,041749313
8,498816614;6,797492913;2,206129941;1,272607896;1,618915236;1,489360348;2,331416179;3,392465105;3,485680715;6,107544063;12,186286907
3,238380015;8,498816614;6,797492913;2,206129941;1,272607896;1,618915236;1,489360348;2,331416179;3,392465105;3,485680715;6,107544063
-0,238609156999999;3,238380015;8,498816614;6,797492913;2,206129941;1,272607896;1,618915236;1,489360348;2,331416179;3,392465105;3,485680715
2,35428584;-0,238609156999999;3,238380015;8,498816614;6,797492913;2,206129941;1,272607896;1,618915236;1,489360348;2,331416179;3,392465105
4,632942681;2,35428584;-0,238609156999999;3,238380015;8,498816614;6,797492913;2,206129941;1,272607896;1,618915236;1,489360348;2,331416179
5,130327916;4,632942681;2,35428584;-0,238609156999999;3,238380015;8,498816614;6,797492913;2,206129941;1,272607896;1,618915236;1,489360348
5,569666114;5,130327916;4,632942681;2,35428584;-0,238609156999999;3,238380015;8,498816614;6,797492913;2,206129941;1,272607896;1,618915236
4,94816354;5,569666114;5,130327916;4,632942681;2,35428584;-0,238609156999999;3,238380015;8,498816614;6,797492913;2,206129941;1,272607896
3,554968082;4,94816354;5,569666114;5,130327916;4,632942681;2,35428584;-0,238609156999999;3,238380015;8,498816614;6,797492913;2,206129941
2,727631127;3,554968082;4,94816354;5,569666114;5,130327916;4,632942681;2,35428584;-0,238609156999999;3,238380015;8,498816614;6,797492913
-0,338392822999999;2,727631127;3,554968082;4,94816354;5,569666114;5,130327916;4,632942681;2,35428584;-0,238609156999999;3,238380015;8,498816614
-7,225556066;-0,338392822999999;2,727631127;3,554968082;4,94816354;5,569666114;5,130327916;4,632942681;2,35428584;-0,238609156999999;3,238380015
-7,879754299;-7,225556066;-0,338392822999999;2,727631127;3,554968082;4,94816354;5,569666114;5,130327916;4,632942681;2,35428584;-0,238609156999999
1,22524968;-7,879754299;-7,225556066;-0,338392822999999;2,727631127;3,554968082;4,94816354;5,569666114;5,130327916;4,632942681;2,35428584
5,972441481;1,22524968;-7,879754299;-7,225556066;-0,338392822999999;2,727631127;3,554968082;4,94816354;5,569666114;5,130327916;4,632942681
0,834100366999999;5,972441481;1,22524968;-7,879754299;-7,225556066;-0,338392822999999;2,727631127;3,554968082;4,94816354;5,569666114;5,130327916
-4,123410523;0,834100366999999;5,972441481;1,22524968;-7,879754299;-7,225556066;-0,338392822999999;2,727631127;3,554968082;4,94816354;5,569666114
-5,086965757;-4,123410523;0,834100366999999;5,972441481;1,22524968;-7,879754299;-7,225556066;-0,338392822999999;2,727631127;3,554968082;4,94816354
-4,854528304;-5,086965757;-4,123410523;0,834100366999999;5,972441481;1,22524968;-7,879754299;-7,225556066;-0,338392822999999;2,727631127;3,554968082
-4,847131406;-4,854528304;-5,086965757;-4,123410523;0,834100366999999;5,972441481;1,22524968;-7,879754299;-7,225556066;-0,338392822999999;2,727631127
-5,13118972;-4,847131406;-4,854528304;-5,086965757;-4,123410523;0,834100366999999;5,972441481;1,22524968;-7,879754299;-7,225556066;-0,338392822999999
-5,039255097;-5,13118972;-4,847131406;-4,854528304;-5,086965757;-4,123410523;0,834100366999999;5,972441481;1,22524968;-7,879754299;-7,225556066
