"YW_L1";"YW_L2";"YW_L3";"YW_L4";"YW_L5";"YW_L6";"YW_L7";"YW_L8";"YW_L9";"YW_L10";"YW_L11"
7,788698774;8,18620228;2,329139935;-3,18347808;-1,459470881;-1,877864581;-9,384782685;-9,856582675;5,865431636;9,968184916;-2,223449444
6,926654069;7,788698774;8,18620228;2,329139935;-3,18347808;-1,459470881;-1,877864581;-9,384782685;-9,856582675;5,865431636;9,968184916
7,202302264;6,926654069;7,788698774;8,18620228;2,329139935;-3,18347808;-1,459470881;-1,877864581;-9,384782685;-9,856582675;5,865431636
2,315199779;7,202302264;6,926654069;7,788698774;8,18620228;2,329139935;-3,18347808;-1,459470881;-1,877864581;-9,384782685;-9,856582675
-3,577128152;2,315199779;7,202302264;6,926654069;7,788698774;8,18620228;2,329139935;-3,18347808;-1,459470881;-1,877864581;-9,384782685
-3,461510349;-3,577128152;2,315199779;7,202302264;6,926654069;7,788698774;8,18620228;2,329139935;-3,18347808;-1,459470881;-1,877864581
1,291550763;-3,461510349;-3,577128152;2,315199779;7,202302264;6,926654069;7,788698774;8,18620228;2,329139935;-3,18347808;-1,459470881
1,677398106;1,291550763;-3,461510349;-3,577128152;2,315199779;7,202302264;6,926654069;7,788698774;8,18620228;2,329139935;-3,18347808
-0,472522563;1,677398106;1,291550763;-3,461510349;-3,577128152;2,315199779;7,202302264;6,926654069;7,788698774;8,18620228;2,329139935
3,2478564;-0,472522563;1,677398106;1,291550763;-3,461510349;-3,577128152;2,315199779;7,202302264;6,926654069;7,788698774;8,18620228
10,715567135;3,2478564;-0,472522563;1,677398106;1,291550763;-3,461510349;-3,577128152;2,315199779;7,202302264;6,926654069;7,788698774
12,027166203;10,715567135;3,2478564;-0,472522563;1,677398106;1,291550763;-3,461510349;-3,577128152;2,315199779;7,202302264;6,926654069
5,002936946;12,027166203;10,715567135;3,2478564;-0,472522563;1,677398106;1,291550763;-3,461510349;-3,577128152;2,315199779;7,202302264
0,886439053;5,002936946;12,027166203;10,715567135;3,2478564;-0,472522563;1,677398106;1,291550763;-3,461510349;-3,577128152;2,315199779
2,884828634;0,886439053;5,002936946;12,027166203;10,715567135;3,2478564;-0,472522563;1,677398106;1,291550763;-3,461510349;-3,577128152
5,734608427;2,884828634;0,886439053;5,002936946;12,027166203;10,715567135;3,2478564;-0,472522563;1,677398106;1,291550763;-3,461510349
4,157399751;5,734608427;2,884828634;0,886439053;5,002936946;12,027166203;10,715567135;3,2478564;-0,472522563;1,677398106;1,291550763
