"YA_L1";"YA_L2";"YA_L3";"YA_L4";"YA_L5";"YA_L6";"YA_L7";"YA_L8";"YA_L9";"YA_L10";"YA_L11"
1,898110666;2,031887681;0,968503268;-0,663268578;-2,884364743;-5,833611519;-7,13840871;-7,101238964;-7,235991647;-6,64195993;-6,247508917
0,968657743;1,898110666;2,031887681;0,968503268;-0,663268578;-2,884364743;-5,833611519;-7,13840871;-7,101238964;-7,235991647;-6,64195993
-1,121191159;0,968657743;1,898110666;2,031887681;0,968503268;-0,663268578;-2,884364743;-5,833611519;-7,13840871;-7,101238964;-7,235991647
-4,273760531;-1,121191159;0,968657743;1,898110666;2,031887681;0,968503268;-0,663268578;-2,884364743;-5,833611519;-7,13840871;-7,101238964
-6,142975579;-4,273760531;-1,121191159;0,968657743;1,898110666;2,031887681;0,968503268;-0,663268578;-2,884364743;-5,833611519;-7,13840871
-6,460264899;-6,142975579;-4,273760531;-1,121191159;0,968657743;1,898110666;2,031887681;0,968503268;-0,663268578;-2,884364743;-5,833611519
-4,870620139;-6,460264899;-6,142975579;-4,273760531;-1,121191159;0,968657743;1,898110666;2,031887681;0,968503268;-0,663268578;-2,884364743
-3,434387345;-4,870620139;-6,460264899;-6,142975579;-4,273760531;-1,121191159;0,968657743;1,898110666;2,031887681;0,968503268;-0,663268578
-1,524281766;-3,434387345;-4,870620139;-6,460264899;-6,142975579;-4,273760531;-1,121191159;0,968657743;1,898110666;2,031887681;0,968503268
-0,170111347;-1,524281766;-3,434387345;-4,870620139;-6,460264899;-6,142975579;-4,273760531;-1,121191159;0,968657743;1,898110666;2,031887681
1,496368667;-0,170111347;-1,524281766;-3,434387345;-4,870620139;-6,460264899;-6,142975579;-4,273760531;-1,121191159;0,968657743;1,898110666
1,957888069;1,496368667;-0,170111347;-1,524281766;-3,434387345;-4,870620139;-6,460264899;-6,142975579;-4,273760531;-1,121191159;0,968657743
2,469167005;1,957888069;1,496368667;-0,170111347;-1,524281766;-3,434387345;-4,870620139;-6,460264899;-6,142975579;-4,273760531;-1,121191159
3,277577842;2,469167005;1,957888069;1,496368667;-0,170111347;-1,524281766;-3,434387345;-4,870620139;-6,460264899;-6,142975579;-4,273760531
4,335663046;3,277577842;2,469167005;1,957888069;1,496368667;-0,170111347;-1,524281766;-3,434387345;-4,870620139;-6,460264899;-6,142975579
6,136893557;4,335663046;3,277577842;2,469167005;1,957888069;1,496368667;-0,170111347;-1,524281766;-3,434387345;-4,870620139;-6,460264899
7,690991936;6,136893557;4,335663046;3,277577842;2,469167005;1,957888069;1,496368667;-0,170111347;-1,524281766;-3,434387345;-4,870620139
9,562242168;7,690991936;6,136893557;4,335663046;3,277577842;2,469167005;1,957888069;1,496368667;-0,170111347;-1,524281766;-3,434387345
10,159547948;9,562242168;7,690991936;6,136893557;4,335663046;3,277577842;2,469167005;1,957888069;1,496368667;-0,170111347;-1,524281766
10,660049224;10,159547948;9,562242168;7,690991936;6,136893557;4,335663046;3,277577842;2,469167005;1,957888069;1,496368667;-0,170111347
9,82743292;10,660049224;10,159547948;9,562242168;7,690991936;6,136893557;4,335663046;3,277577842;2,469167005;1,957888069;1,496368667
9,363814737;9,82743292;10,660049224;10,159547948;9,562242168;7,690991936;6,136893557;4,335663046;3,277577842;2,469167005;1,957888069
7,456650713;9,363814737;9,82743292;10,660049224;10,159547948;9,562242168;7,690991936;6,136893557;4,335663046;3,277577842;2,469167005
5,558677025;7,456650713;9,363814737;9,82743292;10,660049224;10,159547948;9,562242168;7,690991936;6,136893557;4,335663046;3,277577842
4,992916157;5,558677025;7,456650713;9,363814737;9,82743292;10,660049224;10,159547948;9,562242168;7,690991936;6,136893557;4,335663046
4,848587812;4,992916157;5,558677025;7,456650713;9,363814737;9,82743292;10,660049224;10,159547948;9,562242168;7,690991936;6,136893557
5,985810392;4,848587812;4,992916157;5,558677025;7,456650713;9,363814737;9,82743292;10,660049224;10,159547948;9,562242168;7,690991936
6,291707209;5,985810392;4,848587812;4,992916157;5,558677025;7,456650713;9,363814737;9,82743292;10,660049224;10,159547948;9,562242168
6,940527591;6,291707209;5,985810392;4,848587812;4,992916157;5,558677025;7,456650713;9,363814737;9,82743292;10,660049224;10,159547948
6,731309006;6,940527591;6,291707209;5,985810392;4,848587812;4,992916157;5,558677025;7,456650713;9,363814737;9,82743292;10,660049224
6,711776291;6,731309006;6,940527591;6,291707209;5,985810392;4,848587812;4,992916157;5,558677025;7,456650713;9,363814737;9,82743292
6,646732974;6,711776291;6,731309006;6,940527591;6,291707209;5,985810392;4,848587812;4,992916157;5,558677025;7,456650713;9,363814737
4,758197825;6,646732974;6,711776291;6,731309006;6,940527591;6,291707209;5,985810392;4,848587812;4,992916157;5,558677025;7,456650713
3,920070381;4,758197825;6,646732974;6,711776291;6,731309006;6,940527591;6,291707209;5,985810392;4,848587812;4,992916157;5,558677025
1,939145284;3,920070381;4,758197825;6,646732974;6,711776291;6,731309006;6,940527591;6,291707209;5,985810392;4,848587812;4,992916157
-0,355117949;1,939145284;3,920070381;4,758197825;6,646732974;6,711776291;6,731309006;6,940527591;6,291707209;5,985810392;4,848587812
-3,327082397;-0,355117949;1,939145284;3,920070381;4,758197825;6,646732974;6,711776291;6,731309006;6,940527591;6,291707209;5,985810392
-5,727754328;-3,327082397;-0,355117949;1,939145284;3,920070381;4,758197825;6,646732974;6,711776291;6,731309006;6,940527591;6,291707209
-6,377526987;-5,727754328;-3,327082397;-0,355117949;1,939145284;3,920070381;4,758197825;6,646732974;6,711776291;6,731309006;6,940527591
-7,854759256;-6,377526987;-5,727754328;-3,327082397;-0,355117949;1,939145284;3,920070381;4,758197825;6,646732974;6,711776291;6,731309006
-8,116763488;-7,854759256;-6,377526987;-5,727754328;-3,327082397;-0,355117949;1,939145284;3,920070381;4,758197825;6,646732974;6,711776291
-6,893128584;-8,116763488;-7,854759256;-6,377526987;-5,727754328;-3,327082397;-0,355117949;1,939145284;3,920070381;4,758197825;6,646732974
