"YM_L1";"YM_L2";"YM_L3";"YM_L4";"YM_L5";"YM_L6";"YM_L7";"YM_L8";"YM_L9";"YM_L10";"YM_L11"
16,306781354;13,984068403;2,24987182;-1,094690114;2,878853729;-3,437581262;-17,967557948;-17,814753098;-1,713585695;1,804670686;-12,530881553
7,983058842;16,306781354;13,984068403;2,24987182;-1,094690114;2,878853729;-3,437581262;-17,967557948;-17,814753098;-1,713585695;1,804670686
4,715054176;7,983058842;16,306781354;13,984068403;2,24987182;-1,094690114;2,878853729;-3,437581262;-17,967557948;-17,814753098;-1,713585695
7,494167762;4,715054176;7,983058842;16,306781354;13,984068403;2,24987182;-1,094690114;2,878853729;-3,437581262;-17,967557948;-17,814753098
3,044858277;7,494167762;4,715054176;7,983058842;16,306781354;13,984068403;2,24987182;-1,094690114;2,878853729;-3,437581262;-17,967557948
-7,792985562;3,044858277;7,494167762;4,715054176;7,983058842;16,306781354;13,984068403;2,24987182;-1,094690114;2,878853729;-3,437581262
-8,16129173;-7,792985562;3,044858277;7,494167762;4,715054176;7,983058842;16,306781354;13,984068403;2,24987182;-1,094690114;2,878853729
1,867330707;-8,16129173;-7,792985562;3,044858277;7,494167762;4,715054176;7,983058842;16,306781354;13,984068403;2,24987182;-1,094690114
4,130571416;1,867330707;-8,16129173;-7,792985562;3,044858277;7,494167762;4,715054176;7,983058842;16,306781354;13,984068403;2,24987182
-1,657932375;4,130571416;1,867330707;-8,16129173;-7,792985562;3,044858277;7,494167762;4,715054176;7,983058842;16,306781354;13,984068403
3,829943262;-1,657932375;4,130571416;1,867330707;-8,16129173;-7,792985562;3,044858277;7,494167762;4,715054176;7,983058842;16,306781354
18,746165551;3,829943262;-1,657932375;4,130571416;1,867330707;-8,16129173;-7,792985562;3,044858277;7,494167762;4,715054176;7,983058842
16,612907353;18,746165551;3,829943262;-1,657932375;4,130571416;1,867330707;-8,16129173;-7,792985562;3,044858277;7,494167762;4,715054176
-0,535169968000001;16,612907353;18,746165551;3,829943262;-1,657932375;4,130571416;1,867330707;-8,16129173;-7,792985562;3,044858277;7,494167762
-2,06990683;-0,535169968000001;16,612907353;18,746165551;3,829943262;-1,657932375;4,130571416;1,867330707;-8,16129173;-7,792985562;3,044858277
11,493043503;-2,06990683;-0,535169968000001;16,612907353;18,746165551;3,829943262;-1,657932375;4,130571416;1,867330707;-8,16129173;-7,792985562
10,002616985;11,493043503;-2,06990683;-0,535169968000001;16,612907353;18,746165551;3,829943262;-1,657932375;4,130571416;1,867330707;-8,16129173
-6,677046783;10,002616985;11,493043503;-2,06990683;-0,535169968000001;16,612907353;18,746165551;3,829943262;-1,657932375;4,130571416;1,867330707
-7,46006174;-6,677046783;10,002616985;11,493043503;-2,06990683;-0,535169968000001;16,612907353;18,746165551;3,829943262;-1,657932375;4,130571416
7,776983645;-7,46006174;-6,677046783;10,002616985;11,493043503;-2,06990683;-0,535169968000001;16,612907353;18,746165551;3,829943262;-1,657932375
9,502953728;7,776983645;-7,46006174;-6,677046783;10,002616985;11,493043503;-2,06990683;-0,535169968000001;16,612907353;18,746165551;3,829943262
-2,105929457;9,502953728;7,776983645;-7,46006174;-6,677046783;10,002616985;11,493043503;-2,06990683;-0,535169968000001;16,612907353;18,746165551
0,0671163210000006;-2,105929457;9,502953728;7,776983645;-7,46006174;-6,677046783;10,002616985;11,493043503;-2,06990683;-0,535169968000001;16,612907353
16,107331459;0,0671163210000006;-2,105929457;9,502953728;7,776983645;-7,46006174;-6,677046783;10,002616985;11,493043503;-2,06990683;-0,535169968000001
17,745276139;16,107331459;0,0671163210000006;-2,105929457;9,502953728;7,776983645;-7,46006174;-6,677046783;10,002616985;11,493043503;-2,06990683
4,203718594;17,745276139;16,107331459;0,0671163210000006;-2,105929457;9,502953728;7,776983645;-7,46006174;-6,677046783;10,002616985;11,493043503
1,383926701;4,203718594;17,745276139;16,107331459;0,0671163210000006;-2,105929457;9,502953728;7,776983645;-7,46006174;-6,677046783;10,002616985
9,458412108;1,383926701;4,203718594;17,745276139;16,107331459;0,0671163210000006;-2,105929457;9,502953728;7,776983645;-7,46006174;-6,677046783
5,73291251;9,458412108;1,383926701;4,203718594;17,745276139;16,107331459;0,0671163210000006;-2,105929457;9,502953728;7,776983645;-7,46006174
-9,437687372;5,73291251;9,458412108;1,383926701;4,203718594;17,745276139;16,107331459;0,0671163210000006;-2,105929457;9,502953728;7,776983645
-11,976704345;-9,437687372;5,73291251;9,458412108;1,383926701;4,203718594;17,745276139;16,107331459;0,0671163210000006;-2,105929457;9,502953728
-1,62666551;-11,976704345;-9,437687372;5,73291251;9,458412108;1,383926701;4,203718594;17,745276139;16,107331459;0,0671163210000006;-2,105929457
0,360633858;-1,62666551;-11,976704345;-9,437687372;5,73291251;9,458412108;1,383926701;4,203718594;17,745276139;16,107331459;0,0671163210000006
-5,689975973;0,360633858;-1,62666551;-11,976704345;-9,437687372;5,73291251;9,458412108;1,383926701;4,203718594;17,745276139;16,107331459
-3,410959047;-5,689975973;0,360633858;-1,62666551;-11,976704345;-9,437687372;5,73291251;9,458412108;1,383926701;4,203718594;17,745276139
6,559642689;-3,410959047;-5,689975973;0,360633858;-1,62666551;-11,976704345;-9,437687372;5,73291251;9,458412108;1,383926701;4,203718594
8,863464624;6,559642689;-3,410959047;-5,689975973;0,360633858;-1,62666551;-11,976704345;-9,437687372;5,73291251;9,458412108;1,383926701
3,252291366;8,863464624;6,559642689;-3,410959047;-5,689975973;0,360633858;-1,62666551;-11,976704345;-9,437687372;5,73291251;9,458412108
1,654733046;3,252291366;8,863464624;6,559642689;-3,410959047;-5,689975973;0,360633858;-1,62666551;-11,976704345;-9,437687372;5,73291251
3,283433375;1,654733046;3,252291366;8,863464624;6,559642689;-3,410959047;-5,689975973;0,360633858;-1,62666551;-11,976704345;-9,437687372
-0,722974807;3,283433375;1,654733046;3,252291366;8,863464624;6,559642689;-3,410959047;-5,689975973;0,360633858;-1,62666551;-11,976704345
-8,140819303;-0,722974807;3,283433375;1,654733046;3,252291366;8,863464624;6,559642689;-3,410959047;-5,689975973;0,360633858;-1,62666551
-8,057911517;-8,140819303;-0,722974807;3,283433375;1,654733046;3,252291366;8,863464624;6,559642689;-3,410959047;-5,689975973;0,360633858
-1,961447964;-8,057911517;-8,140819303;-0,722974807;3,283433375;1,654733046;3,252291366;8,863464624;6,559642689;-3,410959047;-5,689975973
-1,070739568;-1,961447964;-8,057911517;-8,140819303;-0,722974807;3,283433375;1,654733046;3,252291366;8,863464624;6,559642689;-3,410959047
-4,944962328;-1,070739568;-1,961447964;-8,057911517;-8,140819303;-0,722974807;3,283433375;1,654733046;3,252291366;8,863464624;6,559642689
-3,139539722;-4,944962328;-1,070739568;-1,961447964;-8,057911517;-8,140819303;-0,722974807;3,283433375;1,654733046;3,252291366;8,863464624
4,689885222;-3,139539722;-4,944962328;-1,070739568;-1,961447964;-8,057911517;-8,140819303;-0,722974807;3,283433375;1,654733046;3,252291366
5,904350961;4,689885222;-3,139539722;-4,944962328;-1,070739568;-1,961447964;-8,057911517;-8,140819303;-0,722974807;3,283433375;1,654733046
-2,420940989;5,904350961;4,689885222;-3,139539722;-4,944962328;-1,070739568;-1,961447964;-8,057911517;-8,140819303;-0,722974807;3,283433375
-8,153985949;-2,420940989;5,904350961;4,689885222;-3,139539722;-4,944962328;-1,070739568;-1,961447964;-8,057911517;-8,140819303;-0,722974807
-6,502760225;-8,153985949;-2,420940989;5,904350961;4,689885222;-3,139539722;-4,944962328;-1,070739568;-1,961447964;-8,057911517;-8,140819303
