"Y";"Y_L1";"Y_L2";"Y_L3";"Y_L4";"Y_L5";"Y_L6";"Y_L7";"Y_L8";"Y_L9";"Y_L10";"Y_L11"
0,408;0,146;-0,241;0,145;-0,193;-0,314;-0,181;-1,111;-0,526;-0,423;0,158;-0,00600000000000001
0,75;0,408;0,146;-0,241;0,145;-0,193;-0,314;-0,181;-1,111;-0,526;-0,423;0,158
0,563;0,75;0,408;0,146;-0,241;0,145;-0,193;-0,314;-0,181;-1,111;-0,526;-0,423
0,055;0,563;0,75;0,408;0,146;-0,241;0,145;-0,193;-0,314;-0,181;-1,111;-0,526
0,038;0,055;0,563;0,75;0,408;0,146;-0,241;0,145;-0,193;-0,314;-0,181;-1,111
-0,087;0,038;0,055;0,563;0,75;0,408;0,146;-0,241;0,145;-0,193;-0,314;-0,181
-0,15;-0,087;0,038;0,055;0,563;0,75;0,408;0,146;-0,241;0,145;-0,193;-0,314
-0,288;-0,15;-0,087;0,038;0,055;0,563;0,75;0,408;0,146;-0,241;0,145;-0,193
-0,156;-0,288;-0,15;-0,087;0,038;0,055;0,563;0,75;0,408;0,146;-0,241;0,145
0,185;-0,156;-0,288;-0,15;-0,087;0,038;0,055;0,563;0,75;0,408;0,146;-0,241
-0,284;0,185;-0,156;-0,288;-0,15;-0,087;0,038;0,055;0,563;0,75;0,408;0,146
-0,279;-0,284;0,185;-0,156;-0,288;-0,15;-0,087;0,038;0,055;0,563;0,75;0,408
-0,72;-0,279;-0,284;0,185;-0,156;-0,288;-0,15;-0,087;0,038;0,055;0,563;0,75
-0,726;-0,72;-0,279;-0,284;0,185;-0,156;-0,288;-0,15;-0,087;0,038;0,055;0,563
-0,915;-0,726;-0,72;-0,279;-0,284;0,185;-0,156;-0,288;-0,15;-0,087;0,038;0,055
-0,878;-0,915;-0,726;-0,72;-0,279;-0,284;0,185;-0,156;-0,288;-0,15;-0,087;0,038
0,333;-0,878;-0,915;-0,726;-0,72;-0,279;-0,284;0,185;-0,156;-0,288;-0,15;-0,087
0,872;0,333;-0,878;-0,915;-0,726;-0,72;-0,279;-0,284;0,185;-0,156;-0,288;-0,15
0,47;0,872;0,333;-0,878;-0,915;-0,726;-0,72;-0,279;-0,284;0,185;-0,156;-0,288
0,211;0,47;0,872;0,333;-0,878;-0,915;-0,726;-0,72;-0,279;-0,284;0,185;-0,156
0,358;0,211;0,47;0,872;0,333;-0,878;-0,915;-0,726;-0,72;-0,279;-0,284;0,185
0,329;0,358;0,211;0,47;0,872;0,333;-0,878;-0,915;-0,726;-0,72;-0,279;-0,284
-0,259;0,329;0,358;0,211;0,47;0,872;0,333;-0,878;-0,915;-0,726;-0,72;-0,279
-0,889;-0,259;0,329;0,358;0,211;0,47;0,872;0,333;-0,878;-0,915;-0,726;-0,72
-0,023;-0,889;-0,259;0,329;0,358;0,211;0,47;0,872;0,333;-0,878;-0,915;-0,726
0,47;-0,023;-0,889;-0,259;0,329;0,358;0,211;0,47;0,872;0,333;-0,878;-0,915
0,248;0,47;-0,023;-0,889;-0,259;0,329;0,358;0,211;0,47;0,872;0,333;-0,878
0,552;0,248;0,47;-0,023;-0,889;-0,259;0,329;0,358;0,211;0,47;0,872;0,333
0,471;0,552;0,248;0,47;-0,023;-0,889;-0,259;0,329;0,358;0,211;0,47;0,872
0,28;0,471;0,552;0,248;0,47;-0,023;-0,889;-0,259;0,329;0,358;0,211;0,47
-0,646;0,28;0,471;0,552;0,248;0,47;-0,023;-0,889;-0,259;0,329;0,358;0,211
-0,745;-0,646;0,28;0,471;0,552;0,248;0,47;-0,023;-0,889;-0,259;0,329;0,358
-0,453;-0,745;-0,646;0,28;0,471;0,552;0,248;0,47;-0,023;-0,889;-0,259;0,329
-0,389;-0,453;-0,745;-0,646;0,28;0,471;0,552;0,248;0,47;-0,023;-0,889;-0,259
-0,168;-0,389;-0,453;-0,745;-0,646;0,28;0,471;0,552;0,248;0,47;-0,023;-0,889
0,367;-0,168;-0,389;-0,453;-0,745;-0,646;0,28;0,471;0,552;0,248;0,47;-0,023
0,972;0,367;-0,168;-0,389;-0,453;-0,745;-0,646;0,28;0,471;0,552;0,248;0,47
0,652;0,972;0,367;-0,168;-0,389;-0,453;-0,745;-0,646;0,28;0,471;0,552;0,248
1,08;0,652;0,972;0,367;-0,168;-0,389;-0,453;-0,745;-0,646;0,28;0,471;0,552
0,807;1,08;0,652;0,972;0,367;-0,168;-0,389;-0,453;-0,745;-0,646;0,28;0,471
0,202;0,807;1,08;0,652;0,972;0,367;-0,168;-0,389;-0,453;-0,745;-0,646;0,28
-0,305;0,202;0,807;1,08;0,652;0,972;0,367;-0,168;-0,389;-0,453;-0,745;-0,646
-0,805;-0,305;0,202;0,807;1,08;0,652;0,972;0,367;-0,168;-0,389;-0,453;-0,745
-0,952;-0,805;-0,305;0,202;0,807;1,08;0,652;0,972;0,367;-0,168;-0,389;-0,453
-1,329;-0,952;-0,805;-0,305;0,202;0,807;1,08;0,652;0,972;0,367;-0,168;-0,389
-1,312;-1,329;-0,952;-0,805;-0,305;0,202;0,807;1,08;0,652;0,972;0,367;-0,168
-0,916;-1,312;-1,329;-0,952;-0,805;-0,305;0,202;0,807;1,08;0,652;0,972;0,367
0,03;-0,916;-1,312;-1,329;-0,952;-0,805;-0,305;0,202;0,807;1,08;0,652;0,972
0,705;0,03;-0,916;-1,312;-1,329;-0,952;-0,805;-0,305;0,202;0,807;1,08;0,652
0,939;0,705;0,03;-0,916;-1,312;-1,329;-0,952;-0,805;-0,305;0,202;0,807;1,08
0,992;0,939;0,705;0,03;-0,916;-1,312;-1,329;-0,952;-0,805;-0,305;0,202;0,807
0,399;0,992;0,939;0,705;0,03;-0,916;-1,312;-1,329;-0,952;-0,805;-0,305;0,202
0,203;0,399;0,992;0,939;0,705;0,03;-0,916;-1,312;-1,329;-0,952;-0,805;-0,305
-0,627;0,203;0,399;0,992;0,939;0,705;0,03;-0,916;-1,312;-1,329;-0,952;-0,805
-0,895;-0,627;0,203;0,399;0,992;0,939;0,705;0,03;-0,916;-1,312;-1,329;-0,952
-0,887;-0,895;-0,627;0,203;0,399;0,992;0,939;0,705;0,03;-0,916;-1,312;-1,329
-1,161;-0,887;-0,895;-0,627;0,203;0,399;0,992;0,939;0,705;0,03;-0,916;-1,312
-1,233;-1,161;-0,887;-0,895;-0,627;0,203;0,399;0,992;0,939;0,705;0,03;-0,916
-1,307;-1,233;-1,161;-0,887;-0,895;-0,627;0,203;0,399;0,992;0,939;0,705;0,03
-0,921;-1,307;-1,233;-1,161;-0,887;-0,895;-0,627;0,203;0,399;0,992;0,939;0,705
-1,15;-0,921;-1,307;-1,233;-1,161;-0,887;-0,895;-0,627;0,203;0,399;0,992;0,939
-0,901;-1,15;-0,921;-1,307;-1,233;-1,161;-0,887;-0,895;-0,627;0,203;0,399;0,992
-0,818;-0,901;-1,15;-0,921;-1,307;-1,233;-1,161;-0,887;-0,895;-0,627;0,203;0,399
-0,245;-0,818;-0,901;-1,15;-0,921;-1,307;-1,233;-1,161;-0,887;-0,895;-0,627;0,203
-0,697;-0,245;-0,818;-0,901;-1,15;-0,921;-1,307;-1,233;-1,161;-0,887;-0,895;-0,627
-0,591;-0,697;-0,245;-0,818;-0,901;-1,15;-0,921;-1,307;-1,233;-1,161;-0,887;-0,895
-0,035;-0,591;-0,697;-0,245;-0,818;-0,901;-1,15;-0,921;-1,307;-1,233;-1,161;-0,887
-0,351;-0,035;-0,591;-0,697;-0,245;-0,818;-0,901;-1,15;-0,921;-1,307;-1,233;-1,161
-0,683;-0,351;-0,035;-0,591;-0,697;-0,245;-0,818;-0,901;-1,15;-0,921;-1,307;-1,233
-0,283;-0,683;-0,351;-0,035;-0,591;-0,697;-0,245;-0,818;-0,901;-1,15;-0,921;-1,307
0,182;-0,283;-0,683;-0,351;-0,035;-0,591;-0,697;-0,245;-0,818;-0,901;-1,15;-0,921
0,0589999999999999;0,182;-0,283;-0,683;-0,351;-0,035;-0,591;-0,697;-0,245;-0,818;-0,901;-1,15
-0,384;0,0589999999999999;0,182;-0,283;-0,683;-0,351;-0,035;-0,591;-0,697;-0,245;-0,818;-0,901
0,07;-0,384;0,0589999999999999;0,182;-0,283;-0,683;-0,351;-0,035;-0,591;-0,697;-0,245;-0,818
-0,157;0,07;-0,384;0,0589999999999999;0,182;-0,283;-0,683;-0,351;-0,035;-0,591;-0,697;-0,245
-0,355;-0,157;0,07;-0,384;0,0589999999999999;0,182;-0,283;-0,683;-0,351;-0,035;-0,591;-0,697
-0,577;-0,355;-0,157;0,07;-0,384;0,0589999999999999;0,182;-0,283;-0,683;-0,351;-0,035;-0,591
-1,012;-0,577;-0,355;-0,157;0,07;-0,384;0,0589999999999999;0,182;-0,283;-0,683;-0,351;-0,035
-1,64;-1,012;-0,577;-0,355;-0,157;0,07;-0,384;0,0589999999999999;0,182;-0,283;-0,683;-0,351
-1,508;-1,64;-1,012;-0,577;-0,355;-0,157;0,07;-0,384;0,0589999999999999;0,182;-0,283;-0,683
-0,863;-1,508;-1,64;-1,012;-0,577;-0,355;-0,157;0,07;-0,384;0,0589999999999999;0,182;-0,283
-1,065;-0,863;-1,508;-1,64;-1,012;-0,577;-0,355;-0,157;0,07;-0,384;0,0589999999999999;0,182
-0,888;-1,065;-0,863;-1,508;-1,64;-1,012;-0,577;-0,355;-0,157;0,07;-0,384;0,0589999999999999
-0,339;-0,888;-1,065;-0,863;-1,508;-1,64;-1,012;-0,577;-0,355;-0,157;0,07;-0,384
1,135;-0,339;-0,888;-1,065;-0,863;-1,508;-1,64;-1,012;-0,577;-0,355;-0,157;0,07
1,314;1,135;-0,339;-0,888;-1,065;-0,863;-1,508;-1,64;-1,012;-0,577;-0,355;-0,157
1,315;1,314;1,135;-0,339;-0,888;-1,065;-0,863;-1,508;-1,64;-1,012;-0,577;-0,355
1,649;1,315;1,314;1,135;-0,339;-0,888;-1,065;-0,863;-1,508;-1,64;-1,012;-0,577
2,368;1,649;1,315;1,314;1,135;-0,339;-0,888;-1,065;-0,863;-1,508;-1,64;-1,012
1,783;2,368;1,649;1,315;1,314;1,135;-0,339;-0,888;-1,065;-0,863;-1,508;-1,64
1,032;1,783;2,368;1,649;1,315;1,314;1,135;-0,339;-0,888;-1,065;-0,863;-1,508
0,177;1,032;1,783;2,368;1,649;1,315;1,314;1,135;-0,339;-0,888;-1,065;-0,863
0,576;0,177;1,032;1,783;2,368;1,649;1,315;1,314;1,135;-0,339;-0,888;-1,065
0,715;0,576;0,177;1,032;1,783;2,368;1,649;1,315;1,314;1,135;-0,339;-0,888
0,654;0,715;0,576;0,177;1,032;1,783;2,368;1,649;1,315;1,314;1,135;-0,339
1,467;0,654;0,715;0,576;0,177;1,032;1,783;2,368;1,649;1,315;1,314;1,135
1,425;1,467;0,654;0,715;0,576;0,177;1,032;1,783;2,368;1,649;1,315;1,314
1,79;1,425;1,467;0,654;0,715;0,576;0,177;1,032;1,783;2,368;1,649;1,315
1,919;1,79;1,425;1,467;0,654;0,715;0,576;0,177;1,032;1,783;2,368;1,649
1,864;1,919;1,79;1,425;1,467;0,654;0,715;0,576;0,177;1,032;1,783;2,368
1,826;1,864;1,919;1,79;1,425;1,467;0,654;0,715;0,576;0,177;1,032;1,783
1,285;1,826;1,864;1,919;1,79;1,425;1,467;0,654;0,715;0,576;0,177;1,032
1,722;1,285;1,826;1,864;1,919;1,79;1,425;1,467;0,654;0,715;0,576;0,177
1,985;1,722;1,285;1,826;1,864;1,919;1,79;1,425;1,467;0,654;0,715;0,576
1,265;1,985;1,722;1,285;1,826;1,864;1,919;1,79;1,425;1,467;0,654;0,715
1,626;1,265;1,985;1,722;1,285;1,826;1,864;1,919;1,79;1,425;1,467;0,654
1,908;1,626;1,265;1,985;1,722;1,285;1,826;1,864;1,919;1,79;1,425;1,467
1,989;1,908;1,626;1,265;1,985;1,722;1,285;1,826;1,864;1,919;1,79;1,425
