"YA_L1";"YA_L2";"YA_L3";"YA_L4";"YA_L5";"YA_L6";"YA_L7";"YA_L8";"YA_L9";"YA_L10";"YA_L11"
-2,972509473;-4,428377218;-5,174472311;-4,937029109;-4,005555902;-4,864953776;-5,240298044;-5,069351283;-6,267488379;-7,305228508;-9,13187366
-2,465729602;-2,972509473;-4,428377218;-5,174472311;-4,937029109;-4,005555902;-4,864953776;-5,240298044;-5,069351283;-6,267488379;-7,305228508
-2,645472925;-2,465729602;-2,972509473;-4,428377218;-5,174472311;-4,937029109;-4,005555902;-4,864953776;-5,240298044;-5,069351283;-6,267488379
-4,443871878;-2,645472925;-2,465729602;-2,972509473;-4,428377218;-5,174472311;-4,937029109;-4,005555902;-4,864953776;-5,240298044;-5,069351283
-4,646606912;-4,443871878;-2,645472925;-2,465729602;-2,972509473;-4,428377218;-5,174472311;-4,937029109;-4,005555902;-4,864953776;-5,240298044
-4,50237683;-4,646606912;-4,443871878;-2,645472925;-2,465729602;-2,972509473;-4,428377218;-5,174472311;-4,937029109;-4,005555902;-4,864953776
-2,401453134;-4,50237683;-4,646606912;-4,443871878;-2,645472925;-2,465729602;-2,972509473;-4,428377218;-5,174472311;-4,937029109;-4,005555902
-0,156809503;-2,401453134;-4,50237683;-4,646606912;-4,443871878;-2,645472925;-2,465729602;-2,972509473;-4,428377218;-5,174472311;-4,937029109
2,81138128;-0,156809503;-2,401453134;-4,50237683;-4,646606912;-4,443871878;-2,645472925;-2,465729602;-2,972509473;-4,428377218;-5,174472311
5,96678221;2,81138128;-0,156809503;-2,401453134;-4,50237683;-4,646606912;-4,443871878;-2,645472925;-2,465729602;-2,972509473;-4,428377218
9,187360603;5,96678221;2,81138128;-0,156809503;-2,401453134;-4,50237683;-4,646606912;-4,443871878;-2,645472925;-2,465729602;-2,972509473
11,520130237;9,187360603;5,96678221;2,81138128;-0,156809503;-2,401453134;-4,50237683;-4,646606912;-4,443871878;-2,645472925;-2,465729602
12,628714953;11,520130237;9,187360603;5,96678221;2,81138128;-0,156809503;-2,401453134;-4,50237683;-4,646606912;-4,443871878;-2,645472925
