"YM_L1";"YM_L2";"YM_L3";"YM_L4";"YM_L5";"YM_L6";"YM_L7";"YM_L8";"YM_L9";"YM_L10";"YM_L11"
8,145489624;6,191082841;5,294730097;6,399477648;7,593907905;4,54547758;-1,660776594;-3,830684695;0,536286124999999;0,709980571999999;-9,652027824
9,850389549;8,145489624;6,191082841;5,294730097;6,399477648;7,593907905;4,54547758;-1,660776594;-3,830684695;0,536286124999999;0,709980571999999
8,845625592;9,850389549;8,145489624;6,191082841;5,294730097;6,399477648;7,593907905;4,54547758;-1,660776594;-3,830684695;0,536286124999999
5,836235387;8,845625592;9,850389549;8,145489624;6,191082841;5,294730097;6,399477648;7,593907905;4,54547758;-1,660776594;-3,830684695
6,874801539;5,836235387;8,845625592;9,850389549;8,145489624;6,191082841;5,294730097;6,399477648;7,593907905;4,54547758;-1,660776594
10,953179989;6,874801539;5,836235387;8,845625592;9,850389549;8,145489624;6,191082841;5,294730097;6,399477648;7,593907905;4,54547758
8,451615623;10,953179989;6,874801539;5,836235387;8,845625592;9,850389549;8,145489624;6,191082841;5,294730097;6,399477648;7,593907905
1,332160739;8,451615623;10,953179989;6,874801539;5,836235387;8,845625592;9,850389549;8,145489624;6,191082841;5,294730097;6,399477648
2,060664586;1,332160739;8,451615623;10,953179989;6,874801539;5,836235387;8,845625592;9,850389549;8,145489624;6,191082841;5,294730097
9,835111128;2,060664586;1,332160739;8,451615623;10,953179989;6,874801539;5,836235387;8,845625592;9,850389549;8,145489624;6,191082841
13,832560247;9,835111128;2,060664586;1,332160739;8,451615623;10,953179989;6,874801539;5,836235387;8,845625592;9,850389549;8,145489624
12,069118768;13,832560247;9,835111128;2,060664586;1,332160739;8,451615623;10,953179989;6,874801539;5,836235387;8,845625592;9,850389549
9,152845613;12,069118768;13,832560247;9,835111128;2,060664586;1,332160739;8,451615623;10,953179989;6,874801539;5,836235387;8,845625592
7,241813677;9,152845613;12,069118768;13,832560247;9,835111128;2,060664586;1,332160739;8,451615623;10,953179989;6,874801539;5,836235387
7,433046898;7,241813677;9,152845613;12,069118768;13,832560247;9,835111128;2,060664586;1,332160739;8,451615623;10,953179989;6,874801539
9,387114046;7,433046898;7,241813677;9,152845613;12,069118768;13,832560247;9,835111128;2,060664586;1,332160739;8,451615623;10,953179989
10,069733306;9,387114046;7,433046898;7,241813677;9,152845613;12,069118768;13,832560247;9,835111128;2,060664586;1,332160739;8,451615623
9,430284676;10,069733306;9,387114046;7,433046898;7,241813677;9,152845613;12,069118768;13,832560247;9,835111128;2,060664586;1,332160739
10,285214399;9,430284676;10,069733306;9,387114046;7,433046898;7,241813677;9,152845613;12,069118768;13,832560247;9,835111128;2,060664586
11,980702239;10,285214399;9,430284676;10,069733306;9,387114046;7,433046898;7,241813677;9,152845613;12,069118768;13,832560247;9,835111128
10,886880429;11,980702239;10,285214399;9,430284676;10,069733306;9,387114046;7,433046898;7,241813677;9,152845613;12,069118768;13,832560247
7,352482651;10,886880429;11,980702239;10,285214399;9,430284676;10,069733306;9,387114046;7,433046898;7,241813677;9,152845613;12,069118768
5,800028831;7,352482651;10,886880429;11,980702239;10,285214399;9,430284676;10,069733306;9,387114046;7,433046898;7,241813677;9,152845613
6,669644087;5,800028831;7,352482651;10,886880429;11,980702239;10,285214399;9,430284676;10,069733306;9,387114046;7,433046898;7,241813677
5,768571794;6,669644087;5,800028831;7,352482651;10,886880429;11,980702239;10,285214399;9,430284676;10,069733306;9,387114046;7,433046898
2,577053084;5,768571794;6,669644087;5,800028831;7,352482651;10,886880429;11,980702239;10,285214399;9,430284676;10,069733306;9,387114046
1,744560559;2,577053084;5,768571794;6,669644087;5,800028831;7,352482651;10,886880429;11,980702239;10,285214399;9,430284676;10,069733306
3,768436135;1,744560559;2,577053084;5,768571794;6,669644087;5,800028831;7,352482651;10,886880429;11,980702239;10,285214399;9,430284676
2,321953463;3,768436135;1,744560559;2,577053084;5,768571794;6,669644087;5,800028831;7,352482651;10,886880429;11,980702239;10,285214399
-2,878044683;2,321953463;3,768436135;1,744560559;2,577053084;5,768571794;6,669644087;5,800028831;7,352482651;10,886880429;11,980702239
-3,113239721;-2,878044683;2,321953463;3,768436135;1,744560559;2,577053084;5,768571794;6,669644087;5,800028831;7,352482651;10,886880429
1,625625856;-3,113239721;-2,878044683;2,321953463;3,768436135;1,744560559;2,577053084;5,768571794;6,669644087;5,800028831;7,352482651
2,015366904;1,625625856;-3,113239721;-2,878044683;2,321953463;3,768436135;1,744560559;2,577053084;5,768571794;6,669644087;5,800028831
-2,406542598;2,015366904;1,625625856;-3,113239721;-2,878044683;2,321953463;3,768436135;1,744560559;2,577053084;5,768571794;6,669644087
-4,133933854;-2,406542598;2,015366904;1,625625856;-3,113239721;-2,878044683;2,321953463;3,768436135;1,744560559;2,577053084;5,768571794
-1,581176614;-4,133933854;-2,406542598;2,015366904;1,625625856;-3,113239721;-2,878044683;2,321953463;3,768436135;1,744560559;2,577053084
0,805553107000001;-1,581176614;-4,133933854;-2,406542598;2,015366904;1,625625856;-3,113239721;-2,878044683;2,321953463;3,768436135;1,744560559
1,290843402;0,805553107000001;-1,581176614;-4,133933854;-2,406542598;2,015366904;1,625625856;-3,113239721;-2,878044683;2,321953463;3,768436135
0,583993478000001;1,290843402;0,805553107000001;-1,581176614;-4,133933854;-2,406542598;2,015366904;1,625625856;-3,113239721;-2,878044683;2,321953463
-1,661528953;0,583993478000001;1,290843402;0,805553107000001;-1,581176614;-4,133933854;-2,406542598;2,015366904;1,625625856;-3,113239721;-2,878044683
-3,862514529;-1,661528953;0,583993478000001;1,290843402;0,805553107000001;-1,581176614;-4,133933854;-2,406542598;2,015366904;1,625625856;-3,113239721
-3,450934081;-3,862514529;-1,661528953;0,583993478000001;1,290843402;0,805553107000001;-1,581176614;-4,133933854;-2,406542598;2,015366904;1,625625856
-2,153560556;-3,450934081;-3,862514529;-1,661528953;0,583993478000001;1,290843402;0,805553107000001;-1,581176614;-4,133933854;-2,406542598;2,015366904
-4,382388953;-2,153560556;-3,450934081;-3,862514529;-1,661528953;0,583993478000001;1,290843402;0,805553107000001;-1,581176614;-4,133933854;-2,406542598
-9,224725517;-4,382388953;-2,153560556;-3,450934081;-3,862514529;-1,661528953;0,583993478000001;1,290843402;0,805553107000001;-1,581176614;-4,133933854
-11,447722553;-9,224725517;-4,382388953;-2,153560556;-3,450934081;-3,862514529;-1,661528953;0,583993478000001;1,290843402;0,805553107000001;-1,581176614
-11,642504829;-11,447722553;-9,224725517;-4,382388953;-2,153560556;-3,450934081;-3,862514529;-1,661528953;0,583993478000001;1,290843402;0,805553107000001
-13,033148896;-11,642504829;-11,447722553;-9,224725517;-4,382388953;-2,153560556;-3,450934081;-3,862514529;-1,661528953;0,583993478000001;1,290843402
-13,761680535;-13,033148896;-11,642504829;-11,447722553;-9,224725517;-4,382388953;-2,153560556;-3,450934081;-3,862514529;-1,661528953;0,583993478000001
-11,954306936;-13,761680535;-13,033148896;-11,642504829;-11,447722553;-9,224725517;-4,382388953;-2,153560556;-3,450934081;-3,862514529;-1,661528953
-9,812789939;-11,954306936;-13,761680535;-13,033148896;-11,642504829;-11,447722553;-9,224725517;-4,382388953;-2,153560556;-3,450934081;-3,862514529
-9,760985246;-9,812789939;-11,954306936;-13,761680535;-13,033148896;-11,642504829;-11,447722553;-9,224725517;-4,382388953;-2,153560556;-3,450934081
-14,331448015;-9,760985246;-9,812789939;-11,954306936;-13,761680535;-13,033148896;-11,642504829;-11,447722553;-9,224725517;-4,382388953;-2,153560556
-21,942949675;-14,331448015;-9,760985246;-9,812789939;-11,954306936;-13,761680535;-13,033148896;-11,642504829;-11,447722553;-9,224725517;-4,382388953
-22,923465197;-21,942949675;-14,331448015;-9,760985246;-9,812789939;-11,954306936;-13,761680535;-13,033148896;-11,642504829;-11,447722553;-9,224725517
-14,489652457;-22,923465197;-21,942949675;-14,331448015;-9,760985246;-9,812789939;-11,954306936;-13,761680535;-13,033148896;-11,642504829;-11,447722553
-6,574412036;-14,489652457;-22,923465197;-21,942949675;-14,331448015;-9,760985246;-9,812789939;-11,954306936;-13,761680535;-13,033148896;-11,642504829
-5,387778766;-6,574412036;-14,489652457;-22,923465197;-21,942949675;-14,331448015;-9,760985246;-9,812789939;-11,954306936;-13,761680535;-13,033148896
-7,248803049;-5,387778766;-6,574412036;-14,489652457;-22,923465197;-21,942949675;-14,331448015;-9,760985246;-9,812789939;-11,954306936;-13,761680535
-8,030821911;-7,248803049;-5,387778766;-6,574412036;-14,489652457;-22,923465197;-21,942949675;-14,331448015;-9,760985246;-9,812789939;-11,954306936
-8,138109637;-8,030821911;-7,248803049;-5,387778766;-6,574412036;-14,489652457;-22,923465197;-21,942949675;-14,331448015;-9,760985246;-9,812789939
-8,122479602;-8,138109637;-8,030821911;-7,248803049;-5,387778766;-6,574412036;-14,489652457;-22,923465197;-21,942949675;-14,331448015;-9,760985246
-6,694502498;-8,122479602;-8,138109637;-8,030821911;-7,248803049;-5,387778766;-6,574412036;-14,489652457;-22,923465197;-21,942949675;-14,331448015
-4,537270651;-6,694502498;-8,122479602;-8,138109637;-8,030821911;-7,248803049;-5,387778766;-6,574412036;-14,489652457;-22,923465197;-21,942949675
-4,88275521;-4,537270651;-6,694502498;-8,122479602;-8,138109637;-8,030821911;-7,248803049;-5,387778766;-6,574412036;-14,489652457;-22,923465197
-8,182948508;-4,88275521;-4,537270651;-6,694502498;-8,122479602;-8,138109637;-8,030821911;-7,248803049;-5,387778766;-6,574412036;-14,489652457
-10,879128518;-8,182948508;-4,88275521;-4,537270651;-6,694502498;-8,122479602;-8,138109637;-8,030821911;-7,248803049;-5,387778766;-6,574412036
-10,093242816;-10,879128518;-8,182948508;-4,88275521;-4,537270651;-6,694502498;-8,122479602;-8,138109637;-8,030821911;-7,248803049;-5,387778766
-7,108864166;-10,093242816;-10,879128518;-8,182948508;-4,88275521;-4,537270651;-6,694502498;-8,122479602;-8,138109637;-8,030821911;-7,248803049
-5,374682351;-7,108864166;-10,093242816;-10,879128518;-8,182948508;-4,88275521;-4,537270651;-6,694502498;-8,122479602;-8,138109637;-8,030821911
-5,932544815;-5,374682351;-7,108864166;-10,093242816;-10,879128518;-8,182948508;-4,88275521;-4,537270651;-6,694502498;-8,122479602;-8,138109637
-7,1212747;-5,932544815;-5,374682351;-7,108864166;-10,093242816;-10,879128518;-8,182948508;-4,88275521;-4,537270651;-6,694502498;-8,122479602
-8,011268822;-7,1212747;-5,932544815;-5,374682351;-7,108864166;-10,093242816;-10,879128518;-8,182948508;-4,88275521;-4,537270651;-6,694502498
-9,0806213;-8,011268822;-7,1212747;-5,932544815;-5,374682351;-7,108864166;-10,093242816;-10,879128518;-8,182948508;-4,88275521;-4,537270651
-9,587617732;-9,0806213;-8,011268822;-7,1212747;-5,932544815;-5,374682351;-7,108864166;-10,093242816;-10,879128518;-8,182948508;-4,88275521
-9,226749681;-9,587617732;-9,0806213;-8,011268822;-7,1212747;-5,932544815;-5,374682351;-7,108864166;-10,093242816;-10,879128518;-8,182948508
-8,629487525;-9,226749681;-9,587617732;-9,0806213;-8,011268822;-7,1212747;-5,932544815;-5,374682351;-7,108864166;-10,093242816;-10,879128518
-6,661365971;-8,629487525;-9,226749681;-9,587617732;-9,0806213;-8,011268822;-7,1212747;-5,932544815;-5,374682351;-7,108864166;-10,093242816
-3,344924028;-6,661365971;-8,629487525;-9,226749681;-9,587617732;-9,0806213;-8,011268822;-7,1212747;-5,932544815;-5,374682351;-7,108864166
-2,951612366;-3,344924028;-6,661365971;-8,629487525;-9,226749681;-9,587617732;-9,0806213;-8,011268822;-7,1212747;-5,932544815;-5,374682351
-6,651347985;-2,951612366;-3,344924028;-6,661365971;-8,629487525;-9,226749681;-9,587617732;-9,0806213;-8,011268822;-7,1212747;-5,932544815
-9,623475187;-6,651347985;-2,951612366;-3,344924028;-6,661365971;-8,629487525;-9,226749681;-9,587617732;-9,0806213;-8,011268822;-7,1212747
-9,340196115;-9,623475187;-6,651347985;-2,951612366;-3,344924028;-6,661365971;-8,629487525;-9,226749681;-9,587617732;-9,0806213;-8,011268822
