"YN_L1";"YN_L2";"YN_L3";"YN_L4";"YN_L5";"YN_L6";"YN_L7";"YN_L8";"YN_L9";"YN_L10";"YN_L11"
10,88977231;11,220272667;11,16215543;9,696655653;9,396055273;10,89754667;12,186850476;11,016351287;8,888951382;10,122822263;11,664482154
12,356095839;10,88977231;11,220272667;11,16215543;9,696655653;9,396055273;10,89754667;12,186850476;11,016351287;8,888951382;10,122822263
14,060996032;12,356095839;10,88977231;11,220272667;11,16215543;9,696655653;9,396055273;10,89754667;12,186850476;11,016351287;8,888951382
15,406199603;14,060996032;12,356095839;10,88977231;11,220272667;11,16215543;9,696655653;9,396055273;10,89754667;12,186850476;11,016351287
16,035305219;15,406199603;14,060996032;12,356095839;10,88977231;11,220272667;11,16215543;9,696655653;9,396055273;10,89754667;12,186850476
15,234812139;16,035305219;15,406199603;14,060996032;12,356095839;10,88977231;11,220272667;11,16215543;9,696655653;9,396055273;10,89754667
13,485320963;15,234812139;16,035305219;15,406199603;14,060996032;12,356095839;10,88977231;11,220272667;11,16215543;9,696655653;9,396055273
13,19588937;13,485320963;15,234812139;16,035305219;15,406199603;14,060996032;12,356095839;10,88977231;11,220272667;11,16215543;9,696655653
14,394159223;13,19588937;13,485320963;15,234812139;16,035305219;15,406199603;14,060996032;12,356095839;10,88977231;11,220272667;11,16215543
14,11405287;14,394159223;13,19588937;13,485320963;15,234812139;16,035305219;15,406199603;14,060996032;12,356095839;10,88977231;11,220272667
11,885053737;14,11405287;14,394159223;13,19588937;13,485320963;15,234812139;16,035305219;15,406199603;14,060996032;12,356095839;10,88977231
9,856775089;11,885053737;14,11405287;14,394159223;13,19588937;13,485320963;15,234812139;16,035305219;15,406199603;14,060996032;12,356095839
8,042691414;9,856775089;11,885053737;14,11405287;14,394159223;13,19588937;13,485320963;15,234812139;16,035305219;15,406199603;14,060996032
5,934536489;8,042691414;9,856775089;11,885053737;14,11405287;14,394159223;13,19588937;13,485320963;15,234812139;16,035305219;15,406199603
5,053710358;5,934536489;8,042691414;9,856775089;11,885053737;14,11405287;14,394159223;13,19588937;13,485320963;15,234812139;16,035305219
5,081666789;5,053710358;5,934536489;8,042691414;9,856775089;11,885053737;14,11405287;14,394159223;13,19588937;13,485320963;15,234812139
5,913114875;5,081666789;5,053710358;5,934536489;8,042691414;9,856775089;11,885053737;14,11405287;14,394159223;13,19588937;13,485320963
7,635880877;5,913114875;5,081666789;5,053710358;5,934536489;8,042691414;9,856775089;11,885053737;14,11405287;14,394159223;13,19588937
8,263160853;7,635880877;5,913114875;5,081666789;5,053710358;5,934536489;8,042691414;9,856775089;11,885053737;14,11405287;14,394159223
6,894714201;8,263160853;7,635880877;5,913114875;5,081666789;5,053710358;5,934536489;8,042691414;9,856775089;11,885053737;14,11405287
4,95336263;6,894714201;8,263160853;7,635880877;5,913114875;5,081666789;5,053710358;5,934536489;8,042691414;9,856775089;11,885053737
2,778079888;4,95336263;6,894714201;8,263160853;7,635880877;5,913114875;5,081666789;5,053710358;5,934536489;8,042691414;9,856775089
0,762018974000001;2,778079888;4,95336263;6,894714201;8,263160853;7,635880877;5,913114875;5,081666789;5,053710358;5,934536489;8,042691414
-0,393769416;0,762018974000001;2,778079888;4,95336263;6,894714201;8,263160853;7,635880877;5,913114875;5,081666789;5,053710358;5,934536489
-1,292215314;-0,393769416;0,762018974000001;2,778079888;4,95336263;6,894714201;8,263160853;7,635880877;5,913114875;5,081666789;5,053710358
-2,062794645;-1,292215314;-0,393769416;0,762018974000001;2,778079888;4,95336263;6,894714201;8,263160853;7,635880877;5,913114875;5,081666789
-3,200168613;-2,062794645;-1,292215314;-0,393769416;0,762018974000001;2,778079888;4,95336263;6,894714201;8,263160853;7,635880877;5,913114875
-5,193827751;-3,200168613;-2,062794645;-1,292215314;-0,393769416;0,762018974000001;2,778079888;4,95336263;6,894714201;8,263160853;7,635880877
-7,338018811;-5,193827751;-3,200168613;-2,062794645;-1,292215314;-0,393769416;0,762018974000001;2,778079888;4,95336263;6,894714201;8,263160853
-8,147199098;-7,338018811;-5,193827751;-3,200168613;-2,062794645;-1,292215314;-0,393769416;0,762018974000001;2,778079888;4,95336263;6,894714201
-6,655267046;-8,147199098;-7,338018811;-5,193827751;-3,200168613;-2,062794645;-1,292215314;-0,393769416;0,762018974000001;2,778079888;4,95336263
-5,809102415;-6,655267046;-8,147199098;-7,338018811;-5,193827751;-3,200168613;-2,062794645;-1,292215314;-0,393769416;0,762018974000001;2,778079888
-5,733176831;-5,809102415;-6,655267046;-8,147199098;-7,338018811;-5,193827751;-3,200168613;-2,062794645;-1,292215314;-0,393769416;0,762018974000001
-3,485028626;-5,733176831;-5,809102415;-6,655267046;-8,147199098;-7,338018811;-5,193827751;-3,200168613;-2,062794645;-1,292215314;-0,393769416
-1,21290778;-3,485028626;-5,733176831;-5,809102415;-6,655267046;-8,147199098;-7,338018811;-5,193827751;-3,200168613;-2,062794645;-1,292215314
-0,967470095;-1,21290778;-3,485028626;-5,733176831;-5,809102415;-6,655267046;-8,147199098;-7,338018811;-5,193827751;-3,200168613;-2,062794645
0,676684909;-0,967470095;-1,21290778;-3,485028626;-5,733176831;-5,809102415;-6,655267046;-8,147199098;-7,338018811;-5,193827751;-3,200168613
3,59046213;0,676684909;-0,967470095;-1,21290778;-3,485028626;-5,733176831;-5,809102415;-6,655267046;-8,147199098;-7,338018811;-5,193827751
4,472903748;3,59046213;0,676684909;-0,967470095;-1,21290778;-3,485028626;-5,733176831;-5,809102415;-6,655267046;-8,147199098;-7,338018811
4,814401096;4,472903748;3,59046213;0,676684909;-0,967470095;-1,21290778;-3,485028626;-5,733176831;-5,809102415;-6,655267046;-8,147199098
5,278082314;4,814401096;4,472903748;3,59046213;0,676684909;-0,967470095;-1,21290778;-3,485028626;-5,733176831;-5,809102415;-6,655267046
3,514575351;5,278082314;4,814401096;4,472903748;3,59046213;0,676684909;-0,967470095;-1,21290778;-3,485028626;-5,733176831;-5,809102415
1,123091118;3,514575351;5,278082314;4,814401096;4,472903748;3,59046213;0,676684909;-0,967470095;-1,21290778;-3,485028626;-5,733176831
1,404164242;1,123091118;3,514575351;5,278082314;4,814401096;4,472903748;3,59046213;0,676684909;-0,967470095;-1,21290778;-3,485028626
3,476618624;1,404164242;1,123091118;3,514575351;5,278082314;4,814401096;4,472903748;3,59046213;0,676684909;-0,967470095;-1,21290778
4,273405237;3,476618624;1,404164242;1,123091118;3,514575351;5,278082314;4,814401096;4,472903748;3,59046213;0,676684909;-0,967470095
4,279168527;4,273405237;3,476618624;1,404164242;1,123091118;3,514575351;5,278082314;4,814401096;4,472903748;3,59046213;0,676684909
5,299376737;4,279168527;4,273405237;3,476618624;1,404164242;1,123091118;3,514575351;5,278082314;4,814401096;4,472903748;3,59046213
5,982631224;5,299376737;4,279168527;4,273405237;3,476618624;1,404164242;1,123091118;3,514575351;5,278082314;4,814401096;4,472903748
5,28423891;5,982631224;5,299376737;4,279168527;4,273405237;3,476618624;1,404164242;1,123091118;3,514575351;5,278082314;4,814401096
4,716735081;5,28423891;5,982631224;5,299376737;4,279168527;4,273405237;3,476618624;1,404164242;1,123091118;3,514575351;5,278082314
3,47116857;4,716735081;5,28423891;5,982631224;5,299376737;4,279168527;4,273405237;3,476618624;1,404164242;1,123091118;3,514575351
1,52070584;3,47116857;4,716735081;5,28423891;5,982631224;5,299376737;4,279168527;4,273405237;3,476618624;1,404164242;1,123091118
1,347199889;1,52070584;3,47116857;4,716735081;5,28423891;5,982631224;5,299376737;4,279168527;4,273405237;3,476618624;1,404164242
1,572852951;1,347199889;1,52070584;3,47116857;4,716735081;5,28423891;5,982631224;5,299376737;4,279168527;4,273405237;3,476618624
0,212571641;1,572852951;1,347199889;1,52070584;3,47116857;4,716735081;5,28423891;5,982631224;5,299376737;4,279168527;4,273405237
-1,959185664;0,212571641;1,572852951;1,347199889;1,52070584;3,47116857;4,716735081;5,28423891;5,982631224;5,299376737;4,279168527
-3,263789752;-1,959185664;0,212571641;1,572852951;1,347199889;1,52070584;3,47116857;4,716735081;5,28423891;5,982631224;5,299376737
-4,196513167;-3,263789752;-1,959185664;0,212571641;1,572852951;1,347199889;1,52070584;3,47116857;4,716735081;5,28423891;5,982631224
-5,58741299;-4,196513167;-3,263789752;-1,959185664;0,212571641;1,572852951;1,347199889;1,52070584;3,47116857;4,716735081;5,28423891
-6,730718916;-5,58741299;-4,196513167;-3,263789752;-1,959185664;0,212571641;1,572852951;1,347199889;1,52070584;3,47116857;4,716735081
-7,122173948;-6,730718916;-5,58741299;-4,196513167;-3,263789752;-1,959185664;0,212571641;1,572852951;1,347199889;1,52070584;3,47116857
-6,948373769;-7,122173948;-6,730718916;-5,58741299;-4,196513167;-3,263789752;-1,959185664;0,212571641;1,572852951;1,347199889;1,52070584
-5,927204908;-6,948373769;-7,122173948;-6,730718916;-5,58741299;-4,196513167;-3,263789752;-1,959185664;0,212571641;1,572852951;1,347199889
-4,510961002;-5,927204908;-6,948373769;-7,122173948;-6,730718916;-5,58741299;-4,196513167;-3,263789752;-1,959185664;0,212571641;1,572852951
-4,274292623;-4,510961002;-5,927204908;-6,948373769;-7,122173948;-6,730718916;-5,58741299;-4,196513167;-3,263789752;-1,959185664;0,212571641
-4,163154275;-4,274292623;-4,510961002;-5,927204908;-6,948373769;-7,122173948;-6,730718916;-5,58741299;-4,196513167;-3,263789752;-1,959185664
-2,674066215;-4,163154275;-4,274292623;-4,510961002;-5,927204908;-6,948373769;-7,122173948;-6,730718916;-5,58741299;-4,196513167;-3,263789752
-0,605665593;-2,674066215;-4,163154275;-4,274292623;-4,510961002;-5,927204908;-6,948373769;-7,122173948;-6,730718916;-5,58741299;-4,196513167
0,680241376;-0,605665593;-2,674066215;-4,163154275;-4,274292623;-4,510961002;-5,927204908;-6,948373769;-7,122173948;-6,730718916;-5,58741299
1,462801042;0,680241376;-0,605665593;-2,674066215;-4,163154275;-4,274292623;-4,510961002;-5,927204908;-6,948373769;-7,122173948;-6,730718916
2,266609654;1,462801042;0,680241376;-0,605665593;-2,674066215;-4,163154275;-4,274292623;-4,510961002;-5,927204908;-6,948373769;-7,122173948
2,111213973;2,266609654;1,462801042;0,680241376;-0,605665593;-2,674066215;-4,163154275;-4,274292623;-4,510961002;-5,927204908;-6,948373769
2,276527578;2,111213973;2,266609654;1,462801042;0,680241376;-0,605665593;-2,674066215;-4,163154275;-4,274292623;-4,510961002;-5,927204908
3,522264842;2,276527578;2,111213973;2,266609654;1,462801042;0,680241376;-0,605665593;-2,674066215;-4,163154275;-4,274292623;-4,510961002
3,655323134;3,522264842;2,276527578;2,111213973;2,266609654;1,462801042;0,680241376;-0,605665593;-2,674066215;-4,163154275;-4,274292623
2,7544703;3,655323134;3,522264842;2,276527578;2,111213973;2,266609654;1,462801042;0,680241376;-0,605665593;-2,674066215;-4,163154275
2,766449663;2,7544703;3,655323134;3,522264842;2,276527578;2,111213973;2,266609654;1,462801042;0,680241376;-0,605665593;-2,674066215
2,116787502;2,766449663;2,7544703;3,655323134;3,522264842;2,276527578;2,111213973;2,266609654;1,462801042;0,680241376;-0,605665593
-0,480502312;2,116787502;2,766449663;2,7544703;3,655323134;3,522264842;2,276527578;2,111213973;2,266609654;1,462801042;0,680241376
-3,563092486;-0,480502312;2,116787502;2,766449663;2,7544703;3,655323134;3,522264842;2,276527578;2,111213973;2,266609654;1,462801042
-5,481987412;-3,563092486;-0,480502312;2,116787502;2,766449663;2,7544703;3,655323134;3,522264842;2,276527578;2,111213973;2,266609654
-7,578223688;-5,481987412;-3,563092486;-0,480502312;2,116787502;2,766449663;2,7544703;3,655323134;3,522264842;2,276527578;2,111213973
-10,624972914;-7,578223688;-5,481987412;-3,563092486;-0,480502312;2,116787502;2,766449663;2,7544703;3,655323134;3,522264842;2,276527578
-12,046572951;-10,624972914;-7,578223688;-5,481987412;-3,563092486;-0,480502312;2,116787502;2,766449663;2,7544703;3,655323134;3,522264842
-12,902678781;-12,046572951;-10,624972914;-7,578223688;-5,481987412;-3,563092486;-0,480502312;2,116787502;2,766449663;2,7544703;3,655323134
-15,173489455;-12,902678781;-12,046572951;-10,624972914;-7,578223688;-5,481987412;-3,563092486;-0,480502312;2,116787502;2,766449663;2,7544703
-17,670684955;-15,173489455;-12,902678781;-12,046572951;-10,624972914;-7,578223688;-5,481987412;-3,563092486;-0,480502312;2,116787502;2,766449663
-20,081831165;-17,670684955;-15,173489455;-12,902678781;-12,046572951;-10,624972914;-7,578223688;-5,481987412;-3,563092486;-0,480502312;2,116787502
-22,913377182;-20,081831165;-17,670684955;-15,173489455;-12,902678781;-12,046572951;-10,624972914;-7,578223688;-5,481987412;-3,563092486;-0,480502312
-26,914086468;-22,913377182;-20,081831165;-17,670684955;-15,173489455;-12,902678781;-12,046572951;-10,624972914;-7,578223688;-5,481987412;-3,563092486
-31,053929914;-26,914086468;-22,913377182;-20,081831165;-17,670684955;-15,173489455;-12,902678781;-12,046572951;-10,624972914;-7,578223688;-5,481987412
-33,038337816;-31,053929914;-26,914086468;-22,913377182;-20,081831165;-17,670684955;-15,173489455;-12,902678781;-12,046572951;-10,624972914;-7,578223688
-33,739463905;-33,038337816;-31,053929914;-26,914086468;-22,913377182;-20,081831165;-17,670684955;-15,173489455;-12,902678781;-12,046572951;-10,624972914
-34,09187324;-33,739463905;-33,038337816;-31,053929914;-26,914086468;-22,913377182;-20,081831165;-17,670684955;-15,173489455;-12,902678781;-12,046572951
-33,950413702;-34,09187324;-33,739463905;-33,038337816;-31,053929914;-26,914086468;-22,913377182;-20,081831165;-17,670684955;-15,173489455;-12,902678781
-35,216377682;-33,950413702;-34,09187324;-33,739463905;-33,038337816;-31,053929914;-26,914086468;-22,913377182;-20,081831165;-17,670684955;-15,173489455
-38,257414345;-35,216377682;-33,950413702;-34,09187324;-33,739463905;-33,038337816;-31,053929914;-26,914086468;-22,913377182;-20,081831165;-17,670684955
-40,758987264;-38,257414345;-35,216377682;-33,950413702;-34,09187324;-33,739463905;-33,038337816;-31,053929914;-26,914086468;-22,913377182;-20,081831165
-41,657662325;-40,758987264;-38,257414345;-35,216377682;-33,950413702;-34,09187324;-33,739463905;-33,038337816;-31,053929914;-26,914086468;-22,913377182
-42,950210521;-41,657662325;-40,758987264;-38,257414345;-35,216377682;-33,950413702;-34,09187324;-33,739463905;-33,038337816;-31,053929914;-26,914086468
-45,431131986;-42,950210521;-41,657662325;-40,758987264;-38,257414345;-35,216377682;-33,950413702;-34,09187324;-33,739463905;-33,038337816;-31,053929914
-45,310369884;-45,431131986;-42,950210521;-41,657662325;-40,758987264;-38,257414345;-35,216377682;-33,950413702;-34,09187324;-33,739463905;-33,038337816
-43,363829328;-45,310369884;-45,431131986;-42,950210521;-41,657662325;-40,758987264;-38,257414345;-35,216377682;-33,950413702;-34,09187324;-33,739463905
-43,640437285;-43,363829328;-45,310369884;-45,431131986;-42,950210521;-41,657662325;-40,758987264;-38,257414345;-35,216377682;-33,950413702;-34,09187324
-45,71911567;-43,640437285;-43,363829328;-45,310369884;-45,431131986;-42,950210521;-41,657662325;-40,758987264;-38,257414345;-35,216377682;-33,950413702
-49,429013778;-45,71911567;-43,640437285;-43,363829328;-45,310369884;-45,431131986;-42,950210521;-41,657662325;-40,758987264;-38,257414345;-35,216377682
-54,753622664;-49,429013778;-45,71911567;-43,640437285;-43,363829328;-45,310369884;-45,431131986;-42,950210521;-41,657662325;-40,758987264;-38,257414345
-57,599176429;-54,753622664;-49,429013778;-45,71911567;-43,640437285;-43,363829328;-45,310369884;-45,431131986;-42,950210521;-41,657662325;-40,758987264
-57,10971046;-57,599176429;-54,753622664;-49,429013778;-45,71911567;-43,640437285;-43,363829328;-45,310369884;-45,431131986;-42,950210521;-41,657662325
-57,224043367;-57,10971046;-57,599176429;-54,753622664;-49,429013778;-45,71911567;-43,640437285;-43,363829328;-45,310369884;-45,431131986;-42,950210521
-58,624105953;-57,224043367;-57,10971046;-57,599176429;-54,753622664;-49,429013778;-45,71911567;-43,640437285;-43,363829328;-45,310369884;-45,431131986
-58,76562917;-58,624105953;-57,224043367;-57,10971046;-57,599176429;-54,753622664;-49,429013778;-45,71911567;-43,640437285;-43,363829328;-45,310369884
-57,385281582;-58,76562917;-58,624105953;-57,224043367;-57,10971046;-57,599176429;-54,753622664;-49,429013778;-45,71911567;-43,640437285;-43,363829328
-56,868220705;-57,385281582;-58,76562917;-58,624105953;-57,224043367;-57,10971046;-57,599176429;-54,753622664;-49,429013778;-45,71911567;-43,640437285
-59,516704151;-56,868220705;-57,385281582;-58,76562917;-58,624105953;-57,224043367;-57,10971046;-57,599176429;-54,753622664;-49,429013778;-45,71911567
-64,411803231;-59,516704151;-56,868220705;-57,385281582;-58,76562917;-58,624105953;-57,224043367;-57,10971046;-57,599176429;-54,753622664;-49,429013778
-66,421247425;-64,411803231;-59,516704151;-56,868220705;-57,385281582;-58,76562917;-58,624105953;-57,224043367;-57,10971046;-57,599176429;-54,753622664
-65,26690801;-66,421247425;-64,411803231;-59,516704151;-56,868220705;-57,385281582;-58,76562917;-58,624105953;-57,224043367;-57,10971046;-57,599176429
-65,884240787;-65,26690801;-66,421247425;-64,411803231;-59,516704151;-56,868220705;-57,385281582;-58,76562917;-58,624105953;-57,224043367;-57,10971046
-68,636958726;-65,884240787;-65,26690801;-66,421247425;-64,411803231;-59,516704151;-56,868220705;-57,385281582;-58,76562917;-58,624105953;-57,224043367
-69,968915022;-68,636958726;-65,884240787;-65,26690801;-66,421247425;-64,411803231;-59,516704151;-56,868220705;-57,385281582;-58,76562917;-58,624105953
-68,61739122;-69,968915022;-68,636958726;-65,884240787;-65,26690801;-66,421247425;-64,411803231;-59,516704151;-56,868220705;-57,385281582;-58,76562917
-66,051227786;-68,61739122;-69,968915022;-68,636958726;-65,884240787;-65,26690801;-66,421247425;-64,411803231;-59,516704151;-56,868220705;-57,385281582
-64,646505113;-66,051227786;-68,61739122;-69,968915022;-68,636958726;-65,884240787;-65,26690801;-66,421247425;-64,411803231;-59,516704151;-56,868220705
-66,629447918;-64,646505113;-66,051227786;-68,61739122;-69,968915022;-68,636958726;-65,884240787;-65,26690801;-66,421247425;-64,411803231;-59,516704151
-69,861668379;-66,629447918;-64,646505113;-66,051227786;-68,61739122;-69,968915022;-68,636958726;-65,884240787;-65,26690801;-66,421247425;-64,411803231
-68,387597709;-69,861668379;-66,629447918;-64,646505113;-66,051227786;-68,61739122;-69,968915022;-68,636958726;-65,884240787;-65,26690801;-66,421247425
-62,320685051;-68,387597709;-69,861668379;-66,629447918;-64,646505113;-66,051227786;-68,61739122;-69,968915022;-68,636958726;-65,884240787;-65,26690801
-58,854868555;-62,320685051;-68,387597709;-69,861668379;-66,629447918;-64,646505113;-66,051227786;-68,61739122;-69,968915022;-68,636958726;-65,884240787
-58,356692958;-58,854868555;-62,320685051;-68,387597709;-69,861668379;-66,629447918;-64,646505113;-66,051227786;-68,61739122;-69,968915022;-68,636958726
-54,279500825;-58,356692958;-58,854868555;-62,320685051;-68,387597709;-69,861668379;-66,629447918;-64,646505113;-66,051227786;-68,61739122;-69,968915022
-46,93158284;-54,279500825;-58,356692958;-58,854868555;-62,320685051;-68,387597709;-69,861668379;-66,629447918;-64,646505113;-66,051227786;-68,61739122
-41,447691922;-46,93158284;-54,279500825;-58,356692958;-58,854868555;-62,320685051;-68,387597709;-69,861668379;-66,629447918;-64,646505113;-66,051227786
-39,312176463;-41,447691922;-46,93158284;-54,279500825;-58,356692958;-58,854868555;-62,320685051;-68,387597709;-69,861668379;-66,629447918;-64,646505113
-38,161802123;-39,312176463;-41,447691922;-46,93158284;-54,279500825;-58,356692958;-58,854868555;-62,320685051;-68,387597709;-69,861668379;-66,629447918
-35,026874302;-38,161802123;-39,312176463;-41,447691922;-46,93158284;-54,279500825;-58,356692958;-58,854868555;-62,320685051;-68,387597709;-69,861668379
-29,062625631;-35,026874302;-38,161802123;-39,312176463;-41,447691922;-46,93158284;-54,279500825;-58,356692958;-58,854868555;-62,320685051;-68,387597709
-22,727006838;-29,062625631;-35,026874302;-38,161802123;-39,312176463;-41,447691922;-46,93158284;-54,279500825;-58,356692958;-58,854868555;-62,320685051
-17,400574601;-22,727006838;-29,062625631;-35,026874302;-38,161802123;-39,312176463;-41,447691922;-46,93158284;-54,279500825;-58,356692958;-58,854868555
-12,648279896;-17,400574601;-22,727006838;-29,062625631;-35,026874302;-38,161802123;-39,312176463;-41,447691922;-46,93158284;-54,279500825;-58,356692958
-8,216715682;-12,648279896;-17,400574601;-22,727006838;-29,062625631;-35,026874302;-38,161802123;-39,312176463;-41,447691922;-46,93158284;-54,279500825
-2,812094223;-8,216715682;-12,648279896;-17,400574601;-22,727006838;-29,062625631;-35,026874302;-38,161802123;-39,312176463;-41,447691922;-46,93158284
2,463082164;-2,812094223;-8,216715682;-12,648279896;-17,400574601;-22,727006838;-29,062625631;-35,026874302;-38,161802123;-39,312176463;-41,447691922
5,103666766;2,463082164;-2,812094223;-8,216715682;-12,648279896;-17,400574601;-22,727006838;-29,062625631;-35,026874302;-38,161802123;-39,312176463
