"Y";"Y_L1";"Y_L2";"Y_L3";"Y_L4";"Y_L5";"Y_L6";"Y_L7";"Y_L8";"Y_L9";"Y_L10";"Y_L11"
-0,157;0,272;-0,375;0,272;-0,314;-0,012;-0,024;-0,658;0,21;0,375;0,267;-0,176
0,109;-0,157;0,272;-0,375;0,272;-0,314;-0,012;-0,024;-0,658;0,21;0,375;0,267
0,024;0,109;-0,157;0,272;-0,375;0,272;-0,314;-0,012;-0,024;-0,658;0,21;0,375
-0,114;0,024;0,109;-0,157;0,272;-0,375;0,272;-0,314;-0,012;-0,024;-0,658;0,21
0,012;-0,114;0,024;0,109;-0,157;0,272;-0,375;0,272;-0,314;-0,012;-0,024;-0,658
0,534;0,012;-0,114;0,024;0,109;-0,157;0,272;-0,375;0,272;-0,314;-0,012;-0,024
0,185;0,534;0,012;-0,114;0,024;0,109;-0,157;0,272;-0,375;0,272;-0,314;-0,012
-0,078;0,185;0,534;0,012;-0,114;0,024;0,109;-0,157;0,272;-0,375;0,272;-0,314
-0,484;-0,078;0,185;0,534;0,012;-0,114;0,024;0,109;-0,157;0,272;-0,375;0,272
-0,131;-0,484;-0,078;0,185;0,534;0,012;-0,114;0,024;0,109;-0,157;0,272;-0,375
-0,113;-0,131;-0,484;-0,078;0,185;0,534;0,012;-0,114;0,024;0,109;-0,157;0,272
0,471;-0,113;-0,131;-0,484;-0,078;0,185;0,534;0,012;-0,114;0,024;0,109;-0,157
0,047;0,471;-0,113;-0,131;-0,484;-0,078;0,185;0,534;0,012;-0,114;0,024;0,109
0,054;0,047;0,471;-0,113;-0,131;-0,484;-0,078;0,185;0,534;0,012;-0,114;0,024
-0,143;0,054;0,047;0,471;-0,113;-0,131;-0,484;-0,078;0,185;0,534;0,012;-0,114
-0,6;-0,143;0,054;0,047;0,471;-0,113;-0,131;-0,484;-0,078;0,185;0,534;0,012
-0,108;-0,6;-0,143;0,054;0,047;0,471;-0,113;-0,131;-0,484;-0,078;0,185;0,534
