"Y";"Y_L1";"Y_L2";"Y_L3";"Y_L4";"Y_L5";"Y_L6";"Y_L7";"Y_L8";"Y_L9";"Y_L10";"Y_L11";"F1";"F1_L1";"F1_L2";"F1_L3";"F1_L4";"F1_L5";"F1_L6";"F1_L7";"F1_L8";"F1_L9";"F1_L10";"F1_L11";"F2";"F2_L1";"F2_L2";"F2_L3";"F2_L4";"F2_L5";"F2_L6";"F2_L7";"F2_L8";"F2_L9";"F2_L10";"F2_L11";"F3";"F3_L1";"F3_L2";"F3_L3";"F3_L4";"F3_L5";"F3_L6";"F3_L7";"F3_L8";"F3_L9";"F3_L10";"F3_L11";"F4";"F4_L1";"F4_L2";"F4_L3";"F4_L4";"F4_L5";"F4_L6";"F4_L7";"F4_L8";"F4_L9";"F4_L10";"F4_L11";"F5";"F5_L1";"F5_L2";"F5_L3";"F5_L4";"F5_L5";"F5_L6";"F5_L7";"F5_L8";"F5_L9";"F5_L10";"F5_L11";"F6";"F6_L1";"F6_L2";"F6_L3";"F6_L4";"F6_L5";"F6_L6";"F6_L7";"F6_L8";"F6_L9";"F6_L10";"F6_L11";"F7";"F7_L1";"F7_L2";"F7_L3";"F7_L4";"F7_L5";"F7_L6";"F7_L7";"F7_L8";"F7_L9";"F7_L10";"F7_L11";"F8";"F8_L1";"F8_L2";"F8_L3";"F8_L4";"F8_L5";"F8_L6";"F8_L7";"F8_L8";"F8_L9";"F8_L10";"F8_L11"
-0,157;0,272;-0,375;0,272;-0,314;-0,012;-0,024;-0,658;0,21;0,375;0,267;-0,176;-0,414881394;-0,373443972;-0,092072882;-0,018718544;0,427105378;0,377563188;0,913138555;0,728156836;0,482884892;0,410056919;0,303660523;0,478152154;0,18616161;0,313807813;0,317068339;0,193997597;0,218418713;0,237579369;0,061292073;-0,04405138;0,222522132;0,029939837;0,007793487;0,004943463;0,309303528;0,169321039;0,424865912;0,322200321;-0,035557933;0,294604027;0,010068525;-0,027226164;-0,082040075;0,079648752;-0,094365627;-0,058635904;0,053804501;0,008570276;0,064099945;-0,126967839;0,01888915;-0,072204704;-0,028150665;-0,025410507;0,116069979;0,094147003;-0,096386534;-0,055930941;-0,013019314;0,133531857;0,136942893;0,104912062;0,095044263;-0,024571354;-0,256578361;-0,193092216;0,063537009;0,00909894;0,036224103;0,066750447;0,107159146;0,031345903;0,168427974;0,256971892;0,315185492;0,312389203;0,302069227;0,287957048;0,315863052;0,253066347;0,049846657;0,087570781;-0,179225532;-0,164896833;-0,324577092;0,066444998;0,022188003;0,074348915;-0,017441582;0,246170333;-0,362530384;-0,018894728;-0,022030114;-0,187888238;-0,162876438;-0,086542732;0,517866021;-0,267776798;0,08015534;-0,05127211;-0,117845144;-0,184180258;-0,041332692;-0,192041171;-0,050079207;-0,020933466
0,109;-0,157;0,272;-0,375;0,272;-0,314;-0,012;-0,024;-0,658;0,21;0,375;0,267;-0,153662679;-0,414881394;-0,373443972;-0,092072882;-0,018718544;0,427105378;0,377563188;0,913138555;0,728156836;0,482884892;0,410056919;0,303660523;0,276836988;0,18616161;0,313807813;0,317068339;0,193997597;0,218418713;0,237579369;0,061292073;-0,04405138;0,222522132;0,029939837;0,007793487;0,188942948;0,309303528;0,169321039;0,424865912;0,322200321;-0,035557933;0,294604027;0,010068525;-0,027226164;-0,082040075;0,079648752;-0,094365627;0,065331454;0,053804501;0,008570276;0,064099945;-0,126967839;0,01888915;-0,072204704;-0,028150665;-0,025410507;0,116069979;0,094147003;-0,096386534;-0,119615867;-0,013019314;0,133531857;0,136942893;0,104912062;0,095044263;-0,024571354;-0,256578361;-0,193092216;0,063537009;0,00909894;0,036224103;0,056753826;0,107159146;0,031345903;0,168427974;0,256971892;0,315185492;0,312389203;0,302069227;0,287957048;0,315863052;0,253066347;0,049846657;-0,300706349;-0,179225532;-0,164896833;-0,324577092;0,066444998;0,022188003;0,074348915;-0,017441582;0,246170333;-0,362530384;-0,018894728;-0,022030114;-0,04648057;-0,162876438;-0,086542732;0,517866021;-0,267776798;0,08015534;-0,05127211;-0,117845144;-0,184180258;-0,041332692;-0,192041171;-0,050079207
0,024;0,109;-0,157;0,272;-0,375;0,272;-0,314;-0,012;-0,024;-0,658;0,21;0,375;-0,484757509;-0,153662679;-0,414881394;-0,373443972;-0,092072882;-0,018718544;0,427105378;0,377563188;0,913138555;0,728156836;0,482884892;0,410056919;0,099744273;0,276836988;0,18616161;0,313807813;0,317068339;0,193997597;0,218418713;0,237579369;0,061292073;-0,04405138;0,222522132;0,029939837;0,284611236;0,188942948;0,309303528;0,169321039;0,424865912;0,322200321;-0,035557933;0,294604027;0,010068525;-0,027226164;-0,082040075;0,079648752;0,016852105;0,065331454;0,053804501;0,008570276;0,064099945;-0,126967839;0,01888915;-0,072204704;-0,028150665;-0,025410507;0,116069979;0,094147003;-0,068312768;-0,119615867;-0,013019314;0,133531857;0,136942893;0,104912062;0,095044263;-0,024571354;-0,256578361;-0,193092216;0,063537009;0,00909894;-0,013375605;0,056753826;0,107159146;0,031345903;0,168427974;0,256971892;0,315185492;0,312389203;0,302069227;0,287957048;0,315863052;0,253066347;0,132694521;-0,300706349;-0,179225532;-0,164896833;-0,324577092;0,066444998;0,022188003;0,074348915;-0,017441582;0,246170333;-0,362530384;-0,018894728;0,0223;-0,04648057;-0,162876438;-0,086542732;0,517866021;-0,267776798;0,08015534;-0,05127211;-0,117845144;-0,184180258;-0,041332692;-0,192041171
-0,114;0,024;0,109;-0,157;0,272;-0,375;0,272;-0,314;-0,012;-0,024;-0,658;0,21;0,058509873;-0,484757509;-0,153662679;-0,414881394;-0,373443972;-0,092072882;-0,018718544;0,427105378;0,377563188;0,913138555;0,728156836;0,482884892;-0,042308362;0,099744273;0,276836988;0,18616161;0,313807813;0,317068339;0,193997597;0,218418713;0,237579369;0,061292073;-0,04405138;0,222522132;0,089987186;0,284611236;0,188942948;0,309303528;0,169321039;0,424865912;0,322200321;-0,035557933;0,294604027;0,010068525;-0,027226164;-0,082040075;0,014481235;0,016852105;0,065331454;0,053804501;0,008570276;0,064099945;-0,126967839;0,01888915;-0,072204704;-0,028150665;-0,025410507;0,116069979;-0,395652839;-0,068312768;-0,119615867;-0,013019314;0,133531857;0,136942893;0,104912062;0,095044263;-0,024571354;-0,256578361;-0,193092216;0,063537009;-0,069743966;-0,013375605;0,056753826;0,107159146;0,031345903;0,168427974;0,256971892;0,315185492;0,312389203;0,302069227;0,287957048;0,315863052;0,028809066;0,132694521;-0,300706349;-0,179225532;-0,164896833;-0,324577092;0,066444998;0,022188003;0,074348915;-0,017441582;0,246170333;-0,362530384;-0,093615469;0,0223;-0,04648057;-0,162876438;-0,086542732;0,517866021;-0,267776798;0,08015534;-0,05127211;-0,117845144;-0,184180258;-0,041332692
0,012;-0,114;0,024;0,109;-0,157;0,272;-0,375;0,272;-0,314;-0,012;-0,024;-0,658;-0,538910268;0,058509873;-0,484757509;-0,153662679;-0,414881394;-0,373443972;-0,092072882;-0,018718544;0,427105378;0,377563188;0,913138555;0,728156836;0,154197598;-0,042308362;0,099744273;0,276836988;0,18616161;0,313807813;0,317068339;0,193997597;0,218418713;0,237579369;0,061292073;-0,04405138;0,312828053;0,089987186;0,284611236;0,188942948;0,309303528;0,169321039;0,424865912;0,322200321;-0,035557933;0,294604027;0,010068525;-0,027226164;-0,022141146;0,014481235;0,016852105;0,065331454;0,053804501;0,008570276;0,064099945;-0,126967839;0,01888915;-0,072204704;-0,028150665;-0,025410507;0,141710998;-0,395652839;-0,068312768;-0,119615867;-0,013019314;0,133531857;0,136942893;0,104912062;0,095044263;-0,024571354;-0,256578361;-0,193092216;-0,005303057;-0,069743966;-0,013375605;0,056753826;0,107159146;0,031345903;0,168427974;0,256971892;0,315185492;0,312389203;0,302069227;0,287957048;-0,179947339;0,028809066;0,132694521;-0,300706349;-0,179225532;-0,164896833;-0,324577092;0,066444998;0,022188003;0,074348915;-0,017441582;0,246170333;0,094612624;-0,093615469;0,0223;-0,04648057;-0,162876438;-0,086542732;0,517866021;-0,267776798;0,08015534;-0,05127211;-0,117845144;-0,184180258
0,534;0,012;-0,114;0,024;0,109;-0,157;0,272;-0,375;0,272;-0,314;-0,012;-0,024;-0,566431408;-0,538910268;0,058509873;-0,484757509;-0,153662679;-0,414881394;-0,373443972;-0,092072882;-0,018718544;0,427105378;0,377563188;0,913138555;0,170868055;0,154197598;-0,042308362;0,099744273;0,276836988;0,18616161;0,313807813;0,317068339;0,193997597;0,218418713;0,237579369;0,061292073;0,214404336;0,312828053;0,089987186;0,284611236;0,188942948;0,309303528;0,169321039;0,424865912;0,322200321;-0,035557933;0,294604027;0,010068525;-0,052898537;-0,022141146;0,014481235;0,016852105;0,065331454;0,053804501;0,008570276;0,064099945;-0,126967839;0,01888915;-0,072204704;-0,028150665;0,124933741;0,141710998;-0,395652839;-0,068312768;-0,119615867;-0,013019314;0,133531857;0,136942893;0,104912062;0,095044263;-0,024571354;-0,256578361;-0,09630314;-0,005303057;-0,069743966;-0,013375605;0,056753826;0,107159146;0,031345903;0,168427974;0,256971892;0,315185492;0,312389203;0,302069227;0,046013119;-0,179947339;0,028809066;0,132694521;-0,300706349;-0,179225532;-0,164896833;-0,324577092;0,066444998;0,022188003;0,074348915;-0,017441582;-0,091374929;0,094612624;-0,093615469;0,0223;-0,04648057;-0,162876438;-0,086542732;0,517866021;-0,267776798;0,08015534;-0,05127211;-0,117845144
0,185;0,534;0,012;-0,114;0,024;0,109;-0,157;0,272;-0,375;0,272;-0,314;-0,012;-0,317089135;-0,566431408;-0,538910268;0,058509873;-0,484757509;-0,153662679;-0,414881394;-0,373443972;-0,092072882;-0,018718544;0,427105378;0,377563188;0,107575898;0,170868055;0,154197598;-0,042308362;0,099744273;0,276836988;0,18616161;0,313807813;0,317068339;0,193997597;0,218418713;0,237579369;0,157807734;0,214404336;0,312828053;0,089987186;0,284611236;0,188942948;0,309303528;0,169321039;0,424865912;0,322200321;-0,035557933;0,294604027;0,06749507;-0,052898537;-0,022141146;0,014481235;0,016852105;0,065331454;0,053804501;0,008570276;0,064099945;-0,126967839;0,01888915;-0,072204704;-0,145463817;0,124933741;0,141710998;-0,395652839;-0,068312768;-0,119615867;-0,013019314;0,133531857;0,136942893;0,104912062;0,095044263;-0,024571354;-0,026316358;-0,09630314;-0,005303057;-0,069743966;-0,013375605;0,056753826;0,107159146;0,031345903;0,168427974;0,256971892;0,315185492;0,312389203;-0,086284269;0,046013119;-0,179947339;0,028809066;0,132694521;-0,300706349;-0,179225532;-0,164896833;-0,324577092;0,066444998;0,022188003;0,074348915;0,01947232;-0,091374929;0,094612624;-0,093615469;0,0223;-0,04648057;-0,162876438;-0,086542732;0,517866021;-0,267776798;0,08015534;-0,05127211
-0,078;0,185;0,534;0,012;-0,114;0,024;0,109;-0,157;0,272;-0,375;0,272;-0,314;0,058452911;-0,317089135;-0,566431408;-0,538910268;0,058509873;-0,484757509;-0,153662679;-0,414881394;-0,373443972;-0,092072882;-0,018718544;0,427105378;-0,044701587;0,107575898;0,170868055;0,154197598;-0,042308362;0,099744273;0,276836988;0,18616161;0,313807813;0,317068339;0,193997597;0,218418713;-0,049130109;0,157807734;0,214404336;0,312828053;0,089987186;0,284611236;0,188942948;0,309303528;0,169321039;0,424865912;0,322200321;-0,035557933;0,101231205;0,06749507;-0,052898537;-0,022141146;0,014481235;0,016852105;0,065331454;0,053804501;0,008570276;0,064099945;-0,126967839;0,01888915;-0,412903753;-0,145463817;0,124933741;0,141710998;-0,395652839;-0,068312768;-0,119615867;-0,013019314;0,133531857;0,136942893;0,104912062;0,095044263;-0,131423579;-0,026316358;-0,09630314;-0,005303057;-0,069743966;-0,013375605;0,056753826;0,107159146;0,031345903;0,168427974;0,256971892;0,315185492;0,043639495;-0,086284269;0,046013119;-0,179947339;0,028809066;0,132694521;-0,300706349;-0,179225532;-0,164896833;-0,324577092;0,066444998;0,022188003;-0,0386;0,01947232;-0,091374929;0,094612624;-0,093615469;0,0223;-0,04648057;-0,162876438;-0,086542732;0,517866021;-0,267776798;0,08015534
-0,484;-0,078;0,185;0,534;0,012;-0,114;0,024;0,109;-0,157;0,272;-0,375;0,272;-0,530713754;0,058452911;-0,317089135;-0,566431408;-0,538910268;0,058509873;-0,484757509;-0,153662679;-0,414881394;-0,373443972;-0,092072882;-0,018718544;0,160880785;-0,044701587;0,107575898;0,170868055;0,154197598;-0,042308362;0,099744273;0,276836988;0,18616161;0,313807813;0,317068339;0,193997597;0,126835072;-0,049130109;0,157807734;0,214404336;0,312828053;0,089987186;0,284611236;0,188942948;0,309303528;0,169321039;0,424865912;0,322200321;-0,008758405;0,101231205;0,06749507;-0,052898537;-0,022141146;0,014481235;0,016852105;0,065331454;0,053804501;0,008570276;0,064099945;-0,126967839;-0,008558601;-0,412903753;-0,145463817;0,124933741;0,141710998;-0,395652839;-0,068312768;-0,119615867;-0,013019314;0,133531857;0,136942893;0,104912062;-0,141065585;-0,131423579;-0,026316358;-0,09630314;-0,005303057;-0,069743966;-0,013375605;0,056753826;0,107159146;0,031345903;0,168427974;0,256971892;-0,048183333;0,043639495;-0,086284269;0,046013119;-0,179947339;0,028809066;0,132694521;-0,300706349;-0,179225532;-0,164896833;-0,324577092;0,066444998;-0,216041234;-0,0386;0,01947232;-0,091374929;0,094612624;-0,093615469;0,0223;-0,04648057;-0,162876438;-0,086542732;0,517866021;-0,267776798
-0,131;-0,484;-0,078;0,185;0,534;0,012;-0,114;0,024;0,109;-0,157;0,272;-0,375;-0,198078809;-0,530713754;0,058452911;-0,317089135;-0,566431408;-0,538910268;0,058509873;-0,484757509;-0,153662679;-0,414881394;-0,373443972;-0,092072882;-0,105199432;0,160880785;-0,044701587;0,107575898;0,170868055;0,154197598;-0,042308362;0,099744273;0,276836988;0,18616161;0,313807813;0,317068339;0,14693647;0,126835072;-0,049130109;0,157807734;0,214404336;0,312828053;0,089987186;0,284611236;0,188942948;0,309303528;0,169321039;0,424865912;-0,03738238;-0,008758405;0,101231205;0,06749507;-0,052898537;-0,022141146;0,014481235;0,016852105;0,065331454;0,053804501;0,008570276;0,064099945;-0,031322141;-0,008558601;-0,412903753;-0,145463817;0,124933741;0,141710998;-0,395652839;-0,068312768;-0,119615867;-0,013019314;0,133531857;0,136942893;-0,110416847;-0,141065585;-0,131423579;-0,026316358;-0,09630314;-0,005303057;-0,069743966;-0,013375605;0,056753826;0,107159146;0,031345903;0,168427974;-0,062494936;-0,048183333;0,043639495;-0,086284269;0,046013119;-0,179947339;0,028809066;0,132694521;-0,300706349;-0,179225532;-0,164896833;-0,324577092;0,0198;-0,216041234;-0,0386;0,01947232;-0,091374929;0,094612624;-0,093615469;0,0223;-0,04648057;-0,162876438;-0,086542732;0,517866021
-0,113;-0,131;-0,484;-0,078;0,185;0,534;0,012;-0,114;0,024;0,109;-0,157;0,272;-0,245365707;-0,198078809;-0,530713754;0,058452911;-0,317089135;-0,566431408;-0,538910268;0,058509873;-0,484757509;-0,153662679;-0,414881394;-0,373443972;-0,081268845;-0,105199432;0,160880785;-0,044701587;0,107575898;0,170868055;0,154197598;-0,042308362;0,099744273;0,276836988;0,18616161;0,313807813;0,073025263;0,14693647;0,126835072;-0,049130109;0,157807734;0,214404336;0,312828053;0,089987186;0,284611236;0,188942948;0,309303528;0,169321039;-0,057531029;-0,03738238;-0,008758405;0,101231205;0,06749507;-0,052898537;-0,022141146;0,014481235;0,016852105;0,065331454;0,053804501;0,008570276;-0,066362622;-0,031322141;-0,008558601;-0,412903753;-0,145463817;0,124933741;0,141710998;-0,395652839;-0,068312768;-0,119615867;-0,013019314;0,133531857;-0,093986008;-0,110416847;-0,141065585;-0,131423579;-0,026316358;-0,09630314;-0,005303057;-0,069743966;-0,013375605;0,056753826;0,107159146;0,031345903;-0,172141072;-0,062494936;-0,048183333;0,043639495;-0,086284269;0,046013119;-0,179947339;0,028809066;0,132694521;-0,300706349;-0,179225532;-0,164896833;-0,370515337;0,0198;-0,216041234;-0,0386;0,01947232;-0,091374929;0,094612624;-0,093615469;0,0223;-0,04648057;-0,162876438;-0,086542732
0,471;-0,113;-0,131;-0,484;-0,078;0,185;0,534;0,012;-0,114;0,024;0,109;-0,157;0,08243465;-0,245365707;-0,198078809;-0,530713754;0,058452911;-0,317089135;-0,566431408;-0,538910268;0,058509873;-0,484757509;-0,153662679;-0,414881394;-0,069919869;-0,081268845;-0,105199432;0,160880785;-0,044701587;0,107575898;0,170868055;0,154197598;-0,042308362;0,099744273;0,276836988;0,18616161;0,072633512;0,073025263;0,14693647;0,126835072;-0,049130109;0,157807734;0,214404336;0,312828053;0,089987186;0,284611236;0,188942948;0,309303528;0,07670317;-0,057531029;-0,03738238;-0,008758405;0,101231205;0,06749507;-0,052898537;-0,022141146;0,014481235;0,016852105;0,065331454;0,053804501;-0,105902939;-0,066362622;-0,031322141;-0,008558601;-0,412903753;-0,145463817;0,124933741;0,141710998;-0,395652839;-0,068312768;-0,119615867;-0,013019314;0,07251363;-0,093986008;-0,110416847;-0,141065585;-0,131423579;-0,026316358;-0,09630314;-0,005303057;-0,069743966;-0,013375605;0,056753826;0,107159146;-0,325776234;-0,172141072;-0,062494936;-0,048183333;0,043639495;-0,086284269;0,046013119;-0,179947339;0,028809066;0,132694521;-0,300706349;-0,179225532;-0,174511405;-0,370515337;0,0198;-0,216041234;-0,0386;0,01947232;-0,091374929;0,094612624;-0,093615469;0,0223;-0,04648057;-0,162876438
0,047;0,471;-0,113;-0,131;-0,484;-0,078;0,185;0,534;0,012;-0,114;0,024;0,109;0,17040616;0,08243465;-0,245365707;-0,198078809;-0,530713754;0,058452911;-0,317089135;-0,566431408;-0,538910268;0,058509873;-0,484757509;-0,153662679;-0,297454754;-0,069919869;-0,081268845;-0,105199432;0,160880785;-0,044701587;0,107575898;0,170868055;0,154197598;-0,042308362;0,099744273;0,276836988;0,037178735;0,072633512;0,073025263;0,14693647;0,126835072;-0,049130109;0,157807734;0,214404336;0,312828053;0,089987186;0,284611236;0,188942948;0,203493535;0,07670317;-0,057531029;-0,03738238;-0,008758405;0,101231205;0,06749507;-0,052898537;-0,022141146;0,014481235;0,016852105;0,065331454;-0,220102193;-0,105902939;-0,066362622;-0,031322141;-0,008558601;-0,412903753;-0,145463817;0,124933741;0,141710998;-0,395652839;-0,068312768;-0,119615867;-0,035028356;0,07251363;-0,093986008;-0,110416847;-0,141065585;-0,131423579;-0,026316358;-0,09630314;-0,005303057;-0,069743966;-0,013375605;0,056753826;-0,417895053;-0,325776234;-0,172141072;-0,062494936;-0,048183333;0,043639495;-0,086284269;0,046013119;-0,179947339;0,028809066;0,132694521;-0,300706349;-0,152167825;-0,174511405;-0,370515337;0,0198;-0,216041234;-0,0386;0,01947232;-0,091374929;0,094612624;-0,093615469;0,0223;-0,04648057
0,054;0,047;0,471;-0,113;-0,131;-0,484;-0,078;0,185;0,534;0,012;-0,114;0,024;-0,162073928;0,17040616;0,08243465;-0,245365707;-0,198078809;-0,530713754;0,058452911;-0,317089135;-0,566431408;-0,538910268;0,058509873;-0,484757509;0,094518024;-0,297454754;-0,069919869;-0,081268845;-0,105199432;0,160880785;-0,044701587;0,107575898;0,170868055;0,154197598;-0,042308362;0,099744273;0,150628883;0,037178735;0,072633512;0,073025263;0,14693647;0,126835072;-0,049130109;0,157807734;0,214404336;0,312828053;0,089987186;0,284611236;0,001877264;0,203493535;0,07670317;-0,057531029;-0,03738238;-0,008758405;0,101231205;0,06749507;-0,052898537;-0,022141146;0,014481235;0,016852105;0,041621621;-0,220102193;-0,105902939;-0,066362622;-0,031322141;-0,008558601;-0,412903753;-0,145463817;0,124933741;0,141710998;-0,395652839;-0,068312768;0,148041044;-0,035028356;0,07251363;-0,093986008;-0,110416847;-0,141065585;-0,131423579;-0,026316358;-0,09630314;-0,005303057;-0,069743966;-0,013375605;-0,064569093;-0,417895053;-0,325776234;-0,172141072;-0,062494936;-0,048183333;0,043639495;-0,086284269;0,046013119;-0,179947339;0,028809066;0,132694521;0,10068694;-0,152167825;-0,174511405;-0,370515337;0,0198;-0,216041234;-0,0386;0,01947232;-0,091374929;0,094612624;-0,093615469;0,0223
-0,143;0,054;0,047;0,471;-0,113;-0,131;-0,484;-0,078;0,185;0,534;0,012;-0,114;0,058635679;-0,162073928;0,17040616;0,08243465;-0,245365707;-0,198078809;-0,530713754;0,058452911;-0,317089135;-0,566431408;-0,538910268;0,058509873;0,15623466;0,094518024;-0,297454754;-0,069919869;-0,081268845;-0,105199432;0,160880785;-0,044701587;0,107575898;0,170868055;0,154197598;-0,042308362;-0,193354402;0,150628883;0,037178735;0,072633512;0,073025263;0,14693647;0,126835072;-0,049130109;0,157807734;0,214404336;0,312828053;0,089987186;-0,101832241;0,001877264;0,203493535;0,07670317;-0,057531029;-0,03738238;-0,008758405;0,101231205;0,06749507;-0,052898537;-0,022141146;0,014481235;-0,041730902;0,041621621;-0,220102193;-0,105902939;-0,066362622;-0,031322141;-0,008558601;-0,412903753;-0,145463817;0,124933741;0,141710998;-0,395652839;0,079874304;0,148041044;-0,035028356;0,07251363;-0,093986008;-0,110416847;-0,141065585;-0,131423579;-0,026316358;-0,09630314;-0,005303057;-0,069743966;0,01502557;-0,064569093;-0,417895053;-0,325776234;-0,172141072;-0,062494936;-0,048183333;0,043639495;-0,086284269;0,046013119;-0,179947339;0,028809066;-0,26923782;0,10068694;-0,152167825;-0,174511405;-0,370515337;0,0198;-0,216041234;-0,0386;0,01947232;-0,091374929;0,094612624;-0,093615469
-0,6;-0,143;0,054;0,047;0,471;-0,113;-0,131;-0,484;-0,078;0,185;0,534;0,012;-0,1195586;0,058635679;-0,162073928;0,17040616;0,08243465;-0,245365707;-0,198078809;-0,530713754;0,058452911;-0,317089135;-0,566431408;-0,538910268;0,161967765;0,15623466;0,094518024;-0,297454754;-0,069919869;-0,081268845;-0,105199432;0,160880785;-0,044701587;0,107575898;0,170868055;0,154197598;-0,091854762;-0,193354402;0,150628883;0,037178735;0,072633512;0,073025263;0,14693647;0,126835072;-0,049130109;0,157807734;0,214404336;0,312828053;-0,007108479;-0,101832241;0,001877264;0,203493535;0,07670317;-0,057531029;-0,03738238;-0,008758405;0,101231205;0,06749507;-0,052898537;-0,022141146;0,02935151;-0,041730902;0,041621621;-0,220102193;-0,105902939;-0,066362622;-0,031322141;-0,008558601;-0,412903753;-0,145463817;0,124933741;0,141710998;0,006723688;0,079874304;0,148041044;-0,035028356;0,07251363;-0,093986008;-0,110416847;-0,141065585;-0,131423579;-0,026316358;-0,09630314;-0,005303057;-0,188432886;0,01502557;-0,064569093;-0,417895053;-0,325776234;-0,172141072;-0,062494936;-0,048183333;0,043639495;-0,086284269;0,046013119;-0,179947339;-0,121534209;-0,26923782;0,10068694;-0,152167825;-0,174511405;-0,370515337;0,0198;-0,216041234;-0,0386;0,01947232;-0,091374929;0,094612624
