"YM_L1";"YM_L2";"YM_L3";"YM_L4";"YM_L5";"YM_L6";"YM_L7";"YM_L8";"YM_L9";"YM_L10";"YM_L11"
0,667580256;-0,891403035;-1,448595233;2,753891514;2,988037859;-7,507092623;-13,86239643;-0,738598185;14,65257217;6,272147895;-11,34751438
-1,190657632;0,667580256;-0,891403035;-1,448595233;2,753891514;2,988037859;-7,507092623;-13,86239643;-0,738598185;14,65257217;6,272147895
-0,985505984;-1,190657632;0,667580256;-0,891403035;-1,448595233;2,753891514;2,988037859;-7,507092623;-13,86239643;-0,738598185;14,65257217
6,098453448;-0,985505984;-1,190657632;0,667580256;-0,891403035;-1,448595233;2,753891514;2,988037859;-7,507092623;-13,86239643;-0,738598185
10,28560135;6,098453448;-0,985505984;-1,190657632;0,667580256;-0,891403035;-1,448595233;2,753891514;2,988037859;-7,507092623;-13,86239643
1,431309916;10,28560135;6,098453448;-0,985505984;-1,190657632;0,667580256;-0,891403035;-1,448595233;2,753891514;2,988037859;-7,507092623
-7,656142256;1,431309916;10,28560135;6,098453448;-0,985505984;-1,190657632;0,667580256;-0,891403035;-1,448595233;2,753891514;2,988037859
-4,458662298;-7,656142256;1,431309916;10,28560135;6,098453448;-0,985505984;-1,190657632;0,667580256;-0,891403035;-1,448595233;2,753891514
1,793607602;-4,458662298;-7,656142256;1,431309916;10,28560135;6,098453448;-0,985505984;-1,190657632;0,667580256;-0,891403035;-1,448595233
1,649143963;1,793607602;-4,458662298;-7,656142256;1,431309916;10,28560135;6,098453448;-0,985505984;-1,190657632;0,667580256;-0,891403035
-0,552242489;1,649143963;1,793607602;-4,458662298;-7,656142256;1,431309916;10,28560135;6,098453448;-0,985505984;-1,190657632;0,667580256
1,063003748;-0,552242489;1,649143963;1,793607602;-4,458662298;-7,656142256;1,431309916;10,28560135;6,098453448;-0,985505984;-1,190657632
2,372480181;1,063003748;-0,552242489;1,649143963;1,793607602;-4,458662298;-7,656142256;1,431309916;10,28560135;6,098453448;-0,985505984
-2,195421589;2,372480181;1,063003748;-0,552242489;1,649143963;1,793607602;-4,458662298;-7,656142256;1,431309916;10,28560135;6,098453448
-3,994896189;-2,195421589;2,372480181;1,063003748;-0,552242489;1,649143963;1,793607602;-4,458662298;-7,656142256;1,431309916;10,28560135
7,1370196;-3,994896189;-2,195421589;2,372480181;1,063003748;-0,552242489;1,649143963;1,793607602;-4,458662298;-7,656142256;1,431309916
14,3639798;7,1370196;-3,994896189;-2,195421589;2,372480181;1,063003748;-0,552242489;1,649143963;1,793607602;-4,458662298;-7,656142256
-1,07025445;14,3639798;7,1370196;-3,994896189;-2,195421589;2,372480181;1,063003748;-0,552242489;1,649143963;1,793607602;-4,458662298
-14,77559714;-1,07025445;14,3639798;7,1370196;-3,994896189;-2,195421589;2,372480181;1,063003748;-0,552242489;1,649143963;1,793607602
-3,730158451;-14,77559714;-1,07025445;14,3639798;7,1370196;-3,994896189;-2,195421589;2,372480181;1,063003748;-0,552242489;1,649143963
9,568054144;-3,730158451;-14,77559714;-1,07025445;14,3639798;7,1370196;-3,994896189;-2,195421589;2,372480181;1,063003748;-0,552242489
5,646593082;9,568054144;-3,730158451;-14,77559714;-1,07025445;14,3639798;7,1370196;-3,994896189;-2,195421589;2,372480181;1,063003748
-2,315683968;5,646593082;9,568054144;-3,730158451;-14,77559714;-1,07025445;14,3639798;7,1370196;-3,994896189;-2,195421589;2,372480181
-1,853269407;-2,315683968;5,646593082;9,568054144;-3,730158451;-14,77559714;-1,07025445;14,3639798;7,1370196;-3,994896189;-2,195421589
0,461448245;-1,853269407;-2,315683968;5,646593082;9,568054144;-3,730158451;-14,77559714;-1,07025445;14,3639798;7,1370196;-3,994896189
-2,004188368;0,461448245;-1,853269407;-2,315683968;5,646593082;9,568054144;-3,730158451;-14,77559714;-1,07025445;14,3639798;7,1370196
-2,040829041;-2,004188368;0,461448245;-1,853269407;-2,315683968;5,646593082;9,568054144;-3,730158451;-14,77559714;-1,07025445;14,3639798
7,81963886;-2,040829041;-2,004188368;0,461448245;-1,853269407;-2,315683968;5,646593082;9,568054144;-3,730158451;-14,77559714;-1,07025445
