"YN_L1";"YN_L2";"YN_L3";"YN_L4";"YN_L5";"YN_L6";"YN_L7";"YN_L8";"YN_L9";"YN_L10";"YN_L11"
-1,320630456;1,854004209;4,185156738;1,355923451;-0,504805053;1,379161446;1,930981389;-0,242955607;-1,771083839;0,872626324;2,998341341
0,927762211;-1,320630456;1,854004209;4,185156738;1,355923451;-0,504805053;1,379161446;1,930981389;-0,242955607;-1,771083839;0,872626324
1,45668145;0,927762211;-1,320630456;1,854004209;4,185156738;1,355923451;-0,504805053;1,379161446;1,930981389;-0,242955607;-1,771083839
-0,361244557;1,45668145;0,927762211;-1,320630456;1,854004209;4,185156738;1,355923451;-0,504805053;1,379161446;1,930981389;-0,242955607
0,356316066;-0,361244557;1,45668145;0,927762211;-1,320630456;1,854004209;4,185156738;1,355923451;-0,504805053;1,379161446;1,930981389
0,927543582;0,356316066;-0,361244557;1,45668145;0,927762211;-1,320630456;1,854004209;4,185156738;1,355923451;-0,504805053;1,379161446
0,641677583;0,927543582;0,356316066;-0,361244557;1,45668145;0,927762211;-1,320630456;1,854004209;4,185156738;1,355923451;-0,504805053
-0,122329951;0,641677583;0,927543582;0,356316066;-0,361244557;1,45668145;0,927762211;-1,320630456;1,854004209;4,185156738;1,355923451
-0,204204673;-0,122329951;0,641677583;0,927543582;0,356316066;-0,361244557;1,45668145;0,927762211;-1,320630456;1,854004209;4,185156738
2,821423228;-0,204204673;-0,122329951;0,641677583;0,927543582;0,356316066;-0,361244557;1,45668145;0,927762211;-1,320630456;1,854004209
4,243273975;2,821423228;-0,204204673;-0,122329951;0,641677583;0,927543582;0,356316066;-0,361244557;1,45668145;0,927762211;-1,320630456
1,523503852;4,243273975;2,821423228;-0,204204673;-0,122329951;0,641677583;0,927543582;0,356316066;-0,361244557;1,45668145;0,927762211
0,145693073;1,523503852;4,243273975;2,821423228;-0,204204673;-0,122329951;0,641677583;0,927543582;0,356316066;-0,361244557;1,45668145
2,632662404;0,145693073;1,523503852;4,243273975;2,821423228;-0,204204673;-0,122329951;0,641677583;0,927543582;0,356316066;-0,361244557
2,801885021;2,632662404;0,145693073;1,523503852;4,243273975;2,821423228;-0,204204673;-0,122329951;0,641677583;0,927543582;0,356316066
0,267861059;2,801885021;2,632662404;0,145693073;1,523503852;4,243273975;2,821423228;-0,204204673;-0,122329951;0,641677583;0,927543582
-0,444177014;0,267861059;2,801885021;2,632662404;0,145693073;1,523503852;4,243273975;2,821423228;-0,204204673;-0,122329951;0,641677583
-0,821947594;-0,444177014;0,267861059;2,801885021;2,632662404;0,145693073;1,523503852;4,243273975;2,821423228;-0,204204673;-0,122329951
0,35224599;-0,821947594;-0,444177014;0,267861059;2,801885021;2,632662404;0,145693073;1,523503852;4,243273975;2,821423228;-0,204204673
1,075939902;0,35224599;-0,821947594;-0,444177014;0,267861059;2,801885021;2,632662404;0,145693073;1,523503852;4,243273975;2,821423228
-0,484311026;1,075939902;0,35224599;-0,821947594;-0,444177014;0,267861059;2,801885021;2,632662404;0,145693073;1,523503852;4,243273975
0,592424095;-0,484311026;1,075939902;0,35224599;-0,821947594;-0,444177014;0,267861059;2,801885021;2,632662404;0,145693073;1,523503852
2,214995327;0,592424095;-0,484311026;1,075939902;0,35224599;-0,821947594;-0,444177014;0,267861059;2,801885021;2,632662404;0,145693073
-0,290579823;2,214995327;0,592424095;-0,484311026;1,075939902;0,35224599;-0,821947594;-0,444177014;0,267861059;2,801885021;2,632662404
-1,962461852;-0,290579823;2,214995327;0,592424095;-0,484311026;1,075939902;0,35224599;-0,821947594;-0,444177014;0,267861059;2,801885021
1,751836273;-1,962461852;-0,290579823;2,214995327;0,592424095;-0,484311026;1,075939902;0,35224599;-0,821947594;-0,444177014;0,267861059
2,829841452;1,751836273;-1,962461852;-0,290579823;2,214995327;0,592424095;-0,484311026;1,075939902;0,35224599;-0,821947594;-0,444177014
1,099309145;2,829841452;1,751836273;-1,962461852;-0,290579823;2,214995327;0,592424095;-0,484311026;1,075939902;0,35224599;-0,821947594
1,278588988;1,099309145;2,829841452;1,751836273;-1,962461852;-0,290579823;2,214995327;0,592424095;-0,484311026;1,075939902;0,35224599
-0,194667618;1,278588988;1,099309145;2,829841452;1,751836273;-1,962461852;-0,290579823;2,214995327;0,592424095;-0,484311026;1,075939902
-1,016200662;-0,194667618;1,278588988;1,099309145;2,829841452;1,751836273;-1,962461852;-0,290579823;2,214995327;0,592424095;-0,484311026
-0,865411669;-1,016200662;-0,194667618;1,278588988;1,099309145;2,829841452;1,751836273;-1,962461852;-0,290579823;2,214995327;0,592424095
-2,659593768;-0,865411669;-1,016200662;-0,194667618;1,278588988;1,099309145;2,829841452;1,751836273;-1,962461852;-0,290579823;2,214995327
-1,423636819;-2,659593768;-0,865411669;-1,016200662;-0,194667618;1,278588988;1,099309145;2,829841452;1,751836273;-1,962461852;-0,290579823
1,059206937;-1,423636819;-2,659593768;-0,865411669;-1,016200662;-0,194667618;1,278588988;1,099309145;2,829841452;1,751836273;-1,962461852
-1,189025721;1,059206937;-1,423636819;-2,659593768;-0,865411669;-1,016200662;-0,194667618;1,278588988;1,099309145;2,829841452;1,751836273
-2,733041183;-1,189025721;1,059206937;-1,423636819;-2,659593768;-0,865411669;-1,016200662;-0,194667618;1,278588988;1,099309145;2,829841452
0,614462305;-2,733041183;-1,189025721;1,059206937;-1,423636819;-2,659593768;-0,865411669;-1,016200662;-0,194667618;1,278588988;1,099309145
0,836182314;0,614462305;-2,733041183;-1,189025721;1,059206937;-1,423636819;-2,659593768;-0,865411669;-1,016200662;-0,194667618;1,278588988
-1,044881915;0,836182314;0,614462305;-2,733041183;-1,189025721;1,059206937;-1,423636819;-2,659593768;-0,865411669;-1,016200662;-0,194667618
0,469408701;-1,044881915;0,836182314;0,614462305;-2,733041183;-1,189025721;1,059206937;-1,423636819;-2,659593768;-0,865411669;-1,016200662
1,297264434;0,469408701;-1,044881915;0,836182314;0,614462305;-2,733041183;-1,189025721;1,059206937;-1,423636819;-2,659593768;-0,865411669
-0,170036031;1,297264434;0,469408701;-1,044881915;0,836182314;0,614462305;-2,733041183;-1,189025721;1,059206937;-1,423636819;-2,659593768
-0,789486085;-0,170036031;1,297264434;0,469408701;-1,044881915;0,836182314;0,614462305;-2,733041183;-1,189025721;1,059206937;-1,423636819
-0,411445563;-0,789486085;-0,170036031;1,297264434;0,469408701;-1,044881915;0,836182314;0,614462305;-2,733041183;-1,189025721;1,059206937
0,848484027;-0,411445563;-0,789486085;-0,170036031;1,297264434;0,469408701;-1,044881915;0,836182314;0,614462305;-2,733041183;-1,189025721
1,304644622;0,848484027;-0,411445563;-0,789486085;-0,170036031;1,297264434;0,469408701;-1,044881915;0,836182314;0,614462305;-2,733041183
0,455129283;1,304644622;0,848484027;-0,411445563;-0,789486085;-0,170036031;1,297264434;0,469408701;-1,044881915;0,836182314;0,614462305
0,180736038;0,455129283;1,304644622;0,848484027;-0,411445563;-0,789486085;-0,170036031;1,297264434;0,469408701;-1,044881915;0,836182314
1,496903923;0,180736038;0,455129283;1,304644622;0,848484027;-0,411445563;-0,789486085;-0,170036031;1,297264434;0,469408701;-1,044881915
1,177679662;1,496903923;0,180736038;0,455129283;1,304644622;0,848484027;-0,411445563;-0,789486085;-0,170036031;1,297264434;0,469408701
-0,581200697;1,177679662;1,496903923;0,180736038;0,455129283;1,304644622;0,848484027;-0,411445563;-0,789486085;-0,170036031;1,297264434
-1,294098262;-0,581200697;1,177679662;1,496903923;0,180736038;0,455129283;1,304644622;0,848484027;-0,411445563;-0,789486085;-0,170036031
-1,094219799;-1,294098262;-0,581200697;1,177679662;1,496903923;0,180736038;0,455129283;1,304644622;0,848484027;-0,411445563;-0,789486085
0,111037093;-1,094219799;-1,294098262;-0,581200697;1,177679662;1,496903923;0,180736038;0,455129283;1,304644622;0,848484027;-0,411445563
1,282968297;0,111037093;-1,094219799;-1,294098262;-0,581200697;1,177679662;1,496903923;0,180736038;0,455129283;1,304644622;0,848484027
0,38534105;1,282968297;0,111037093;-1,094219799;-1,294098262;-0,581200697;1,177679662;1,496903923;0,180736038;0,455129283;1,304644622
0,854247317;0,38534105;1,282968297;0,111037093;-1,094219799;-1,294098262;-0,581200697;1,177679662;1,496903923;0,180736038;0,455129283
2,324852832;0,854247317;0,38534105;1,282968297;0,111037093;-1,094219799;-1,294098262;-0,581200697;1,177679662;1,496903923;0,180736038
1,13838377;2,324852832;0,854247317;0,38534105;1,282968297;0,111037093;-1,094219799;-1,294098262;-0,581200697;1,177679662;1,496903923
-0,517656276;1,13838377;2,324852832;0,854247317;0,38534105;1,282968297;0,111037093;-1,094219799;-1,294098262;-0,581200697;1,177679662
0,929400094;-0,517656276;1,13838377;2,324852832;0,854247317;0,38534105;1,282968297;0,111037093;-1,094219799;-1,294098262;-0,581200697
-0,067886849;0,929400094;-0,517656276;1,13838377;2,324852832;0,854247317;0,38534105;1,282968297;0,111037093;-1,094219799;-1,294098262
-2,531663427;-0,067886849;0,929400094;-0,517656276;1,13838377;2,324852832;0,854247317;0,38534105;1,282968297;0,111037093;-1,094219799
-1,467604213;-2,531663427;-0,067886849;0,929400094;-0,517656276;1,13838377;2,324852832;0,854247317;0,38534105;1,282968297;0,111037093
-0,868566737;-1,467604213;-2,531663427;-0,067886849;0,929400094;-0,517656276;1,13838377;2,324852832;0,854247317;0,38534105;1,282968297
-1,249244217;-0,868566737;-1,467604213;-2,531663427;-0,067886849;0,929400094;-0,517656276;1,13838377;2,324852832;0,854247317;0,38534105
-0,888789008;-1,249244217;-0,868566737;-1,467604213;-2,531663427;-0,067886849;0,929400094;-0,517656276;1,13838377;2,324852832;0,854247317
-0,919263038;-0,888789008;-1,249244217;-0,868566737;-1,467604213;-2,531663427;-0,067886849;0,929400094;-0,517656276;1,13838377;2,324852832
-0,078476098;-0,919263038;-0,888789008;-1,249244217;-0,868566737;-1,467604213;-2,531663427;-0,067886849;0,929400094;-0,517656276;1,13838377
0,933953009;-0,078476098;-0,919263038;-0,888789008;-1,249244217;-0,868566737;-1,467604213;-2,531663427;-0,067886849;0,929400094;-0,517656276
-0,004922156;0,933953009;-0,078476098;-0,919263038;-0,888789008;-1,249244217;-0,868566737;-1,467604213;-2,531663427;-0,067886849;0,929400094
-0,909111308;-0,004922156;0,933953009;-0,078476098;-0,919263038;-0,888789008;-1,249244217;-0,868566737;-1,467604213;-2,531663427;-0,067886849
1,103200273;-0,909111308;-0,004922156;0,933953009;-0,078476098;-0,919263038;-0,888789008;-1,249244217;-0,868566737;-1,467604213;-2,531663427
0,953282012;1,103200273;-0,909111308;-0,004922156;0,933953009;-0,078476098;-0,919263038;-0,888789008;-1,249244217;-0,868566737;-1,467604213
-1,115419521;0,953282012;1,103200273;-0,909111308;-0,004922156;0,933953009;-0,078476098;-0,919263038;-0,888789008;-1,249244217;-0,868566737
-1,230935834;-1,115419521;0,953282012;1,103200273;-0,909111308;-0,004922156;0,933953009;-0,078476098;-0,919263038;-0,888789008;-1,249244217
-0,757428389;-1,230935834;-1,115419521;0,953282012;1,103200273;-0,909111308;-0,004922156;0,933953009;-0,078476098;-0,919263038;-0,888789008
0,239843843;-0,757428389;-1,230935834;-1,115419521;0,953282012;1,103200273;-0,909111308;-0,004922156;0,933953009;-0,078476098;-0,919263038
1,179611614;0,239843843;-0,757428389;-1,230935834;-1,115419521;0,953282012;1,103200273;-0,909111308;-0,004922156;0,933953009;-0,078476098
0,366643931;1,179611614;0,239843843;-0,757428389;-1,230935834;-1,115419521;0,953282012;1,103200273;-0,909111308;-0,004922156;0,933953009
0,704083568;0,366643931;1,179611614;0,239843843;-0,757428389;-1,230935834;-1,115419521;0,953282012;1,103200273;-0,909111308;-0,004922156
1,737761621;0,704083568;0,366643931;1,179611614;0,239843843;-0,757428389;-1,230935834;-1,115419521;0,953282012;1,103200273;-0,909111308
-0,160317837;1,737761621;0,704083568;0,366643931;1,179611614;0,239843843;-0,757428389;-1,230935834;-1,115419521;0,953282012;1,103200273
-0,743797703;-0,160317837;1,737761621;0,704083568;0,366643931;1,179611614;0,239843843;-0,757428389;-1,230935834;-1,115419521;0,953282012
2,348937537;-0,743797703;-0,160317837;1,737761621;0,704083568;0,366643931;1,179611614;0,239843843;-0,757428389;-1,230935834;-1,115419521
1,086340304;2,348937537;-0,743797703;-0,160317837;1,737761621;0,704083568;0,366643931;1,179611614;0,239843843;-0,757428389;-1,230935834
-2,016272355;1,086340304;2,348937537;-0,743797703;-0,160317837;1,737761621;0,704083568;0,366643931;1,179611614;0,239843843;-0,757428389
-1,218956471;-2,016272355;1,086340304;2,348937537;-0,743797703;-0,160317837;1,737761621;0,704083568;0,366643931;1,179611614;0,239843843
-1,40709055;-1,218956471;-2,016272355;1,086340304;2,348937537;-0,743797703;-0,160317837;1,737761621;0,704083568;0,366643931;1,179611614
-2,357445971;-1,40709055;-1,218956471;-2,016272355;1,086340304;2,348937537;-0,743797703;-0,160317837;1,737761621;0,704083568;0,366643931
-1,90297856;-2,357445971;-1,40709055;-1,218956471;-2,016272355;1,086340304;2,348937537;-0,743797703;-0,160317837;1,737761621;0,704083568
-1,552250995;-1,90297856;-2,357445971;-1,40709055;-1,218956471;-2,016272355;1,086340304;2,348937537;-0,743797703;-0,160317837;1,737761621
-1,392152708;-1,552250995;-1,90297856;-2,357445971;-1,40709055;-1,218956471;-2,016272355;1,086340304;2,348937537;-0,743797703;-0,160317837
-1,308987605;-1,392152708;-1,552250995;-1,90297856;-2,357445971;-1,40709055;-1,218956471;-2,016272355;1,086340304;2,348937537;-0,743797703
-1,581917874;-1,308987605;-1,392152708;-1,552250995;-1,90297856;-2,357445971;-1,40709055;-1,218956471;-2,016272355;1,086340304;2,348937537
-1,599903533;-1,581917874;-1,308987605;-1,392152708;-1,552250995;-1,90297856;-2,357445971;-1,40709055;-1,218956471;-2,016272355;1,086340304
0,078126863;-1,599903533;-1,581917874;-1,308987605;-1,392152708;-1,552250995;-1,90297856;-2,357445971;-1,40709055;-1,218956471;-2,016272355
-1,410855196;0,078126863;-1,599903533;-1,581917874;-1,308987605;-1,392152708;-1,552250995;-1,90297856;-2,357445971;-1,40709055;-1,218956471
