"YS_L1";"YS_L2";"YS_L3";"YS_L4";"YS_L5";"YS_L6";"YS_L7";"YS_L8";"YS_L9";"YS_L10";"YS_L11"
-1,196593392;0,198922551;2,586965661;0,242059708;-2,762343473;4,767989262;13,12337599;-0,85517902;-16,75478035;2,414804138;11,99798774
1,745113522;-1,196593392;0,198922551;2,586965661;0,242059708;-2,762343473;4,767989262;13,12337599;-0,85517902;-16,75478035;2,414804138
4,036215615;1,745113522;-1,196593392;0,198922551;2,586965661;0,242059708;-2,762343473;4,767989262;13,12337599;-0,85517902;-16,75478035
-1,79733263;4,036215615;1,745113522;-1,196593392;0,198922551;2,586965661;0,242059708;-2,762343473;4,767989262;13,12337599;-0,85517902
-8,047444481;-1,79733263;4,036215615;1,745113522;-1,196593392;0,198922551;2,586965661;0,242059708;-2,762343473;4,767989262;13,12337599
-0,710641426;-8,047444481;-1,79733263;4,036215615;1,745113522;-1,196593392;0,198922551;2,586965661;0,242059708;-2,762343473;4,767989262
7,044633146;-0,710641426;-8,047444481;-1,79733263;4,036215615;1,745113522;-1,196593392;0,198922551;2,586965661;0,242059708;-2,762343473
2,146125914;7,044633146;-0,710641426;-8,047444481;-1,79733263;4,036215615;1,745113522;-1,196593392;0,198922551;2,586965661;0,242059708
-2,855559083;2,146125914;7,044633146;-0,710641426;-8,047444481;-1,79733263;4,036215615;1,745113522;-1,196593392;0,198922551;2,586965661
-0,818989218;-2,855559083;2,146125914;7,044633146;-0,710641426;-8,047444481;-1,79733263;4,036215615;1,745113522;-1,196593392;0,198922551
1,74490983;-0,818989218;-2,855559083;2,146125914;7,044633146;-0,710641426;-8,047444481;-1,79733263;4,036215615;1,745113522;-1,196593392
0,328477439;1,74490983;-0,818989218;-2,855559083;2,146125914;7,044633146;-0,710641426;-8,047444481;-1,79733263;4,036215615;1,745113522
-1,542900732;0,328477439;1,74490983;-0,818989218;-2,855559083;2,146125914;7,044633146;-0,710641426;-8,047444481;-1,79733263;4,036215615
2,678635567;-1,542900732;0,328477439;1,74490983;-0,818989218;-2,855559083;2,146125914;7,044633146;-0,710641426;-8,047444481;-1,79733263
8,627578587;2,678635567;-1,542900732;0,328477439;1,74490983;-0,818989218;-2,855559083;2,146125914;7,044633146;-0,710641426;-8,047444481
-0,096008929;8,627578587;2,678635567;-1,542900732;0,328477439;1,74490983;-0,818989218;-2,855559083;2,146125914;7,044633146;-0,710641426
-13,30788108;-0,096008929;8,627578587;2,678635567;-1,542900732;0,328477439;1,74490983;-0,818989218;-2,855559083;2,146125914;7,044633146
-4,187630598;-13,30788108;-0,096008929;8,627578587;2,678635567;-1,542900732;0,328477439;1,74490983;-0,818989218;-2,855559083;2,146125914
9,637528143;-4,187630598;-13,30788108;-0,096008929;8,627578587;2,678635567;-1,542900732;0,328477439;1,74490983;-0,818989218;-2,855559083
4,424782755;9,637528143;-4,187630598;-13,30788108;-0,096008929;8,627578587;2,678635567;-1,542900732;0,328477439;1,74490983;-0,818989218
-2,358173848;4,424782755;9,637528143;-4,187630598;-13,30788108;-0,096008929;8,627578587;2,678635567;-1,542900732;0,328477439;1,74490983
-0,37965102;-2,358173848;4,424782755;9,637528143;-4,187630598;-13,30788108;-0,096008929;8,627578587;2,678635567;-1,542900732;0,328477439
1,123407256;-0,37965102;-2,358173848;4,424782755;9,637528143;-4,187630598;-13,30788108;-0,096008929;8,627578587;2,678635567;-1,542900732
-1,064718019;1,123407256;-0,37965102;-2,358173848;4,424782755;9,637528143;-4,187630598;-13,30788108;-0,096008929;8,627578587;2,678635567
-2,370237687;-1,064718019;1,123407256;-0,37965102;-2,358173848;4,424782755;9,637528143;-4,187630598;-13,30788108;-0,096008929;8,627578587
-0,387388383;-2,370237687;-1,064718019;1,123407256;-0,37965102;-2,358173848;4,424782755;9,637528143;-4,187630598;-13,30788108;-0,096008929
1,740415344;-0,387388383;-2,370237687;-1,064718019;1,123407256;-0,37965102;-2,358173848;4,424782755;9,637528143;-4,187630598;-13,30788108
-0,750207162;1,740415344;-0,387388383;-2,370237687;-1,064718019;1,123407256;-0,37965102;-2,358173848;4,424782755;9,637528143;-4,187630598
-4,202877101;-0,750207162;1,740415344;-0,387388383;-2,370237687;-1,064718019;1,123407256;-0,37965102;-2,358173848;4,424782755;9,637528143
0,559561203;-4,202877101;-0,750207162;1,740415344;-0,387388383;-2,370237687;-1,064718019;1,123407256;-0,37965102;-2,358173848;4,424782755
4,499187029;0,559561203;-4,202877101;-0,750207162;1,740415344;-0,387388383;-2,370237687;-1,064718019;1,123407256;-0,37965102;-2,358173848
-0,532728135;4,499187029;0,559561203;-4,202877101;-0,750207162;1,740415344;-0,387388383;-2,370237687;-1,064718019;1,123407256;-0,37965102
-3,321729082;-0,532728135;4,499187029;0,559561203;-4,202877101;-0,750207162;1,740415344;-0,387388383;-2,370237687;-1,064718019;1,123407256
