"YW_L1";"YW_L2";"YW_L3";"YW_L4";"YW_L5";"YW_L6";"YW_L7";"YW_L8";"YW_L9";"YW_L10";"YW_L11"
4,72033805;2,056601336;-4,447799451;-0,792279965;3,780608535;-4,866193151;-8,299198069;3,308808545;10,85582116;-4,196444789;-8,882825815
1,409262894;4,72033805;2,056601336;-4,447799451;-0,792279965;3,780608535;-4,866193151;-8,299198069;3,308808545;10,85582116;-4,196444789
1,65909783;1,409262894;4,72033805;2,056601336;-4,447799451;-0,792279965;3,780608535;-4,866193151;-8,299198069;3,308808545;10,85582116
3,858293345;1,65909783;1,409262894;4,72033805;2,056601336;-4,447799451;-0,792279965;3,780608535;-4,866193151;-8,299198069;3,308808545
1,684911089;3,858293345;1,65909783;1,409262894;4,72033805;2,056601336;-4,447799451;-0,792279965;3,780608535;-4,866193151;-8,299198069
-3,228004655;1,684911089;3,858293345;1,65909783;1,409262894;4,72033805;2,056601336;-4,447799451;-0,792279965;3,780608535;-4,866193151
-2,034034586;-3,228004655;1,684911089;3,858293345;1,65909783;1,409262894;4,72033805;2,056601336;-4,447799451;-0,792279965;3,780608535
1,800528892;-2,034034586;-3,228004655;1,684911089;3,858293345;1,65909783;1,409262894;4,72033805;2,056601336;-4,447799451;-0,792279965
1,525056457;1,800528892;-2,034034586;-3,228004655;1,684911089;3,858293345;1,65909783;1,409262894;4,72033805;2,056601336;-4,447799451
-1,648187243;1,525056457;1,800528892;-2,034034586;-3,228004655;1,684911089;3,858293345;1,65909783;1,409262894;4,72033805;2,056601336
-0,349391777;-1,648187243;1,525056457;1,800528892;-2,034034586;-3,228004655;1,684911089;3,858293345;1,65909783;1,409262894;4,72033805
5,24543542;-0,349391777;-1,648187243;1,525056457;1,800528892;-2,034034586;-3,228004655;1,684911089;3,858293345;1,65909783;1,409262894
5,819523492;5,24543542;-0,349391777;-1,648187243;1,525056457;1,800528892;-2,034034586;-3,228004655;1,684911089;3,858293345;1,65909783
0,962207291;5,819523492;5,24543542;-0,349391777;-1,648187243;1,525056457;1,800528892;-2,034034586;-3,228004655;1,684911089;3,858293345
-1,778793837;0,962207291;5,819523492;5,24543542;-0,349391777;-1,648187243;1,525056457;1,800528892;-2,034034586;-3,228004655;1,684911089
1,703025599;-1,778793837;0,962207291;5,819523492;5,24543542;-0,349391777;-1,648187243;1,525056457;1,800528892;-2,034034586;-3,228004655
2,960596872;1,703025599;-1,778793837;0,962207291;5,819523492;5,24543542;-0,349391777;-1,648187243;1,525056457;1,800528892;-2,034034586
1,070985956;2,960596872;1,703025599;-1,778793837;0,962207291;5,819523492;5,24543542;-0,349391777;-1,648187243;1,525056457;1,800528892
0,125816923;1,070985956;2,960596872;1,703025599;-1,778793837;0,962207291;5,819523492;5,24543542;-0,349391777;-1,648187243;1,525056457
2,95594349;0,125816923;1,070985956;2,960596872;1,703025599;-1,778793837;0,962207291;5,819523492;5,24543542;-0,349391777;-1,648187243
6,530532756;2,95594349;0,125816923;1,070985956;2,960596872;1,703025599;-1,778793837;0,962207291;5,819523492;5,24543542;-0,349391777
4,973358626;6,530532756;2,95594349;0,125816923;1,070985956;2,960596872;1,703025599;-1,778793837;0,962207291;5,819523492;5,24543542
0,614998377;4,973358626;6,530532756;2,95594349;0,125816923;1,070985956;2,960596872;1,703025599;-1,778793837;0,962207291;5,819523492
1,590021556;0,614998377;4,973358626;6,530532756;2,95594349;0,125816923;1,070985956;2,960596872;1,703025599;-1,778793837;0,962207291
4,347597835;1,590021556;0,614998377;4,973358626;6,530532756;2,95594349;0,125816923;1,070985956;2,960596872;1,703025599;-1,778793837
3,27021428;4,347597835;1,590021556;0,614998377;4,973358626;6,530532756;2,95594349;0,125816923;1,070985956;2,960596872;1,703025599
2,097503327;3,27021428;4,347597835;1,590021556;0,614998377;4,973358626;6,530532756;2,95594349;0,125816923;1,070985956;2,960596872
1,12234779;2,097503327;3,27021428;4,347597835;1,590021556;0,614998377;4,973358626;6,530532756;2,95594349;0,125816923;1,070985956
1,511522522;1,12234779;2,097503327;3,27021428;4,347597835;1,590021556;0,614998377;4,973358626;6,530532756;2,95594349;0,125816923
1,463206634;1,511522522;1,12234779;2,097503327;3,27021428;4,347597835;1,590021556;0,614998377;4,973358626;6,530532756;2,95594349
0,70339574;1,463206634;1,511522522;1,12234779;2,097503327;3,27021428;4,347597835;1,590021556;0,614998377;4,973358626;6,530532756
2,785463951;0,70339574;1,463206634;1,511522522;1,12234779;2,097503327;3,27021428;4,347597835;1,590021556;0,614998377;4,973358626
4,550057838;2,785463951;0,70339574;1,463206634;1,511522522;1,12234779;2,097503327;3,27021428;4,347597835;1,590021556;0,614998377
0,506902202;4,550057838;2,785463951;0,70339574;1,463206634;1,511522522;1,12234779;2,097503327;3,27021428;4,347597835;1,590021556
-1,566800606;0,506902202;4,550057838;2,785463951;0,70339574;1,463206634;1,511522522;1,12234779;2,097503327;3,27021428;4,347597835
4,86270498;-1,566800606;0,506902202;4,550057838;2,785463951;0,70339574;1,463206634;1,511522522;1,12234779;2,097503327;3,27021428
4,950424732;4,86270498;-1,566800606;0,506902202;4,550057838;2,785463951;0,70339574;1,463206634;1,511522522;1,12234779;2,097503327
-0,497601447;4,950424732;4,86270498;-1,566800606;0,506902202;4,550057838;2,785463951;0,70339574;1,463206634;1,511522522;1,12234779
1,559714445;-0,497601447;4,950424732;4,86270498;-1,566800606;0,506902202;4,550057838;2,785463951;0,70339574;1,463206634;1,511522522
1,865187428;1,559714445;-0,497601447;4,950424732;4,86270498;-1,566800606;0,506902202;4,550057838;2,785463951;0,70339574;1,463206634
-1,303606494;1,865187428;1,559714445;-0,497601447;4,950424732;4,86270498;-1,566800606;0,506902202;4,550057838;2,785463951;0,70339574
-1,029215699;-1,303606494;1,865187428;1,559714445;-0,497601447;4,950424732;4,86270498;-1,566800606;0,506902202;4,550057838;2,785463951
0,845892336;-1,029215699;-1,303606494;1,865187428;1,559714445;-0,497601447;4,950424732;4,86270498;-1,566800606;0,506902202;4,550057838
0,408611666;0,845892336;-1,029215699;-1,303606494;1,865187428;1,559714445;-0,497601447;4,950424732;4,86270498;-1,566800606;0,506902202
-0,653732046;0,408611666;0,845892336;-1,029215699;-1,303606494;1,865187428;1,559714445;-0,497601447;4,950424732;4,86270498;-1,566800606
-2,16706036;-0,653732046;0,408611666;0,845892336;-1,029215699;-1,303606494;1,865187428;1,559714445;-0,497601447;4,950424732;4,86270498
-1,32283671;-2,16706036;-0,653732046;0,408611666;0,845892336;-1,029215699;-1,303606494;1,865187428;1,559714445;-0,497601447;4,950424732
2,004902269;-1,32283671;-2,16706036;-0,653732046;0,408611666;0,845892336;-1,029215699;-1,303606494;1,865187428;1,559714445;-0,497601447
1,560359318;2,004902269;-1,32283671;-2,16706036;-0,653732046;0,408611666;0,845892336;-1,029215699;-1,303606494;1,865187428;1,559714445
-1,764994164;1,560359318;2,004902269;-1,32283671;-2,16706036;-0,653732046;0,408611666;0,845892336;-1,029215699;-1,303606494;1,865187428
-5,95435985;-1,764994164;1,560359318;2,004902269;-1,32283671;-2,16706036;-0,653732046;0,408611666;0,845892336;-1,029215699;-1,303606494
-5,600664071;-5,95435985;-1,764994164;1,560359318;2,004902269;-1,32283671;-2,16706036;-0,653732046;0,408611666;0,845892336;-1,029215699
0,448150447;-5,600664071;-5,95435985;-1,764994164;1,560359318;2,004902269;-1,32283671;-2,16706036;-0,653732046;0,408611666;0,845892336
-1,346601864;0,448150447;-5,600664071;-5,95435985;-1,764994164;1,560359318;2,004902269;-1,32283671;-2,16706036;-0,653732046;0,408611666
-2,518799284;-1,346601864;0,448150447;-5,600664071;-5,95435985;-1,764994164;1,560359318;2,004902269;-1,32283671;-2,16706036;-0,653732046
0,277230582;-2,518799284;-1,346601864;0,448150447;-5,600664071;-5,95435985;-1,764994164;1,560359318;2,004902269;-1,32283671;-2,16706036
1,617581627;0,277230582;-2,518799284;-1,346601864;0,448150447;-5,600664071;-5,95435985;-1,764994164;1,560359318;2,004902269;-1,32283671
-1,345659197;1,617581627;0,277230582;-2,518799284;-1,346601864;0,448150447;-5,600664071;-5,95435985;-1,764994164;1,560359318;2,004902269
-4,360740791;-1,345659197;1,617581627;0,277230582;-2,518799284;-1,346601864;0,448150447;-5,600664071;-5,95435985;-1,764994164;1,560359318
-2,175889165;-4,360740791;-1,345659197;1,617581627;0,277230582;-2,518799284;-1,346601864;0,448150447;-5,600664071;-5,95435985;-1,764994164
0,81576396;-2,175889165;-4,360740791;-1,345659197;1,617581627;0,277230582;-2,518799284;-1,346601864;0,448150447;-5,600664071;-5,95435985
-3,884584053;0,81576396;-2,175889165;-4,360740791;-1,345659197;1,617581627;0,277230582;-2,518799284;-1,346601864;0,448150447;-5,600664071
-7,245283552;-3,884584053;0,81576396;-2,175889165;-4,360740791;-1,345659197;1,617581627;0,277230582;-2,518799284;-1,346601864;0,448150447
