var;mean;sd;min;max
YA;0.00360018189748202;1.4785067080925;-4.7049561;5.349356883
YN;-0.000393211656474819;2.11176624596374;-9.059093499;4.879997661
YM;-0.0162221692607914;2.43518177965544;-14.77559714;14.65257217
YS;0.0219976792410072;1.86248317573879;-16.75478035;13.12337599
YW;-0.0159422805827338;3.16862960434432;-10.58233545;12.78289618
y;0.122846994535519;0.560146058809894;-2.12;2.092
F1;-0.00251466888251366;0.396987293285869;-1.071201235;2.35
F2;0.00031150556420765;0.266911576138266;-1.3;1.264544847
F3;0.000327233576502733;0.260917887034594;-1.52415591;1.390726502
F4;0.000426304113387977;0.229116930367367;-1.051846418;1.03284964
F5;-0.000178241030054644;0.209278530006111;-1.21;0.921481925
F6;-0.000363446303278688;0.200465347631011;-0.68462877;0.659283899
F7;0.000232677387978142;0.171933792071472;-1.233752839;0.460475121
F8;0.0013464874863388;0.154600512968388;-0.624744178;0.517866021
MEU1;0.655515849110656;0.106004754572651;0.528764522;1.140157827
MEU3;0.793197500650273;0.115290046668617;0.652867101;1.296093384
MEU12;0.914643685886612;0.0847277606094158;0.793503118;1.312210521
FEU1;0.904377237438525;0.163144966818311;0.603479117;1.549198218
FEU3;0.946829101900273;0.126688363669389;0.700779553;1.412943861
FEU12;0.984089687629781;0.0425607097201366;0.89322564;1.114315663
NMEU1;-0.00763368346174863;0.0105768382767093;-0.103473702;0.115908455
NMEU3;-0.00937450087295082;0.00647331896798357;-0.03764809;0.073986454
NMEU12;-0.00836664034016394;0.00641742979915657;-0.017458012;0.042128746
NFEU1;-0.00088902831104235;0.0168753894470659;-0.008562655;0.170408527
NFEU3;-0.0031062150795082;0.0128540101417997;-0.010554675;0.121571518
NFEU12;-0.00155752897021858;0.00460099023836585;-0.006406799;0.034857715
CC1;0.0434562841530055;2.77865623016211;-10.35;9.38
CC2;0.0475546448087432;3.1598573369098;-13.27;11.13
CC3;0.0393032786885246;2.63800258783995;-10.08;9.27
CC4;-0.00265027322404371;0.645518761331625;-2.32;2.19
CC5;0.325136612021858;24.2509288040877;-88;96
CC6;-0.900273224043716;72.917899974726;-286;283
CC7;-0.046379781420765;2.98003101059452;-8.72;8.78
CC8;-0.0389754098360656;3.09431258243372;-8.72;8.78
CC9;-0.0445901639344262;3.03644807821043;-8.72;8.78
CC10;-0.0314071038251366;2.33839839336202;-7.8;8.98
CCV1;7.80404185963661;3.31972086076421;5.719295038;30.98524189
CCV2;9.96933438713525;2.32116200381;8.424500875;30.85738938
CCV3;7.24483494424044;4.65390666773343;4.377963279;42.04885157
CCV4;0.41642279148224;0.0514660574429709;0.225000226;0.791592415
CCV5;904.18020669235;1461.40609736009;183.0899222;11091.93366
CCV6;6047.52280301503;6226.07303178501;2839.272135;49640.3426
CCV7;9.03589792906694;10.5652560603012;0.559296744;71.72780475
CCV8;9.59828612126366;11.7580609590519;0.12378947;73.49209574
CCV9;9.2530721417582;10.6884780579261;0.370499833;70.92578797
CCV10;5.45293031770082;2.00749062045047;4.078774627;24.35656091
